,Altcoin,BIT,Bitcoin Address,Bitcoin Investment,Bitcoin Mining,Bitcoin News,Bitcoin Price,Bitcoin Wallet,Bitcoin,Block,Blockchain,BTC,Crypto,Cryptocurrency,Cryptography,DAPP,DeFi,Digital Currency,Ethereum,Fiat money,Fork,Hash Rate,ICO,P2P,Private Key,Stablecoin
1,55.0,56.44,98.0,65.0,26.01,8.26,8.36,43.66,12.25,14.19,33.0,9.89,59.0,50.0,13.78,60.16,0.0,3.8,40.32,27.72,33.81,76.0,52.080000000000005,38.7,30.75,13.26
2,55.0,53.95,27.44,64.0,21.93,17.11,9.68,24.42,14.7,15.510000000000002,27.06,10.32,58.0,53.0,30.74,40.42,0.0,3.1,42.24,32.76,38.22,69.0,61.38,54.0,32.25,16.900000000000002
3,55.0,76.36,42.14,75.0,33.660000000000004,24.19,13.2,20.72,20.58,23.43,25.74,15.48,96.0,85.0,33.39,94.0,0.0,3.8,58.56,28.56,46.55,41.0,93.0,81.0,70.5,24.44
4,99.0,67.22999999999999,48.02,80.0,33.660000000000004,34.22,13.64,25.9,21.56,20.46,30.69,17.2,87.0,82.0,37.1,47.0,0.0,3.0,61.44,33.18,49.0,52.0,75.33,76.5,60.0,22.880000000000003
5,100.0,61.42,36.26,57.0,32.64,36.58,18.48,27.38,24.99,18.48,21.78,21.93,83.0,70.0,26.5,68.61999999999999,0.0,5.7,64.32,25.2,34.3,54.0,53.940000000000005,58.5,51.0,19.76
6,30.0,53.12,37.24,68.0,34.68,33.04,17.6,11.1,21.56,16.830000000000002,20.790000000000003,18.92,70.0,65.0,30.74,43.24,0.0,4.800000000000001,59.52,30.66,36.26,76.0,56.73,51.3,45.75,17.68
7,72.0,57.27,52.92,62.0,31.11,21.83,12.32,74.0,19.11,16.17,21.45,16.77,63.0,63.0,19.08,33.84,0.0,4.2,51.84,19.74,41.65,64.0,53.940000000000005,47.7,28.5,17.94
8,36.08,53.46,22.32,24.12,35.28,18.0,11.76,19.88,15.98,16.099999999999998,16.5,12.3,50.15,53.94,20.74,44.0,0.0,3.74,44.5,20.9,36.0,74.75999999999999,36.12,38.7,33.2,19.6
9,49.28,51.03,28.8,26.8,38.080000000000005,21.0,14.28,36.92,20.68,17.15,22.5,16.4,49.3,48.72,28.67,49.28,0.0,4.95,47.17,18.24,32.16,80.64,55.44,70.52,57.27,22.680000000000003
10,41.36,51.03,25.2,32.830000000000005,34.160000000000004,17.5,12.6,19.88,15.51,20.3,21.3,13.53,45.9,45.24,42.09,62.48,0.0,3.41,45.39,19.0,34.56,38.64,55.44,60.2,43.99,17.64
11,62.48,54.27,19.44,30.82,34.160000000000004,14.0,10.92,0.0,15.98,19.25,21.6,13.12,49.3,45.24,42.09,52.8,0.0,4.62,43.61,22.04,35.52,51.24,57.96,55.04,63.91,21.840000000000003
