date,Bitcoin,Bitcoin Crash,Blockchain,Crisis,Cryptocurrency,Nicehash,Hashing,GPU,GeForce,mining,Tesla,Price
2015-01-01,2.0,0.46,0.68,20.24,0.0,0.0,20.16,31.15,64.0,34.08,7.48,320.4349975585937
2015-01-02,1.92,0.0,1.14,24.380000000000003,0.0,0.0,29.52,33.25,64.0,33.6,7.65,315.8389892578125
2015-01-03,2.2,0.42,1.24,24.380000000000003,0.0,0.0,18.0,27.3,55.04,37.92,8.16,315.1499938964844
2015-01-04,2.8000000000000003,0.8200000000000001,1.08,26.68,0.0,0.0,21.6,28.7,51.2,39.36,6.800000000000001,287.2300109863281
2015-01-05,3.04,0.0,1.28,31.28,0.0,0.0,64.08,26.6,57.6,38.88,7.31,278.34100341796875
2015-01-06,2.8000000000000003,0.0,1.14,37.260000000000005,0.0,0.0,50.4,32.2,54.4,40.8,8.67,287.5530090332031
2015-01-07,2.44,0.0,0.9,33.120000000000005,0.0,0.0,60.48,25.55,46.08,42.24,8.16,298.7539978027344
2015-01-08,2.72,0.0,0.64,37.260000000000005,0.0,0.0,59.76,30.1,44.8,43.2,10.03,294.135009765625
2015-01-09,2.44,0.0,1.42,38.64,0.0,0.0,49.68,31.5,50.56,42.24,7.65,291.114013671875
2015-01-10,2.36,0.0,0.62,27.14,0.0,0.0,36.72,31.5,52.48,41.76,8.5,288.12701416015625
2015-01-11,2.36,0.0,0.3,28.98,0.0,0.0,28.08,28.7,55.68,36.96,8.67,279.63800048828125
2015-01-12,2.24,0.0,1.1,39.56,0.0,0.0,47.52,28.0,43.52,38.88,9.69,272.2030029296875
2015-01-13,2.44,0.0,0.98,43.24,0.0,0.0,59.04,26.6,44.16,44.16,9.86,268.2770080566406
2015-01-14,4.0,1.0,1.24,38.18,0.0,0.0,65.52,28.35,50.56,40.8,13.94,223.8939971923828
2015-01-15,3.8,0.34,0.76,38.18,0.0,0.0,61.92,24.5,41.6,42.72,10.88,229.06700134277344
2015-01-16,3.16,0.35,1.42,38.64,0.0,0.0,58.32,26.6,44.8,40.32,10.03,221.59100341796875
