Date,Altcoin,BIT,Bitcoin Address,Bitcoin Investment,Bitcoin Mining,Bitcoin News,Bitcoin Price,Bitcoin Wallet,Bitcoin,Block,Blockchain,BTC,Crypto,Cryptocurrency,Cryptography,DAPP,DeFi,Digital Currency,Ethereum,Fiat money,Fork,Hash Rate,ICO,P2P,Private Key,Stablecoin,Open,High,Low,Close,Volume
2022-01-01,55.0,56.44,98.0,65.0,26.01,8.26,8.36,43.66,12.25,14.19,33.0,9.89,59.0,50.0,13.78,60.16,0.0,3.8,40.32,27.72,33.81,76.0,52.080000000000005,38.7,30.75,13.26,46311.74609375,47827.3125,46288.484375,47686.8125,24582667004
2022-01-02,55.0,53.95,27.44,64.0,21.93,17.11,9.68,24.42,14.7,15.510000000000002,27.06,10.32,58.0,53.0,30.74,40.42,0.0,3.1,42.24,32.76,38.22,69.0,61.38,54.0,32.25,16.900000000000002,47680.92578125,47881.40625,46856.9375,47345.21875,27951569547
2022-01-03,55.0,76.36,42.14,75.0,33.660000000000004,24.19,13.2,20.72,20.58,23.43,25.74,15.48,96.0,85.0,33.39,94.0,0.0,3.8,58.56,28.56,46.55,41.0,93.0,81.0,70.5,24.44,47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362
2022-01-04,99.0,67.22999999999999,48.02,80.0,33.660000000000004,34.22,13.64,25.9,21.56,20.46,30.69,17.2,87.0,82.0,37.1,47.0,0.0,3.0,61.44,33.18,49.0,52.0,75.33,76.5,60.0,22.880000000000003,46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905
2022-01-05,100.0,61.42,36.26,57.0,32.64,36.58,18.48,27.38,24.99,18.48,21.78,21.93,83.0,70.0,26.5,68.61999999999999,0.0,5.7,64.32,25.2,34.3,54.0,53.940000000000005,58.5,51.0,19.76,45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859
2022-01-06,30.0,53.12,37.24,68.0,34.68,33.04,17.6,11.1,21.56,16.830000000000002,20.790000000000003,18.92,70.0,65.0,30.74,43.24,0.0,4.800000000000001,59.52,30.66,36.26,76.0,56.73,51.3,45.75,17.68,43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289
2022-01-07,72.0,57.27,52.92,62.0,31.11,21.83,12.32,74.0,19.11,16.17,21.45,16.77,63.0,63.0,19.08,33.84,0.0,4.2,51.84,19.74,41.65,64.0,53.940000000000005,47.7,28.5,17.94,43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520
2022-01-08,36.08,53.46,22.32,24.12,35.28,18.0,11.76,19.88,15.98,16.099999999999998,16.5,12.3,50.15,53.94,20.74,44.0,0.0,3.74,44.5,20.9,36.0,74.75999999999999,36.12,38.7,33.2,19.6,41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845
2022-01-09,49.28,51.03,28.8,26.8,38.080000000000005,21.0,14.28,36.92,20.68,17.15,22.5,16.4,49.3,48.72,28.67,49.28,0.0,4.95,47.17,18.24,32.16,80.64,55.44,70.52,57.27,22.680000000000003,41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372
2022-01-10,41.36,51.03,25.2,32.830000000000005,34.160000000000004,17.5,12.6,19.88,15.51,20.3,21.3,13.53,45.9,45.24,42.09,62.48,0.0,3.41,45.39,19.0,34.56,38.64,55.44,60.2,43.99,17.64,41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331
2022-01-11,62.48,54.27,19.44,30.82,34.160000000000004,14.0,10.92,0.0,15.98,19.25,21.6,13.12,49.3,45.24,42.09,52.8,0.0,4.62,43.61,22.04,35.52,51.24,57.96,55.04,63.91,21.840000000000003,41819.5078125,43001.15625,41407.75390625,42735.85546875,26327648900
2022-01-12,70.4,67.23,37.44,13.4,52.080000000000005,20.0,12.6,30.53,17.86,23.1,25.5,14.76,51.85,46.98,54.29,47.52,0.0,10.34,51.62,26.22,45.12,24.36,55.44,57.62,72.21,28.000000000000004,42742.1796875,44135.3671875,42528.98828125,43949.1015625,33499938689
2022-01-13,38.72,55.89,25.2,46.23,34.720000000000006,11.5,9.66,52.54,14.57,19.6,19.8,10.25,43.35,46.98,32.94,34.32,0.0,4.95,40.94,24.7,37.44,72.24,36.12,36.98,57.27,14.28,43946.7421875,44278.421875,42447.04296875,42591.5703125,47691135082
2022-01-14,44.0,55.080000000000005,23.04,37.52,26.320000000000004,12.0,7.56,34.08,12.22,18.9,16.2,9.84,39.95,39.15,24.4,30.8,0.0,4.4,34.71,20.52,36.96,63.84,36.12,22.36,40.67,11.48,42598.87109375,43346.6875,41982.6171875,43099.69921875,23577403399
2022-01-15,40.32,69.66000000000001,20.77,39.52,34.2,18.46,12.0,29.25,14.0,21.6,12.96,12.32,53.940000000000005,49.14,21.45,63.99,0.0,8.32,38.27,19.98,37.72,46.06,59.04,45.75,21.0,15.5,43101.8984375,43724.671875,42669.03515625,43177.3984375,18371348298
2022-01-16,47.88,56.7,16.080000000000002,33.44,22.5,22.01,10.5,20.15,13.5,19.44,12.96,11.0,49.29,50.05,48.1,26.07,0.0,3.38,37.38,23.68,33.58,43.24,38.54,29.25,36.4,22.0,43172.0390625,43436.80859375,42691.0234375,43113.87890625,17902097845
2022-01-17,47.88,49.41,10.05,38.76,22.5,19.17,11.5,20.15,16.5,19.44,18.630000000000003,13.2,46.5,43.68,52.0,58.46,0.0,3.9,36.49,23.31,31.74,94.0,47.56,43.5,38.5,18.0,43118.12109375,43179.390625,41680.3203125,42250.55078125,21690904261
2022-01-18,31.92,52.650000000000006,30.82,39.52,24.75,14.2,10.0,24.05,13.5,19.8,20.25,10.56,44.64,44.59,44.2,41.08,0.0,4.29,33.82,18.5,33.58,71.44,36.08,33.75,47.6,16.0,42250.07421875,42534.40234375,41392.21484375,42375.6328125,22417209227
2022-01-19,49.56,53.46,28.14,12.92,21.15,18.46,10.5,22.1,14.0,20.52,17.01,11.0,47.43,43.68,50.7,16.59,0.0,9.23,34.71,21.46,32.2,94.0,43.46,45.75,55.3,12.75,42374.0390625,42478.3046875,41242.9140625,41744.328125,23091543258
2022-01-20,46.2,55.89,26.130000000000003,51.68,22.5,68.86999999999999,29.5,0.0,32.0,22.32,14.85,25.96,85.56,77.35000000000001,41.6,38.71,0.0,13.0,61.41,23.68,31.74,77.08,50.02,44.25,41.3,19.0,41744.02734375,43413.0234375,40672.82421875,40680.41796875,20382033940
2022-01-21,68.03999999999999,56.7,19.43,23.56,24.75,71.0,37.5,16.25,38.5,21.96,17.82,29.92,93.0,91.0,27.95,33.97,0.0,6.24,68.53,31.08,36.34,27.26,58.22,42.0,21.7,16.0,40699.60546875,41060.52734375,35791.42578125,36457.31640625,43011992031
2022-01-22,46.08,61.77,32.160000000000004,59.8,32.0,36.92,34.68,34.78,35.1,27.6,21.39,28.91,57.04,54.9,29.4,43.0,0.0,10.66,57.0,31.82,36.75,36.04,41.31,40.48,33.54,12.22,36471.58984375,36688.8125,34349.25,35030.25,39714385405
2022-01-23,31.36,87.0,14.07,92.0,49.28,64.61,68.0,49.58,65.0,46.0,25.11,59.0,85.56,81.0,69.3,52.0,0.0,8.450000000000001,100.0,43.0,47.04,38.760000000000005,64.80000000000001,88.0,86.0,24.18,35047.359375,36433.3125,34784.96875,36276.8046875,26017975951
2022-01-24,44.16,69.6,40.2,50.6,64.0,36.21,40.8,21.46,42.25,39.1,24.8,34.22,66.24000000000001,60.3,70.0,79.0,0.0,8.450000000000001,63.0,24.51,43.12,48.96,57.510000000000005,63.36,69.66,17.16,36275.734375,37247.51953125,33184.05859375,36654.328125,41856658597
