date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2022-01-01,32,,,,
2022-01-02,55,100.0,False,1.0,55.0
2022-01-03,55,100.0,,1.0,55.0
2022-01-04,55,100.0,,1.0,55.0
2022-01-05,99,100.0,,1.0,99.0
2022-01-06,100,100.0,,1.0,100.0
2022-01-07,30,100.0,,1.0,30.0
2022-01-08,72,100.0,,1.0,72.0
2022-01-09,41,88.0,False,0.88,36.08
2022-01-10,56,88.0,,0.88,49.28
2022-01-11,47,88.0,,0.88,41.36
2022-01-12,71,88.0,,0.88,62.48
2022-01-13,80,88.0,,0.88,70.4
2022-01-14,44,88.0,,0.88,38.72
2022-01-15,50,88.0,,0.88,44.0
2022-01-16,48,84.0,False,0.84,40.32
2022-01-17,57,84.0,,0.84,47.879999999999995
2022-01-18,57,84.0,,0.84,47.879999999999995
2022-01-19,38,84.0,,0.84,31.919999999999998
2022-01-20,59,84.0,,0.84,49.559999999999995
2022-01-21,55,84.0,,0.84,46.199999999999996
2022-01-22,81,84.0,,0.84,68.03999999999999
2022-01-23,72,64.0,False,0.64,46.08
2022-01-24,49,64.0,,0.64,31.36
2022-01-25,69,64.0,,0.64,44.160000000000004
2022-01-26,75,64.0,,0.64,48.0
2022-01-27,51,64.0,,0.64,32.64
2022-01-28,40,64.0,,0.64,25.6
2022-01-29,78,64.0,,0.64,49.92
2022-01-30,56,66.0,False,0.66,36.96
2022-01-31,55,66.0,,0.66,36.300000000000004
2022-02-01,73,66.0,,0.66,48.18
2022-02-02,71,66.0,,0.66,46.86
2022-02-03,55,66.0,,0.66,36.300000000000004
2022-02-04,77,66.0,,0.66,50.82
2022-02-05,79,66.0,,0.66,52.14
2022-02-06,44,38.0,False,0.38,16.72
2022-02-07,0,38.0,,0.38,0.0
2022-02-08,51,38.0,,0.38,19.38
2022-02-09,23,38.0,,0.38,8.74
2022-02-10,58,38.0,,0.38,22.04
2022-02-11,61,38.0,,0.38,23.18
2022-02-12,53,38.0,,0.38,20.14
2022-02-13,0,56.0,False,0.56,0.0
2022-02-14,54,56.0,,0.56,30.240000000000002
2022-02-15,100,56.0,,0.56,56.00000000000001
2022-02-16,66,56.0,,0.56,36.96
2022-02-17,90,56.0,,0.56,50.400000000000006
2022-02-18,26,56.0,,0.56,14.560000000000002
2022-02-19,27,56.0,,0.56,15.120000000000001
2022-02-20,30,47.0,False,0.47,14.1
2022-02-21,67,47.0,,0.47,31.49
2022-02-22,81,47.0,,0.47,38.07
2022-02-23,85,47.0,,0.47,39.949999999999996
2022-02-24,74,47.0,,0.47,34.78
2022-02-25,44,47.0,,0.47,20.68
2022-02-26,49,47.0,,0.47,23.029999999999998
2022-02-27,53,52.0,False,0.52,27.560000000000002
2022-02-28,47,52.0,,0.52,24.44
2022-03-01,64,52.0,,0.52,33.28
2022-03-02,52,52.0,,0.52,27.04
2022-03-03,13,52.0,,0.52,6.76
2022-03-04,0,52.0,,0.52,0.0
2022-03-05,35,52.0,,0.52,18.2
2022-03-06,33,52.0,False,0.52,17.16
2022-03-07,0,52.0,,0.52,0.0
2022-03-08,29,52.0,,0.52,15.08
2022-03-09,97,52.0,,0.52,50.440000000000005
2022-03-10,100,52.0,,0.52,52.0
2022-03-11,31,52.0,,0.52,16.12
2022-03-12,44,52.0,,0.52,22.880000000000003
2022-03-13,21,49.0,False,0.49,10.29
2022-03-14,0,49.0,,0.49,0.0
2022-03-15,41,49.0,,0.49,20.09
2022-03-16,61,49.0,,0.49,29.89
2022-03-17,0,49.0,,0.49,0.0
2022-03-18,23,49.0,,0.49,11.27
2022-03-19,30,49.0,,0.49,14.7
2022-03-20,45,53.0,False,0.53,23.85
2022-03-21,39,53.0,,0.53,20.67
2022-03-22,44,53.0,,0.53,23.32
2022-03-23,0,53.0,,0.53,0.0
2022-03-24,13,53.0,,0.53,6.890000000000001
2022-03-25,0,53.0,,0.53,0.0
2022-03-26,47,53.0,,0.53,24.91
2022-03-27,31,74.0,False,0.74,22.94
2022-03-28,76,74.0,,0.74,56.24
2022-03-29,49,74.0,,0.74,36.26
2022-03-30,92,74.0,,0.74,68.08
2022-03-31,49,74.0,,0.74,36.26
2022-04-01,73,74.0,,0.74,54.019999999999996
2022-04-02,51,74.0,,0.74,37.74
2022-04-03,44,48.0,False,0.48,21.119999999999997
2022-04-04,100,48.0,,0.48,48.0
2022-04-05,58,48.0,,0.48,27.84
2022-04-06,0,48.0,,0.48,0.0
2022-04-07,30,48.0,,0.48,14.399999999999999
2022-04-08,40,48.0,,0.48,19.2
2022-04-09,51,48.0,,0.48,24.48
2022-04-10,77,48.0,False,0.48,36.96
2022-04-11,52,48.0,,0.48,24.96
2022-04-12,67,48.0,,0.48,32.16
2022-04-13,95,48.0,,0.48,45.6
2022-04-14,36,48.0,,0.48,17.28
2022-04-15,53,48.0,,0.48,25.439999999999998
2022-04-16,89,48.0,,0.48,42.72
2022-04-17,31,47.0,False,0.47,14.569999999999999
