date,BIT_unscaled,BIT_monthly,isPartial,scale,BIT
2022-01-01,68,,,,
2022-01-02,68,83.0,False,0.83,56.44
2022-01-03,65,83.0,,0.83,53.949999999999996
2022-01-04,92,83.0,,0.83,76.36
2022-01-05,81,83.0,,0.83,67.22999999999999
2022-01-06,74,83.0,,0.83,61.419999999999995
2022-01-07,64,83.0,,0.83,53.12
2022-01-08,69,83.0,,0.83,57.269999999999996
2022-01-09,66,81.0,False,0.81,53.46
2022-01-10,63,81.0,,0.81,51.03
2022-01-11,63,81.0,,0.81,51.03
2022-01-12,67,81.0,,0.81,54.27
2022-01-13,83,81.0,,0.81,67.23
2022-01-14,69,81.0,,0.81,55.89
2022-01-15,68,81.0,,0.81,55.080000000000005
2022-01-16,86,81.0,False,0.81,69.66000000000001
2022-01-17,70,81.0,,0.81,56.7
2022-01-18,61,81.0,,0.81,49.410000000000004
2022-01-19,65,81.0,,0.81,52.650000000000006
2022-01-20,66,81.0,,0.81,53.46
2022-01-21,69,81.0,,0.81,55.89
2022-01-22,70,81.0,,0.81,56.7
2022-01-23,71,87.0,False,0.87,61.77
2022-01-24,100,87.0,,0.87,87.0
2022-01-25,80,87.0,,0.87,69.6
2022-01-26,71,87.0,,0.87,61.77
2022-01-27,69,87.0,,0.87,60.03
2022-01-28,69,87.0,,0.87,60.03
2022-01-29,71,87.0,,0.87,61.77
2022-01-30,67,80.0,False,0.8,53.6
2022-01-31,62,80.0,,0.8,49.6
2022-02-01,80,80.0,,0.8,64.0
2022-02-02,86,80.0,,0.8,68.8
2022-02-03,84,80.0,,0.8,67.2
2022-02-04,83,80.0,,0.8,66.4
2022-02-05,81,80.0,,0.8,64.8
2022-02-06,85,89.0,False,0.89,75.65
2022-02-07,89,89.0,,0.89,79.21000000000001
2022-02-08,88,89.0,,0.89,78.32000000000001
2022-02-09,80,89.0,,0.89,71.2
2022-02-10,100,89.0,,0.89,89.0
2022-02-11,85,89.0,,0.89,75.65
2022-02-12,91,89.0,,0.89,80.99
2022-02-13,76,97.0,False,0.97,73.72
2022-02-14,76,97.0,,0.97,73.72
2022-02-15,88,97.0,,0.97,85.36
2022-02-16,81,97.0,,0.97,78.57
2022-02-17,81,97.0,,0.97,78.57
2022-02-18,86,97.0,,0.97,83.42
2022-02-19,83,97.0,,0.97,80.50999999999999
2022-02-20,86,84.0,False,0.84,72.24
2022-02-21,83,84.0,,0.84,69.72
2022-02-22,87,84.0,,0.84,73.08
2022-02-23,84,84.0,,0.84,70.56
2022-02-24,79,84.0,,0.84,66.36
2022-02-25,77,84.0,,0.84,64.67999999999999
2022-02-26,82,84.0,,0.84,68.88
2022-02-27,93,79.0,False,0.79,73.47
2022-02-28,82,79.0,,0.79,64.78
2022-03-01,89,79.0,,0.79,70.31
2022-03-02,90,79.0,,0.79,71.10000000000001
2022-03-03,91,79.0,,0.79,71.89
2022-03-04,87,79.0,,0.79,68.73
2022-03-05,95,79.0,,0.79,75.05
2022-03-06,89,83.0,False,0.83,73.86999999999999
2022-03-07,88,83.0,,0.83,73.03999999999999
2022-03-08,80,83.0,,0.83,66.39999999999999
2022-03-09,91,83.0,,0.83,75.53
2022-03-10,85,83.0,,0.83,70.55
2022-03-11,87,83.0,,0.83,72.21
2022-03-12,93,83.0,,0.83,77.19
2022-03-13,88,86.0,False,0.86,75.67999999999999
2022-03-14,86,86.0,,0.86,73.96
2022-03-15,93,86.0,,0.86,79.98
2022-03-16,94,86.0,,0.86,80.84
2022-03-17,91,86.0,,0.86,78.26
2022-03-18,92,86.0,,0.86,79.12
2022-03-19,93,86.0,,0.86,79.98
2022-03-20,92,87.0,False,0.87,80.04
2022-03-21,87,87.0,,0.87,75.69
2022-03-22,90,87.0,,0.87,78.3
2022-03-23,87,87.0,,0.87,75.69
2022-03-24,91,87.0,,0.87,79.17
2022-03-25,93,87.0,,0.87,80.91
2022-03-26,97,87.0,,0.87,84.39
2022-03-27,95,86.0,False,0.86,81.7
2022-03-28,99,86.0,,0.86,85.14
2022-03-29,93,86.0,,0.86,79.98
2022-03-30,91,86.0,,0.86,78.26
2022-03-31,100,86.0,,0.86,86.0
2022-04-01,89,86.0,,0.86,76.53999999999999
2022-04-02,87,86.0,,0.86,74.82
2022-04-03,86,91.0,False,0.91,78.26
2022-04-04,86,91.0,,0.91,78.26
2022-04-05,86,91.0,,0.91,78.26
2022-04-06,88,91.0,,0.91,80.08
2022-04-07,87,91.0,,0.91,79.17
2022-04-08,86,91.0,,0.91,78.26
2022-04-09,84,91.0,,0.91,76.44
2022-04-10,89,91.0,False,0.91,80.99000000000001
2022-04-11,80,91.0,,0.91,72.8
2022-04-12,83,91.0,,0.91,75.53
2022-04-13,84,91.0,,0.91,76.44
2022-04-14,87,91.0,,0.91,79.17
2022-04-15,86,91.0,,0.91,78.26
2022-04-16,90,91.0,,0.91,81.9
2022-04-17,87,92.0,False,0.92,80.04
2022-04-18,85,92.0,,0.92,78.2
2022-04-19,81,92.0,,0.92,74.52000000000001
2022-04-20,100,92.0,,0.92,92.0
2022-04-21,87,92.0,,0.92,80.04
2022-04-22,89,92.0,,0.92,81.88000000000001
2022-04-23,92,92.0,,0.92,84.64
2022-04-24,85,86.0,False,0.86,73.1
2022-04-25,82,86.0,,0.86,70.52
2022-04-26,86,86.0,,0.86,73.96
2022-04-27,84,86.0,,0.86,72.24
2022-04-28,82,86.0,,0.86,70.52
2022-04-29,82,86.0,,0.86,70.52
2022-04-30,90,86.0,,0.86,77.4
2022-05-01,93,90.0,False,0.9,83.7
2022-05-02,100,90.0,,0.9,90.0
2022-05-03,95,90.0,,0.9,85.5
2022-05-04,89,90.0,,0.9,80.10000000000001
2022-05-05,91,90.0,,0.9,81.9
2022-05-06,87,90.0,,0.9,78.3
2022-05-07,96,90.0,,0.9,86.4
2022-05-08,89,89.0,False,0.89,79.21000000000001
2022-05-09,94,89.0,,0.89,83.66
2022-05-10,95,89.0,,0.89,84.55
2022-05-11,100,89.0,,0.89,89.0
2022-05-12,88,89.0,,0.89,78.32000000000001
2022-05-13,95,89.0,,0.89,84.55
2022-05-14,88,89.0,,0.89,78.32000000000001
2022-05-15,94,90.0,False,0.9,84.60000000000001
2022-05-16,87,90.0,,0.9,78.3
2022-05-17,96,90.0,,0.9,86.4
2022-05-18,84,90.0,,0.9,75.60000000000001
2022-05-19,87,90.0,,0.9,78.3
2022-05-20,88,90.0,,0.9,79.2
2022-05-21,93,90.0,,0.9,83.7
2022-05-22,83,83.0,False,0.83,68.89
2022-05-23,87,83.0,,0.83,72.21
2022-05-24,95,83.0,,0.83,78.85
2022-05-25,88,83.0,,0.83,73.03999999999999
2022-05-26,84,83.0,,0.83,69.72
2022-05-27,84,83.0,,0.83,69.72
2022-05-28,89,83.0,,0.83,73.86999999999999
2022-05-29,97,91.0,False,0.91,88.27
2022-05-30,87,91.0,,0.91,79.17
2022-05-31,86,91.0,,0.91,78.26
2022-06-01,91,91.0,,0.91,82.81
2022-06-02,92,91.0,,0.91,83.72
2022-06-03,95,91.0,,0.91,86.45
2022-06-04,93,91.0,,0.91,84.63000000000001
2022-06-05,98,91.0,False,0.91,89.18
2022-06-06,91,91.0,,0.91,82.81
2022-06-07,93,91.0,,0.91,84.63000000000001
2022-06-08,95,91.0,,0.91,86.45
2022-06-09,88,91.0,,0.91,80.08
2022-06-10,89,91.0,,0.91,80.99000000000001
2022-06-11,91,91.0,,0.91,82.81
2022-06-12,97,100.0,False,1.0,97.0
2022-06-13,98,100.0,,1.0,98.0
2022-06-14,95,100.0,,1.0,95.0
2022-06-15,94,100.0,,1.0,94.0
2022-06-16,96,100.0,,1.0,96.0
2022-06-17,97,100.0,,1.0,97.0
2022-06-18,99,100.0,,1.0,99.0
2022-06-19,94,92.0,False,0.92,86.48
2022-06-20,100,92.0,,0.92,92.0
2022-06-21,95,92.0,,0.92,87.4
2022-06-22,93,92.0,,0.92,85.56
2022-06-23,95,92.0,,0.92,87.4
2022-06-24,95,92.0,,0.92,87.4
2022-06-25,96,92.0,,0.92,88.32000000000001
2022-06-26,99,87.0,False,0.87,86.13
2022-06-27,90,87.0,,0.87,78.3
2022-06-28,94,87.0,,0.87,81.78
2022-06-29,97,87.0,,0.87,84.39
