date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2022-01-01,24,,,,
2022-01-02,23,43.0,False,0.43,9.89
2022-01-03,24,43.0,,0.43,10.32
2022-01-04,36,43.0,,0.43,15.48
2022-01-05,40,43.0,,0.43,17.2
2022-01-06,51,43.0,,0.43,21.93
2022-01-07,44,43.0,,0.43,18.919999999999998
2022-01-08,39,43.0,,0.43,16.77
2022-01-09,30,41.0,False,0.41,12.299999999999999
2022-01-10,40,41.0,,0.41,16.4
2022-01-11,33,41.0,,0.41,13.53
2022-01-12,32,41.0,,0.41,13.12
2022-01-13,36,41.0,,0.41,14.76
2022-01-14,25,41.0,,0.41,10.25
2022-01-15,24,41.0,,0.41,9.84
2022-01-16,28,44.0,False,0.44,12.32
2022-01-17,25,44.0,,0.44,11.0
2022-01-18,30,44.0,,0.44,13.2
2022-01-19,24,44.0,,0.44,10.56
2022-01-20,25,44.0,,0.44,11.0
2022-01-21,59,44.0,,0.44,25.96
2022-01-22,68,44.0,,0.44,29.92
2022-01-23,49,59.0,False,0.59,28.91
2022-01-24,100,59.0,,0.59,59.0
2022-01-25,58,59.0,,0.59,34.22
2022-01-26,46,59.0,,0.59,27.139999999999997
2022-01-27,39,59.0,,0.59,23.009999999999998
2022-01-28,37,59.0,,0.59,21.83
2022-01-29,28,59.0,,0.59,16.52
2022-01-30,26,35.0,False,0.35,9.1
2022-01-31,31,35.0,,0.35,10.85
2022-02-01,62,35.0,,0.35,21.7
2022-02-02,60,35.0,,0.35,21.0
2022-02-03,61,35.0,,0.35,21.349999999999998
2022-02-04,70,35.0,,0.35,24.5
2022-02-05,66,35.0,,0.35,23.099999999999998
2022-02-06,46,38.0,False,0.38,17.48
2022-02-07,78,38.0,,0.38,29.64
2022-02-08,71,38.0,,0.38,26.98
2022-02-09,60,38.0,,0.38,22.8
2022-02-10,76,38.0,,0.38,28.88
2022-02-11,56,38.0,,0.38,21.28
2022-02-12,47,38.0,,0.38,17.86
2022-02-13,45,33.0,False,0.33,14.850000000000001
2022-02-14,56,33.0,,0.33,18.48
2022-02-15,60,33.0,,0.33,19.8
2022-02-16,52,33.0,,0.33,17.16
2022-02-17,54,33.0,,0.33,17.82
2022-02-18,59,33.0,,0.33,19.470000000000002
2022-02-19,46,33.0,,0.33,15.180000000000001
2022-02-20,54,40.0,False,0.4,21.6
2022-02-21,59,40.0,,0.4,23.6
2022-02-22,72,40.0,,0.4,28.8
2022-02-23,56,40.0,,0.4,22.400000000000002
2022-02-24,100,40.0,,0.4,40.0
2022-02-25,66,40.0,,0.4,26.400000000000002
2022-02-26,53,40.0,,0.4,21.200000000000003
2022-02-27,60,39.0,False,0.39,23.400000000000002
2022-02-28,71,39.0,,0.39,27.69
2022-03-01,100,39.0,,0.39,39.0
2022-03-02,80,39.0,,0.39,31.200000000000003
2022-03-03,71,39.0,,0.39,27.69
2022-03-04,64,39.0,,0.39,24.96
2022-03-05,65,39.0,,0.39,25.35
2022-03-06,52,33.0,False,0.33,17.16
2022-03-07,76,33.0,,0.33,25.080000000000002
2022-03-08,69,33.0,,0.33,22.77
2022-03-09,84,33.0,,0.33,27.720000000000002
2022-03-10,75,33.0,,0.33,24.75
2022-03-11,61,33.0,,0.33,20.130000000000003
2022-03-12,49,33.0,,0.33,16.17
2022-03-13,47,27.0,False,0.27,12.690000000000001
2022-03-14,62,27.0,,0.27,16.740000000000002
