date,Bitcoin Address_unscaled,Bitcoin Address_monthly,isPartial,scale,Bitcoin Address
2022-01-01,20,,,,
2022-01-02,100,98.0,False,0.98,98.0
2022-01-03,28,98.0,,0.98,27.439999999999998
2022-01-04,43,98.0,,0.98,42.14
2022-01-05,49,98.0,,0.98,48.019999999999996
2022-01-06,37,98.0,,0.98,36.26
2022-01-07,38,98.0,,0.98,37.24
2022-01-08,54,98.0,,0.98,52.92
2022-01-09,31,72.0,False,0.72,22.32
2022-01-10,40,72.0,,0.72,28.799999999999997
2022-01-11,35,72.0,,0.72,25.2
2022-01-12,27,72.0,,0.72,19.439999999999998
2022-01-13,52,72.0,,0.72,37.44
2022-01-14,35,72.0,,0.72,25.2
2022-01-15,32,72.0,,0.72,23.04
2022-01-16,31,67.0,False,0.67,20.77
2022-01-17,24,67.0,,0.67,16.080000000000002
2022-01-18,15,67.0,,0.67,10.05
2022-01-19,46,67.0,,0.67,30.82
2022-01-20,42,67.0,,0.67,28.14
2022-01-21,39,67.0,,0.67,26.130000000000003
2022-01-22,29,67.0,,0.67,19.43
2022-01-23,48,67.0,False,0.67,32.160000000000004
2022-01-24,21,67.0,,0.67,14.07
2022-01-25,60,67.0,,0.67,40.2
2022-01-26,70,67.0,,0.67,46.900000000000006
2022-01-27,20,67.0,,0.67,13.4
2022-01-28,26,67.0,,0.67,17.42
2022-01-29,29,67.0,,0.67,19.43
2022-01-30,21,68.0,False,0.68,14.280000000000001
2022-01-31,54,68.0,,0.68,36.720000000000006
2022-02-01,50,68.0,,0.68,34.0
2022-02-02,20,68.0,,0.68,13.600000000000001
2022-02-03,31,68.0,,0.68,21.080000000000002
2022-02-04,87,68.0,,0.68,59.160000000000004
2022-02-05,22,68.0,,0.68,14.96
2022-02-06,45,77.0,False,0.77,34.65
2022-02-07,93,77.0,,0.77,71.61
2022-02-08,62,77.0,,0.77,47.74
2022-02-09,54,77.0,,0.77,41.58
2022-02-10,60,77.0,,0.77,46.2
2022-02-11,100,77.0,,0.77,77.0
2022-02-12,33,77.0,,0.77,25.41
2022-02-13,70,100.0,False,1.0,70.0
2022-02-14,87,100.0,,1.0,87.0
2022-02-15,60,100.0,,1.0,60.0
2022-02-16,44,100.0,,1.0,44.0
2022-02-17,73,100.0,,1.0,73.0
2022-02-18,84,100.0,,1.0,84.0
2022-02-19,66,100.0,,1.0,66.0
2022-02-20,66,64.0,False,0.64,42.24
2022-02-21,92,64.0,,0.64,58.88
2022-02-22,22,64.0,,0.64,14.08
2022-02-23,42,64.0,,0.64,26.88
