date,Bitcoin Investment_unscaled,Bitcoin Investment_monthly,isPartial,scale,Bitcoin Investment
2022-01-01,60,,,,
2022-01-02,65,100.0,False,1.0,65.0
2022-01-03,64,100.0,,1.0,64.0
2022-01-04,75,100.0,,1.0,75.0
2022-01-05,80,100.0,,1.0,80.0
2022-01-06,57,100.0,,1.0,57.0
2022-01-07,68,100.0,,1.0,68.0
2022-01-08,62,100.0,,1.0,62.0
2022-01-09,36,67.0,False,0.67,24.12
2022-01-10,40,67.0,,0.67,26.8
2022-01-11,49,67.0,,0.67,32.830000000000005
2022-01-12,46,67.0,,0.67,30.82
2022-01-13,20,67.0,,0.67,13.4
2022-01-14,69,67.0,,0.67,46.230000000000004
2022-01-15,56,67.0,,0.67,37.52
2022-01-16,52,76.0,False,0.76,39.52
2022-01-17,44,76.0,,0.76,33.44
2022-01-18,51,76.0,,0.76,38.76
2022-01-19,52,76.0,,0.76,39.52
2022-01-20,17,76.0,,0.76,12.92
2022-01-21,68,76.0,,0.76,51.68
2022-01-22,31,76.0,,0.76,23.56
2022-01-23,65,92.0,False,0.92,59.800000000000004
2022-01-24,100,92.0,,0.92,92.0
2022-01-25,55,92.0,,0.92,50.6
2022-01-26,28,92.0,,0.92,25.76
2022-01-27,43,92.0,,0.92,39.56
2022-01-28,66,92.0,,0.92,60.720000000000006
2022-01-29,89,92.0,,0.92,81.88000000000001
2022-01-30,0,84.0,False,0.84,0.0
2022-01-31,56,84.0,,0.84,47.04
2022-02-01,43,84.0,,0.84,36.12
2022-02-02,64,84.0,,0.84,53.76
2022-02-03,76,84.0,,0.84,63.839999999999996
2022-02-04,100,84.0,,0.84,84.0
2022-02-05,74,84.0,,0.84,62.16
2022-02-06,83,96.0,False,0.96,79.67999999999999
2022-02-07,77,96.0,,0.96,73.92
2022-02-08,61,96.0,,0.96,58.559999999999995
2022-02-09,88,96.0,,0.96,84.47999999999999
2022-02-10,80,96.0,,0.96,76.8
2022-02-11,43,96.0,,0.96,41.28
2022-02-12,69,96.0,,0.96,66.24
2022-02-13,30,75.0,False,0.75,22.5
2022-02-14,26,75.0,,0.75,19.5
2022-02-15,41,75.0,,0.75,30.75
2022-02-16,47,75.0,,0.75,35.25
2022-02-17,97,75.0,,0.75,72.75
2022-02-18,45,75.0,,0.75,33.75
2022-02-19,98,75.0,,0.75,73.5
2022-02-20,77,57.0,False,0.57,43.88999999999999
2022-02-21,42,57.0,,0.57,23.939999999999998
2022-02-22,30,57.0,,0.57,17.099999999999998
2022-02-23,41,57.0,,0.57,23.369999999999997
2022-02-24,58,57.0,,0.57,33.059999999999995
2022-02-25,29,57.0,,0.57,16.529999999999998
2022-02-26,24,57.0,,0.57,13.68
2022-02-27,43,76.0,False,0.76,32.68
2022-02-28,54,76.0,,0.76,41.04
2022-03-01,52,76.0,,0.76,39.52
2022-03-02,100,76.0,,0.76,76.0
2022-03-03,84,76.0,,0.76,63.84
2022-03-04,49,76.0,,0.76,37.24
2022-03-05,81,76.0,,0.76,61.56
2022-03-06,33,60.0,False,0.6,19.8
2022-03-07,70,60.0,,0.6,42.0
2022-03-08,71,60.0,,0.6,42.6
2022-03-09,62,60.0,,0.6,37.199999999999996
2022-03-10,32,60.0,,0.6,19.2
2022-03-11,61,60.0,,0.6,36.6
2022-03-12,47,60.0,,0.6,28.2
2022-03-13,42,59.0,False,0.59,24.779999999999998
2022-03-14,41,59.0,,0.59,24.189999999999998
2022-03-15,56,59.0,,0.59,33.04
2022-03-16,60,59.0,,0.59,35.4
2022-03-17,47,59.0,,0.59,27.729999999999997
2022-03-18,60,59.0,,0.59,35.4
2022-03-19,41,59.0,,0.59,24.189999999999998
2022-03-20,31,49.0,False,0.49,15.19
2022-03-21,59,49.0,,0.49,28.91
2022-03-22,45,49.0,,0.49,22.05
2022-03-23,48,49.0,,0.49,23.52
2022-03-24,60,49.0,,0.49,29.4
2022-03-25,37,49.0,,0.49,18.13
2022-03-26,51,49.0,,0.49,24.99
2022-03-27,58,69.0,False,0.69,40.019999999999996
2022-03-28,87,69.0,,0.69,60.029999999999994
2022-03-29,77,69.0,,0.69,53.129999999999995
2022-03-30,64,69.0,,0.69,44.16
2022-03-31,83,69.0,,0.69,57.269999999999996
2022-04-01,0,69.0,,0.69,0.0
2022-04-02,49,69.0,,0.69,33.809999999999995
2022-04-03,65,65.0,False,0.65,42.25
2022-04-04,41,65.0,,0.65,26.650000000000002
2022-04-05,34,65.0,,0.65,22.1
2022-04-06,49,65.0,,0.65,31.85
2022-04-07,32,65.0,,0.65,20.8
2022-04-08,45,65.0,,0.65,29.25
2022-04-09,66,65.0,,0.65,42.9
2022-04-10,56,62.0,False,0.62,34.72
2022-04-11,65,62.0,,0.62,40.3
2022-04-12,100,62.0,,0.62,62.0
2022-04-13,40,62.0,,0.62,24.8
2022-04-14,73,62.0,,0.62,45.26
2022-04-15,73,62.0,,0.62,45.26
2022-04-16,47,62.0,,0.62,29.14
2022-04-17,40,63.0,False,0.63,25.2
2022-04-18,45,63.0,,0.63,28.35
2022-04-19,39,63.0,,0.63,24.57
2022-04-20,20,63.0,,0.63,12.6
2022-04-21,14,63.0,,0.63,8.82
2022-04-22,53,63.0,,0.63,33.39
2022-04-23,61,63.0,,0.63,38.43
2022-04-24,28,59.0,False,0.59,16.52
2022-04-25,41,59.0,,0.59,24.189999999999998
2022-04-26,40,59.0,,0.59,23.599999999999998
2022-04-27,47,59.0,,0.59,27.729999999999997
2022-04-28,49,59.0,,0.59,28.91
2022-04-29,37,59.0,,0.59,21.83
2022-04-30,58,59.0,,0.59,34.22
2022-05-01,58,52.0,False,0.52,30.16
2022-05-02,34,52.0,,0.52,17.68
2022-05-03,48,52.0,,0.52,24.96
2022-05-04,52,52.0,,0.52,27.04
2022-05-05,11,52.0,,0.52,5.720000000000001
2022-05-06,30,52.0,,0.52,15.600000000000001
2022-05-07,48,52.0,,0.52,24.96
2022-05-08,46,86.0,False,0.86,39.56
2022-05-09,55,86.0,,0.86,47.3
2022-05-10,100,86.0,,0.86,86.0
2022-05-11,62,86.0,,0.86,53.32
2022-05-12,28,86.0,,0.86,24.08
2022-05-13,62,86.0,,0.86,53.32
2022-05-14,63,86.0,,0.86,54.18
2022-05-15,63,59.0,False,0.59,37.169999999999995
2022-05-16,38,59.0,,0.59,22.419999999999998
2022-05-17,35,59.0,,0.59,20.65
2022-05-18,36,59.0,,0.59,21.24
2022-05-19,69,59.0,,0.59,40.71
2022-05-20,43,59.0,,0.59,25.369999999999997
2022-05-21,27,59.0,,0.59,15.93
2022-05-22,28,51.0,False,0.51,14.280000000000001
2022-05-23,27,51.0,,0.51,13.77
2022-05-24,66,51.0,,0.51,33.660000000000004
2022-05-25,29,51.0,,0.51,14.790000000000001
2022-05-26,0,51.0,,0.51,0.0
2022-05-27,23,51.0,,0.51,11.73
2022-05-28,57,51.0,,0.51,29.07
2022-05-29,24,42.0,False,0.42,10.08
2022-05-30,31,42.0,,0.42,13.02
2022-05-31,38,42.0,,0.42,15.959999999999999
2022-06-01,21,42.0,,0.42,8.82
2022-06-02,21,42.0,,0.42,8.82
2022-06-03,31,42.0,,0.42,13.02
2022-06-04,23,42.0,,0.42,9.66
2022-06-05,57,56.0,False,0.56,31.92
2022-06-06,0,56.0,,0.56,0.0
2022-06-07,54,56.0,,0.56,30.240000000000002
2022-06-08,19,56.0,,0.56,10.64
2022-06-09,23,56.0,,0.56,12.88
2022-06-10,32,56.0,,0.56,17.92
2022-06-11,15,56.0,,0.56,8.4
2022-06-12,30,75.0,False,0.75,22.5
2022-06-13,92,75.0,,0.75,69.0
2022-06-14,61,75.0,,0.75,45.75
2022-06-15,20,75.0,,0.75,15.0
2022-06-16,52,75.0,,0.75,39.0
2022-06-17,60,75.0,,0.75,45.0
2022-06-18,100,75.0,,0.75,75.0
2022-06-19,45,66.0,False,0.66,29.700000000000003
2022-06-20,28,66.0,,0.66,18.48
2022-06-21,43,66.0,,0.66,28.380000000000003
2022-06-22,33,66.0,,0.66,21.78
2022-06-23,80,66.0,,0.66,52.800000000000004
2022-06-24,39,66.0,,0.66,25.740000000000002
2022-06-25,43,66.0,,0.66,28.380000000000003
2022-06-26,39,40.0,False,0.4,15.600000000000001
2022-06-27,55,40.0,,0.4,22.0
2022-06-28,16,40.0,,0.4,6.4
2022-06-29,19,40.0,,0.4,7.6000000000000005
2022-06-30,34,40.0,,0.4,13.600000000000001
2022-07-01,47,40.0,,0.4,18.8
2022-07-02,70,40.0,,0.4,28.0
2022-07-03,100,44.0,False,0.44,44.0
2022-07-04,61,44.0,,0.44,26.84
2022-07-05,67,44.0,,0.44,29.48
2022-07-06,70,44.0,,0.44,30.8
2022-07-07,52,44.0,,0.44,22.88
2022-07-08,50,44.0,,0.44,22.0
2022-07-09,46,44.0,,0.44,20.24
2022-07-10,47,45.0,False,0.45,21.150000000000002
2022-07-11,78,45.0,,0.45,35.1
2022-07-12,77,45.0,,0.45,34.65
2022-07-13,23,45.0,,0.45,10.35
2022-07-14,53,45.0,,0.45,23.85
2022-07-15,72,45.0,,0.45,32.4
2022-07-16,97,45.0,,0.45,43.65
2022-07-17,31,48.0,False,0.48,14.879999999999999
2022-07-18,0,48.0,,0.48,0.0
