date,/g/11qgz2_44f_unscaled,/g/11qgz2_44f_monthly,isPartial,scale,/g/11qgz2_44f
2022-01-01,38,,,,
2022-01-02,51,51.0,False,0.51,26.01
2022-01-03,43,51.0,,0.51,21.93
2022-01-04,66,51.0,,0.51,33.660000000000004
2022-01-05,66,51.0,,0.51,33.660000000000004
2022-01-06,64,51.0,,0.51,32.64
2022-01-07,68,51.0,,0.51,34.68
2022-01-08,61,51.0,,0.51,31.11
2022-01-09,63,56.0,False,0.56,35.28
2022-01-10,68,56.0,,0.56,38.080000000000005
2022-01-11,61,56.0,,0.56,34.160000000000004
2022-01-12,61,56.0,,0.56,34.160000000000004
2022-01-13,93,56.0,,0.56,52.080000000000005
2022-01-14,62,56.0,,0.56,34.720000000000006
2022-01-15,47,56.0,,0.56,26.320000000000004
2022-01-16,76,45.0,False,0.45,34.2
2022-01-17,50,45.0,,0.45,22.5
2022-01-18,50,45.0,,0.45,22.5
2022-01-19,55,45.0,,0.45,24.75
2022-01-20,47,45.0,,0.45,21.150000000000002
2022-01-21,50,45.0,,0.45,22.5
2022-01-22,55,45.0,,0.45,24.75
2022-01-23,50,64.0,False,0.64,32.0
2022-01-24,77,64.0,,0.64,49.28
2022-01-25,100,64.0,,0.64,64.0
2022-01-26,71,64.0,,0.64,45.44
2022-01-27,72,64.0,,0.64,46.08
2022-01-28,81,64.0,,0.64,51.84
2022-01-29,82,64.0,,0.64,52.480000000000004
2022-01-30,65,70.0,False,0.7,45.5
2022-01-31,54,70.0,,0.7,37.8
2022-02-01,54,70.0,,0.7,37.8
2022-02-02,51,70.0,,0.7,35.699999999999996
2022-02-03,52,70.0,,0.7,36.4
2022-02-04,62,70.0,,0.7,43.4
2022-02-05,63,70.0,,0.7,44.099999999999994
2022-02-06,70,100.0,False,1.0,70.0
2022-02-07,79,100.0,,1.0,79.0
2022-02-08,84,100.0,,1.0,84.0
2022-02-09,71,100.0,,1.0,71.0
2022-02-10,86,100.0,,1.0,86.0
2022-02-11,65,100.0,,1.0,65.0
2022-02-12,74,100.0,,1.0,74.0
2022-02-13,100,98.0,False,0.98,98.0
2022-02-14,83,98.0,,0.98,81.34
2022-02-15,75,98.0,,0.98,73.5
2022-02-16,66,98.0,,0.98,64.67999999999999
2022-02-17,64,98.0,,0.98,62.72
2022-02-18,73,98.0,,0.98,71.53999999999999
2022-02-19,63,98.0,,0.98,61.74
2022-02-20,75,82.0,False,0.82,61.49999999999999
2022-02-21,64,82.0,,0.82,52.48
