date,Bitcoin News_unscaled,Bitcoin News_monthly,isPartial,scale,Bitcoin News
2022-01-01,23,,,,
2022-01-02,14,59.0,False,0.59,8.26
2022-01-03,29,59.0,,0.59,17.11
2022-01-04,41,59.0,,0.59,24.189999999999998
2022-01-05,58,59.0,,0.59,34.22
2022-01-06,62,59.0,,0.59,36.58
2022-01-07,56,59.0,,0.59,33.04
2022-01-08,37,59.0,,0.59,21.83
2022-01-09,36,50.0,False,0.5,18.0
2022-01-10,42,50.0,,0.5,21.0
2022-01-11,35,50.0,,0.5,17.5
2022-01-12,28,50.0,,0.5,14.0
2022-01-13,40,50.0,,0.5,20.0
2022-01-14,23,50.0,,0.5,11.5
2022-01-15,24,50.0,,0.5,12.0
2022-01-16,26,71.0,False,0.71,18.46
2022-01-17,31,71.0,,0.71,22.009999999999998
2022-01-18,27,71.0,,0.71,19.169999999999998
2022-01-19,20,71.0,,0.71,14.2
2022-01-20,26,71.0,,0.71,18.46
2022-01-21,97,71.0,,0.71,68.86999999999999
2022-01-22,100,71.0,,0.71,71.0
2022-01-23,52,71.0,False,0.71,36.92
2022-01-24,91,71.0,,0.71,64.61
2022-01-25,51,71.0,,0.71,36.21
2022-01-26,47,71.0,,0.71,33.37
2022-01-27,42,71.0,,0.71,29.82
2022-01-28,38,71.0,,0.71,26.979999999999997
2022-01-29,22,71.0,,0.71,15.62
2022-01-30,36,50.0,False,0.5,18.0
2022-01-31,36,50.0,,0.5,18.0
2022-02-01,44,50.0,,0.5,22.0
2022-02-02,53,50.0,,0.5,26.5
2022-02-03,48,50.0,,0.5,24.0
2022-02-04,55,50.0,,0.5,27.5
2022-02-05,55,50.0,,0.5,27.5
2022-02-06,43,49.0,False,0.49,21.07
2022-02-07,51,49.0,,0.49,24.99
2022-02-08,49,49.0,,0.49,24.009999999999998
2022-02-09,53,49.0,,0.49,25.97
2022-02-10,63,49.0,,0.49,30.87
2022-02-11,48,49.0,,0.49,23.52
2022-02-12,34,49.0,,0.49,16.66
2022-02-13,35,44.0,False,0.44,15.4
2022-02-14,40,44.0,,0.44,17.6
2022-02-15,47,44.0,,0.44,20.68
2022-02-16,20,44.0,,0.44,8.8
2022-02-17,45,44.0,,0.44,19.8
2022-02-18,58,44.0,,0.44,25.52
2022-02-19,45,44.0,,0.44,19.8
2022-02-20,62,64.0,False,0.64,39.68
2022-02-21,65,64.0,,0.64,41.6
2022-02-22,75,64.0,,0.64,48.0
2022-02-23,51,64.0,,0.64,32.64
2022-02-24,100,64.0,,0.64,64.0
2022-02-25,71,64.0,,0.64,45.44
2022-02-26,58,64.0,,0.64,37.12
2022-02-27,65,63.0,False,0.63,40.95
2022-02-28,82,63.0,,0.63,51.660000000000004
2022-03-01,100,63.0,,0.63,63.0
2022-03-02,79,63.0,,0.63,49.77
2022-03-03,67,63.0,,0.63,42.21
2022-03-04,69,63.0,,0.63,43.47
2022-03-05,56,63.0,,0.63,35.28
2022-03-06,59,52.0,False,0.52,30.68
2022-03-07,81,52.0,,0.52,42.120000000000005
2022-03-08,51,52.0,,0.52,26.52
2022-03-09,93,52.0,,0.52,48.36
2022-03-10,64,52.0,,0.52,33.28
2022-03-11,53,52.0,,0.52,27.560000000000002
2022-03-12,41,52.0,,0.52,21.32
2022-03-13,43,43.0,False,0.43,18.49
2022-03-14,65,43.0,,0.43,27.95
2022-03-15,57,43.0,,0.43,24.509999999999998
2022-03-16,67,43.0,,0.43,28.81
2022-03-17,43,43.0,,0.43,18.49
2022-03-18,45,43.0,,0.43,19.35
2022-03-19,59,43.0,,0.43,25.37
2022-03-20,35,33.0,False,0.33,11.55
2022-03-21,40,33.0,,0.33,13.200000000000001
2022-03-22,43,33.0,,0.33,14.190000000000001
2022-03-23,40,33.0,,0.33,13.200000000000001
2022-03-24,46,33.0,,0.33,15.180000000000001
2022-03-25,40,33.0,,0.33,13.200000000000001
2022-03-26,45,33.0,,0.33,14.850000000000001
2022-03-27,59,40.0,False,0.4,23.6
2022-03-28,70,40.0,,0.4,28.0
2022-03-29,46,40.0,,0.4,18.400000000000002
2022-03-30,47,40.0,,0.4,18.8
2022-03-31,40,40.0,,0.4,16.0
2022-04-01,79,40.0,,0.4,31.6
2022-04-02,48,40.0,,0.4,19.200000000000003
2022-04-03,52,31.0,False,0.31,16.12
2022-04-04,70,31.0,,0.31,21.7
2022-04-05,61,31.0,,0.31,18.91
2022-04-06,65,31.0,,0.31,20.15
2022-04-07,70,31.0,,0.31,21.7
2022-04-08,71,31.0,,0.31,22.01
2022-04-09,51,31.0,,0.31,15.81
2022-04-10,60,34.0,False,0.34,20.400000000000002
2022-04-11,100,34.0,,0.34,34.0
2022-04-12,73,34.0,,0.34,24.82
2022-04-13,53,34.0,,0.34,18.02
2022-04-14,65,34.0,,0.34,22.1
2022-04-15,74,34.0,,0.34,25.16
2022-04-16,38,34.0,,0.34,12.920000000000002
2022-04-17,49,29.0,False,0.29,14.209999999999999
2022-04-18,75,29.0,,0.29,21.75
2022-04-19,51,29.0,,0.29,14.79
2022-04-20,47,29.0,,0.29,13.629999999999999
2022-04-21,60,29.0,,0.29,17.4
2022-04-22,55,29.0,,0.29,15.95
2022-04-23,59,29.0,,0.29,17.11
2022-04-24,57,30.0,False,0.3,17.099999999999998
2022-04-25,58,30.0,,0.3,17.4
2022-04-26,60,30.0,,0.3,18.0
2022-04-27,61,30.0,,0.3,18.3
2022-04-28,48,30.0,,0.3,14.399999999999999
2022-04-29,67,30.0,,0.3,20.099999999999998
2022-04-30,53,30.0,,0.3,15.899999999999999
2022-05-01,24,33.0,False,0.33,7.92
2022-05-02,28,33.0,,0.33,9.24
2022-05-03,27,33.0,,0.33,8.91
2022-05-04,23,33.0,,0.33,7.590000000000001
2022-05-05,36,33.0,,0.33,11.88
2022-05-06,37,33.0,,0.33,12.21
2022-05-07,37,33.0,,0.33,12.21
2022-05-08,49,74.0,False,0.74,36.26
2022-05-09,75,74.0,,0.74,55.5
2022-05-10,60,74.0,,0.74,44.4
2022-05-11,72,74.0,,0.74,53.28
2022-05-12,100,74.0,,0.74,74.0
2022-05-13,75,74.0,,0.74,55.5
2022-05-14,50,74.0,,0.74,37.0
2022-05-15,43,50.0,False,0.5,21.5
2022-05-16,51,50.0,,0.5,25.5
2022-05-17,46,50.0,,0.5,23.0
2022-05-18,48,50.0,,0.5,24.0
2022-05-19,38,50.0,,0.5,19.0
2022-05-20,48,50.0,,0.5,24.0
2022-05-21,31,50.0,,0.5,15.5
2022-05-22,30,42.0,False,0.42,12.6
2022-05-23,44,42.0,,0.42,18.48
2022-05-24,38,42.0,,0.42,15.959999999999999
2022-05-25,36,42.0,,0.42,15.12
2022-05-26,38,42.0,,0.42,15.959999999999999
2022-05-27,42,42.0,,0.42,17.64
2022-05-28,31,42.0,,0.42,13.02
2022-05-29,30,37.0,False,0.37,11.1
2022-05-30,36,37.0,,0.37,13.32
