date,Bitcoin Price_unscaled,Bitcoin Price_monthly,isPartial,scale,Bitcoin Price
2022-01-01,19,,,,
2022-01-02,19,44.0,False,0.44,8.36
2022-01-03,22,44.0,,0.44,9.68
2022-01-04,30,44.0,,0.44,13.2
2022-01-05,31,44.0,,0.44,13.64
2022-01-06,42,44.0,,0.44,18.48
2022-01-07,40,44.0,,0.44,17.6
2022-01-08,28,44.0,,0.44,12.32
2022-01-09,28,42.0,False,0.42,11.76
2022-01-10,34,42.0,,0.42,14.28
2022-01-11,30,42.0,,0.42,12.6
2022-01-12,26,42.0,,0.42,10.92
2022-01-13,30,42.0,,0.42,12.6
2022-01-14,23,42.0,,0.42,9.66
2022-01-15,18,42.0,,0.42,7.56
2022-01-16,24,50.0,False,0.5,12.0
2022-01-17,21,50.0,,0.5,10.5
2022-01-18,23,50.0,,0.5,11.5
2022-01-19,20,50.0,,0.5,10.0
2022-01-20,21,50.0,,0.5,10.5
2022-01-21,59,50.0,,0.5,29.5
2022-01-22,75,50.0,,0.5,37.5
2022-01-23,51,68.0,False,0.68,34.68
2022-01-24,100,68.0,,0.68,68.0
2022-01-25,60,68.0,,0.68,40.800000000000004
2022-01-26,44,68.0,,0.68,29.92
2022-01-27,40,68.0,,0.68,27.200000000000003
2022-01-28,38,68.0,,0.68,25.840000000000003
2022-01-29,27,68.0,,0.68,18.360000000000003
2022-01-30,24,40.0,False,0.4,9.600000000000001
2022-01-31,27,40.0,,0.4,10.8
2022-02-01,57,40.0,,0.4,22.8
2022-02-02,51,40.0,,0.4,20.400000000000002
2022-02-03,52,40.0,,0.4,20.8
2022-02-04,58,40.0,,0.4,23.200000000000003
2022-02-05,53,40.0,,0.4,21.200000000000003
2022-02-06,46,41.0,False,0.41,18.86
2022-02-07,65,41.0,,0.41,26.65
2022-02-08,58,41.0,,0.41,23.779999999999998
2022-02-09,47,41.0,,0.41,19.27
2022-02-10,60,41.0,,0.41,24.599999999999998
2022-02-11,49,41.0,,0.41,20.09
2022-02-12,41,41.0,,0.41,16.81
2022-02-13,35,32.0,False,0.32,11.200000000000001
2022-02-14,48,32.0,,0.32,15.36
2022-02-15,44,32.0,,0.32,14.08
2022-02-16,39,32.0,,0.32,12.48
2022-02-17,42,32.0,,0.32,13.44
2022-02-18,49,32.0,,0.32,15.68
2022-02-19,36,32.0,,0.32,11.52
2022-02-20,45,48.0,False,0.48,21.599999999999998
2022-02-21,51,48.0,,0.48,24.48
2022-02-22,74,48.0,,0.48,35.519999999999996
2022-02-23,52,48.0,,0.48,24.96
2022-02-24,100,48.0,,0.48,48.0
2022-02-25,69,48.0,,0.48,33.12
2022-02-26,45,48.0,,0.48,21.599999999999998
2022-02-27,45,37.0,False,0.37,16.65
2022-02-28,62,37.0,,0.37,22.94
2022-03-01,100,37.0,,0.37,37.0
2022-03-02,77,37.0,,0.37,28.49
2022-03-03,67,37.0,,0.37,24.79
2022-03-04,64,37.0,,0.37,23.68
2022-03-05,54,37.0,,0.37,19.98
2022-03-06,50,36.0,False,0.36,18.0
2022-03-07,76,36.0,,0.36,27.36
2022-03-08,71,36.0,,0.36,25.56
2022-03-09,85,36.0,,0.36,30.599999999999998
2022-03-10,72,36.0,,0.36,25.919999999999998
2022-03-11,61,36.0,,0.36,21.96
2022-03-12,49,36.0,,0.36,17.64
2022-03-13,45,29.0,False,0.29,13.049999999999999
2022-03-14,55,29.0,,0.29,15.95
2022-03-15,53,29.0,,0.29,15.37
2022-03-16,56,29.0,,0.29,16.24
2022-03-17,49,29.0,,0.29,14.209999999999999
2022-03-18,52,29.0,,0.29,15.079999999999998
2022-03-19,46,29.0,,0.29,13.34
2022-03-20,44,28.0,False,0.28,12.32
2022-03-21,49,28.0,,0.28,13.72
2022-03-22,50,28.0,,0.28,14.000000000000002
2022-03-23,45,28.0,,0.28,12.600000000000001
2022-03-24,54,28.0,,0.28,15.120000000000001
2022-03-25,54,28.0,,0.28,15.120000000000001
2022-03-26,44,28.0,,0.28,12.32
2022-03-27,50,27.0,False,0.27,13.5
2022-03-28,62,27.0,,0.27,16.740000000000002
2022-03-29,55,27.0,,0.27,14.850000000000001
2022-03-30,52,27.0,,0.27,14.040000000000001
2022-03-31,45,27.0,,0.27,12.15
2022-04-01,87,27.0,,0.27,23.490000000000002
2022-04-02,83,27.0,,0.27,22.41
2022-04-03,81,22.0,False,0.22,17.82
2022-04-04,82,22.0,,0.22,18.04
2022-04-05,77,22.0,,0.22,16.94
2022-04-06,83,22.0,,0.22,18.26
2022-04-07,79,22.0,,0.22,17.38
2022-04-08,80,22.0,,0.22,17.6
2022-04-09,74,22.0,,0.22,16.28
2022-04-10,76,25.0,False,0.25,19.0
2022-04-11,100,25.0,,0.25,25.0
2022-04-12,97,25.0,,0.25,24.25
2022-04-13,90,25.0,,0.25,22.5
2022-04-14,80,25.0,,0.25,20.0
