date,/g/11fsw_ffbn_unscaled,/g/11fsw_ffbn_monthly,isPartial,scale,/g/11fsw_ffbn
2022-01-01,49,,,,
2022-01-02,59,74.0,False,0.74,43.66
2022-01-03,33,74.0,,0.74,24.419999999999998
2022-01-04,28,74.0,,0.74,20.72
2022-01-05,35,74.0,,0.74,25.9
2022-01-06,37,74.0,,0.74,27.38
2022-01-07,15,74.0,,0.74,11.1
2022-01-08,100,74.0,,0.74,74.0
2022-01-09,28,71.0,False,0.71,19.88
2022-01-10,52,71.0,,0.71,36.92
2022-01-11,28,71.0,,0.71,19.88
2022-01-12,0,71.0,,0.71,0.0
2022-01-13,43,71.0,,0.71,30.529999999999998
2022-01-14,74,71.0,,0.71,52.54
2022-01-15,48,71.0,,0.71,34.08
2022-01-16,45,65.0,False,0.65,29.25
2022-01-17,31,65.0,,0.65,20.150000000000002
2022-01-18,31,65.0,,0.65,20.150000000000002
2022-01-19,37,65.0,,0.65,24.05
2022-01-20,34,65.0,,0.65,22.1
2022-01-21,0,65.0,,0.65,0.0
2022-01-22,25,65.0,,0.65,16.25
2022-01-23,47,74.0,False,0.74,34.78
2022-01-24,67,74.0,,0.74,49.58
2022-01-25,29,74.0,,0.74,21.46
2022-01-26,34,74.0,,0.74,25.16
2022-01-27,36,74.0,,0.74,26.64
2022-01-28,39,74.0,,0.74,28.86
2022-01-29,37,74.0,,0.74,27.38
2022-01-30,30,69.0,False,0.69,20.7
2022-01-31,15,69.0,,0.69,10.35
2022-02-01,47,69.0,,0.69,32.43
2022-02-02,49,69.0,,0.69,33.809999999999995
2022-02-03,43,69.0,,0.69,29.669999999999998
2022-02-04,44,69.0,,0.69,30.36
2022-02-05,0,69.0,,0.69,0.0
2022-02-06,77,53.0,False,0.53,40.81
2022-02-07,29,53.0,,0.53,15.370000000000001
2022-02-08,26,53.0,,0.53,13.780000000000001
2022-02-09,51,53.0,,0.53,27.03
2022-02-10,65,53.0,,0.53,34.45
2022-02-11,51,53.0,,0.53,27.03
2022-02-12,79,53.0,,0.53,41.870000000000005
2022-02-13,36,75.0,False,0.75,27.0
2022-02-14,67,75.0,,0.75,50.25
2022-02-15,58,75.0,,0.75,43.5
2022-02-16,41,75.0,,0.75,30.75
2022-02-17,32,75.0,,0.75,24.0
2022-02-18,56,75.0,,0.75,42.0
2022-02-19,67,75.0,,0.75,50.25
2022-02-20,69,80.0,False,0.8,55.2
2022-02-21,17,80.0,,0.8,13.600000000000001
2022-02-22,99,80.0,,0.8,79.2
2022-02-23,30,80.0,,0.8,24.0
2022-02-24,60,80.0,,0.8,48.0
2022-02-25,53,80.0,,0.8,42.400000000000006
2022-02-26,69,80.0,,0.8,55.2
2022-02-27,100,77.0,False,0.77,77.0
2022-02-28,0,77.0,,0.77,0.0
2022-03-01,67,77.0,,0.77,51.59
2022-03-02,100,77.0,,0.77,77.0
2022-03-03,29,77.0,,0.77,22.330000000000002
2022-03-04,18,77.0,,0.77,13.86
2022-03-05,54,77.0,,0.77,41.58
2022-03-06,70,64.0,False,0.64,44.800000000000004
2022-03-07,0,64.0,,0.64,0.0
2022-03-08,51,64.0,,0.64,32.64
2022-03-09,50,64.0,,0.64,32.0
2022-03-10,59,64.0,,0.64,37.76
2022-03-11,0,64.0,,0.64,0.0
2022-03-12,0,64.0,,0.64,0.0
2022-03-13,56,100.0,False,1.0,56.0
2022-03-14,62,100.0,,1.0,62.0
2022-03-15,97,100.0,,1.0,97.0
2022-03-16,62,100.0,,1.0,62.0
2022-03-17,0,100.0,,1.0,0.0
2022-03-18,80,100.0,,1.0,80.0
2022-03-19,79,100.0,,1.0,79.0
2022-03-20,38,76.0,False,0.76,28.88
2022-03-21,0,76.0,,0.76,0.0
2022-03-22,36,76.0,,0.76,27.36
2022-03-23,0,76.0,,0.76,0.0
2022-03-24,21,76.0,,0.76,15.96
2022-03-25,57,76.0,,0.76,43.32
2022-03-26,67,76.0,,0.76,50.92
2022-03-27,62,78.0,False,0.78,48.36
2022-03-28,58,78.0,,0.78,45.24
2022-03-29,0,78.0,,0.78,0.0
2022-03-30,0,78.0,,0.78,0.0
2022-03-31,62,78.0,,0.78,48.36
2022-04-01,41,78.0,,0.78,31.98
2022-04-02,35,78.0,,0.78,27.3
2022-04-03,51,86.0,False,0.86,43.86
2022-04-04,49,86.0,,0.86,42.14
2022-04-05,41,86.0,,0.86,35.26
2022-04-06,80,86.0,,0.86,68.8
2022-04-07,87,86.0,,0.86,74.82
2022-04-08,0,86.0,,0.86,0.0
2022-04-09,74,86.0,,0.86,63.64
2022-04-10,38,79.0,False,0.79,30.020000000000003
2022-04-11,83,79.0,,0.79,65.57000000000001
2022-04-12,53,79.0,,0.79,41.870000000000005
2022-04-13,0,79.0,,0.79,0.0
2022-04-14,41,79.0,,0.79,32.39
2022-04-15,65,79.0,,0.79,51.35
2022-04-16,34,79.0,,0.79,26.86
2022-04-17,45,78.0,False,0.78,35.1
2022-04-18,73,78.0,,0.78,56.940000000000005
2022-04-19,56,78.0,,0.78,43.68
2022-04-20,100,78.0,,0.78,78.0
2022-04-21,23,78.0,,0.78,17.94
2022-04-22,16,78.0,,0.78,12.48
2022-04-23,98,78.0,,0.78,76.44
2022-04-24,73,59.0,False,0.59,43.07
2022-04-25,56,59.0,,0.59,33.04
2022-04-26,0,59.0,,0.59,0.0
2022-04-27,21,59.0,,0.59,12.389999999999999
2022-04-28,15,59.0,,0.59,8.85
2022-04-29,60,59.0,,0.59,35.4
2022-04-30,39,59.0,,0.59,23.009999999999998
2022-05-01,34,62.0,False,0.62,21.08
2022-05-02,17,62.0,,0.62,10.54
2022-05-03,46,62.0,,0.62,28.52
2022-05-04,30,62.0,,0.62,18.6
2022-05-05,20,62.0,,0.62,12.4
2022-05-06,62,62.0,,0.62,38.44
2022-05-07,18,62.0,,0.62,11.16
2022-05-08,38,66.0,False,0.66,25.080000000000002
2022-05-09,0,66.0,,0.66,0.0
2022-05-10,22,66.0,,0.66,14.520000000000001
2022-05-11,34,66.0,,0.66,22.44
2022-05-12,100,66.0,,0.66,66.0
2022-05-13,36,66.0,,0.66,23.76
2022-05-14,33,66.0,,0.66,21.78
2022-05-15,24,62.0,False,0.62,14.879999999999999
2022-05-16,44,62.0,,0.62,27.28
2022-05-17,31,62.0,,0.62,19.22
2022-05-18,64,62.0,,0.62,39.68
2022-05-19,28,62.0,,0.62,17.36
2022-05-20,15,62.0,,0.62,9.3
2022-05-21,0,62.0,,0.62,0.0
2022-05-22,14,45.0,False,0.45,6.3
2022-05-23,33,45.0,,0.45,14.85
2022-05-24,0,45.0,,0.45,0.0
2022-05-25,0,45.0,,0.45,0.0
2022-05-26,34,45.0,,0.45,15.3
2022-05-27,46,45.0,,0.45,20.7
2022-05-28,0,45.0,,0.45,0.0
2022-05-29,24,54.0,False,0.54,12.96
2022-05-30,29,54.0,,0.54,15.66
2022-05-31,0,54.0,,0.54,0.0
2022-06-01,100,54.0,,0.54,54.0
2022-06-02,0,54.0,,0.54,0.0
2022-06-03,22,54.0,,0.54,11.88
2022-06-04,53,54.0,,0.54,28.62
2022-06-05,38,47.0,False,0.47,17.86
2022-06-06,38,47.0,,0.47,17.86
2022-06-07,0,47.0,,0.47,0.0
2022-06-08,19,47.0,,0.47,8.93
2022-06-09,0,47.0,,0.47,0.0
2022-06-10,34,47.0,,0.47,15.979999999999999
2022-06-11,0,47.0,,0.47,0.0
2022-06-12,26,76.0,False,0.76,19.76
2022-06-13,32,76.0,,0.76,24.32
2022-06-14,0,76.0,,0.76,0.0
2022-06-15,70,76.0,,0.76,53.2
2022-06-16,0,76.0,,0.76,0.0
2022-06-17,73,76.0,,0.76,55.480000000000004
2022-06-18,0,76.0,,0.76,0.0
2022-06-19,0,55.0,False,0.55,0.0
2022-06-20,0,55.0,,0.55,0.0
2022-06-21,0,55.0,,0.55,0.0
2022-06-22,0,55.0,,0.55,0.0
2022-06-23,21,55.0,,0.55,11.55
2022-06-24,54,55.0,,0.55,29.700000000000003
2022-06-25,48,55.0,,0.55,26.400000000000002
2022-06-26,45,45.0,False,0.45,20.25
2022-06-27,0,45.0,,0.45,0.0
2022-06-28,63,45.0,,0.45,28.35
2022-06-29,56,45.0,,0.45,25.2
2022-06-30,47,45.0,,0.45,21.150000000000002
2022-07-01,42,45.0,,0.45,18.900000000000002
2022-07-02,54,45.0,,0.45,24.3
2022-07-03,0,67.0,False,0.67,0.0
2022-07-04,18,67.0,,0.67,12.06
2022-07-05,36,67.0,,0.67,24.12
2022-07-06,38,67.0,,0.67,25.46
2022-07-07,0,67.0,,0.67,0.0
2022-07-08,22,67.0,,0.67,14.74
2022-07-09,0,67.0,,0.67,0.0
2022-07-10,89,69.0,False,0.69,61.41
2022-07-11,59,69.0,,0.69,40.709999999999994
2022-07-12,0,69.0,,0.69,0.0
2022-07-13,0,69.0,,0.69,0.0
2022-07-14,31,69.0,,0.69,21.389999999999997
2022-07-15,51,69.0,,0.69,35.19
2022-07-16,19,69.0,,0.69,13.11
2022-07-17,21,54.0,False,0.54,11.34
