date,/m/05p0rrx_unscaled,/m/05p0rrx_monthly,isPartial,scale,/m/05p0rrx
2022-01-01,25,,,,
2022-01-02,25,49.0,False,0.49,12.25
2022-01-03,30,49.0,,0.49,14.7
2022-01-04,42,49.0,,0.49,20.58
2022-01-05,44,49.0,,0.49,21.56
2022-01-06,51,49.0,,0.49,24.99
2022-01-07,44,49.0,,0.49,21.56
2022-01-08,39,49.0,,0.49,19.11
2022-01-09,34,47.0,False,0.47,15.979999999999999
2022-01-10,44,47.0,,0.47,20.68
2022-01-11,33,47.0,,0.47,15.51
2022-01-12,34,47.0,,0.47,15.979999999999999
2022-01-13,38,47.0,,0.47,17.86
2022-01-14,31,47.0,,0.47,14.569999999999999
2022-01-15,26,47.0,,0.47,12.219999999999999
2022-01-16,28,50.0,False,0.5,14.0
2022-01-17,27,50.0,,0.5,13.5
2022-01-18,33,50.0,,0.5,16.5
2022-01-19,27,50.0,,0.5,13.5
2022-01-20,28,50.0,,0.5,14.0
2022-01-21,64,50.0,,0.5,32.0
2022-01-22,77,50.0,,0.5,38.5
2022-01-23,54,65.0,False,0.65,35.1
2022-01-24,100,65.0,,0.65,65.0
2022-01-25,65,65.0,,0.65,42.25
2022-01-26,50,65.0,,0.65,32.5
2022-01-27,44,65.0,,0.65,28.6
2022-01-28,40,65.0,,0.65,26.0
2022-01-29,36,65.0,,0.65,23.400000000000002
2022-01-30,31,44.0,False,0.44,13.64
2022-01-31,32,44.0,,0.44,14.08
2022-02-01,59,44.0,,0.44,25.96
2022-02-02,56,44.0,,0.44,24.64
2022-02-03,58,44.0,,0.44,25.52
2022-02-04,73,44.0,,0.44,32.12
2022-02-05,64,44.0,,0.44,28.16
2022-02-06,52,46.0,False,0.46,23.92
2022-02-07,72,46.0,,0.46,33.120000000000005
2022-02-08,73,46.0,,0.46,33.58
2022-02-09,65,46.0,,0.46,29.900000000000002
2022-02-10,75,46.0,,0.46,34.5
2022-02-11,60,46.0,,0.46,27.6
2022-02-12,53,46.0,,0.46,24.380000000000003
2022-02-13,47,42.0,False,0.42,19.74
2022-02-14,61,42.0,,0.42,25.619999999999997
2022-02-15,58,42.0,,0.42,24.36
2022-02-16,51,42.0,,0.42,21.419999999999998
2022-02-17,56,42.0,,0.42,23.52
2022-02-18,58,42.0,,0.42,24.36
2022-02-19,49,42.0,,0.42,20.58
2022-02-20,56,47.0,False,0.47,26.32
2022-02-21,53,47.0,,0.47,24.91
2022-02-22,74,47.0,,0.47,34.78
2022-02-23,58,47.0,,0.47,27.259999999999998
2022-02-24,100,47.0,,0.47,47.0
2022-02-25,72,47.0,,0.47,33.839999999999996
2022-02-26,52,47.0,,0.47,24.439999999999998
2022-02-27,56,41.0,False,0.41,22.959999999999997
2022-02-28,66,41.0,,0.41,27.06
2022-03-01,100,41.0,,0.41,41.0
2022-03-02,80,41.0,,0.41,32.8
2022-03-03,72,41.0,,0.41,29.52
2022-03-04,67,41.0,,0.41,27.47
2022-03-05,65,41.0,,0.41,26.65
2022-03-06,58,39.0,False,0.39,22.62
2022-03-07,77,39.0,,0.39,30.03
2022-03-08,72,39.0,,0.39,28.080000000000002
2022-03-09,83,39.0,,0.39,32.370000000000005
2022-03-10,79,39.0,,0.39,30.810000000000002
2022-03-11,70,39.0,,0.39,27.3
2022-03-12,57,39.0,,0.39,22.23
2022-03-13,54,32.0,False,0.32,17.28
2022-03-14,66,32.0,,0.32,21.12
2022-03-15,60,32.0,,0.32,19.2
2022-03-16,67,32.0,,0.32,21.44
2022-03-17,62,32.0,,0.32,19.84
2022-03-18,62,32.0,,0.32,19.84
2022-03-19,62,32.0,,0.32,19.84
2022-03-20,53,35.0,False,0.35,18.549999999999997
2022-03-21,58,35.0,,0.35,20.299999999999997
2022-03-22,62,35.0,,0.35,21.7
2022-03-23,57,35.0,,0.35,19.95
2022-03-24,65,35.0,,0.35,22.75
2022-03-25,66,35.0,,0.35,23.099999999999998
2022-03-26,59,35.0,,0.35,20.65
2022-03-27,65,35.0,False,0.35,22.75
2022-03-28,77,35.0,,0.35,26.95
2022-03-29,64,35.0,,0.35,22.4
2022-03-30,63,35.0,,0.35,22.049999999999997
2022-03-31,59,35.0,,0.35,20.65
2022-04-01,84,35.0,,0.35,29.4
2022-04-02,79,35.0,,0.35,27.65
2022-04-03,71,31.0,False,0.31,22.01
2022-04-04,75,31.0,,0.31,23.25
2022-04-05,73,31.0,,0.31,22.63
2022-04-06,85,31.0,,0.31,26.35
2022-04-07,82,31.0,,0.31,25.419999999999998
2022-04-08,84,31.0,,0.31,26.04
2022-04-09,77,31.0,,0.31,23.87
2022-04-10,78,32.0,False,0.32,24.96
2022-04-11,100,32.0,,0.32,32.0
2022-04-12,84,32.0,,0.32,26.88
2022-04-13,82,32.0,,0.32,26.240000000000002
2022-04-14,81,32.0,,0.32,25.92
2022-04-15,75,32.0,,0.32,24.0
2022-04-16,64,32.0,,0.32,20.48
2022-04-17,64,28.0,False,0.28,17.92
