date,Block_unscaled,Block_monthly,isPartial,scale,Block
2022-01-01,46,,,,
2022-01-02,43,33.0,False,0.33,14.190000000000001
2022-01-03,47,33.0,,0.33,15.510000000000002
2022-01-04,71,33.0,,0.33,23.43
2022-01-05,62,33.0,,0.33,20.46
2022-01-06,56,33.0,,0.33,18.48
2022-01-07,51,33.0,,0.33,16.830000000000002
2022-01-08,49,33.0,,0.33,16.17
2022-01-09,46,35.0,False,0.35,16.099999999999998
2022-01-10,49,35.0,,0.35,17.15
2022-01-11,58,35.0,,0.35,20.299999999999997
2022-01-12,55,35.0,,0.35,19.25
2022-01-13,66,35.0,,0.35,23.099999999999998
2022-01-14,56,35.0,,0.35,19.599999999999998
2022-01-15,54,35.0,,0.35,18.9
2022-01-16,60,36.0,False,0.36,21.599999999999998
2022-01-17,54,36.0,,0.36,19.439999999999998
2022-01-18,54,36.0,,0.36,19.439999999999998
2022-01-19,55,36.0,,0.36,19.8
2022-01-20,57,36.0,,0.36,20.52
2022-01-21,62,36.0,,0.36,22.32
2022-01-22,61,36.0,,0.36,21.96
2022-01-23,60,46.0,False,0.46,27.6
2022-01-24,100,46.0,,0.46,46.0
2022-01-25,85,46.0,,0.46,39.1
2022-01-26,68,46.0,,0.46,31.28
2022-01-27,69,46.0,,0.46,31.740000000000002
2022-01-28,76,46.0,,0.46,34.96
2022-01-29,70,46.0,,0.46,32.2
2022-01-30,63,47.0,False,0.47,29.61
2022-01-31,78,47.0,,0.47,36.66
2022-02-01,99,47.0,,0.47,46.529999999999994
2022-02-02,97,47.0,,0.47,45.589999999999996
2022-02-03,91,47.0,,0.47,42.769999999999996
2022-02-04,95,47.0,,0.47,44.65
2022-02-05,88,47.0,,0.47,41.36
2022-02-06,86,50.0,False,0.5,43.0
2022-02-07,93,50.0,,0.5,46.5
2022-02-08,100,50.0,,0.5,50.0
2022-02-09,85,50.0,,0.5,42.5
2022-02-10,100,50.0,,0.5,50.0
2022-02-11,99,50.0,,0.5,49.5
2022-02-12,88,50.0,,0.5,44.0
2022-02-13,72,51.0,False,0.51,36.72
2022-02-14,79,51.0,,0.51,40.29
2022-02-15,90,51.0,,0.51,45.9
2022-02-16,91,51.0,,0.51,46.410000000000004
2022-02-17,89,51.0,,0.51,45.39
2022-02-18,90,51.0,,0.51,45.9
2022-02-19,85,51.0,,0.51,43.35
2022-02-20,76,48.0,False,0.48,36.48
2022-02-21,93,48.0,,0.48,44.64
2022-02-22,93,48.0,,0.48,44.64
2022-02-23,97,48.0,,0.48,46.559999999999995
2022-02-24,82,48.0,,0.48,39.36
2022-02-25,80,48.0,,0.48,38.4
2022-02-26,81,48.0,,0.48,38.879999999999995
2022-02-27,81,48.0,False,0.48,38.879999999999995
2022-02-28,82,48.0,,0.48,39.36
2022-03-01,100,48.0,,0.48,48.0
2022-03-02,97,48.0,,0.48,46.559999999999995
2022-03-03,94,48.0,,0.48,45.12
2022-03-04,84,48.0,,0.48,40.32
2022-03-05,88,48.0,,0.48,42.239999999999995
2022-03-06,81,44.0,False,0.44,35.64
2022-03-07,93,44.0,,0.44,40.92
2022-03-08,93,44.0,,0.44,40.92
2022-03-09,92,44.0,,0.44,40.48
2022-03-10,87,44.0,,0.44,38.28
2022-03-11,86,44.0,,0.44,37.84
2022-03-12,82,44.0,,0.44,36.08
2022-03-13,72,42.0,False,0.42,30.24
2022-03-14,86,42.0,,0.42,36.12
