date,/m/0_1fcmj_unscaled,/m/0_1fcmj_monthly,isPartial,scale,/m/0_1fcmj
2022-01-01,47,,,,
2022-01-02,100,33.0,False,0.33,33.0
2022-01-03,82,33.0,,0.33,27.060000000000002
2022-01-04,78,33.0,,0.33,25.740000000000002
2022-01-05,93,33.0,,0.33,30.69
2022-01-06,66,33.0,,0.33,21.78
2022-01-07,63,33.0,,0.33,20.790000000000003
2022-01-08,65,33.0,,0.33,21.45
2022-01-09,55,30.0,False,0.3,16.5
2022-01-10,75,30.0,,0.3,22.5
2022-01-11,71,30.0,,0.3,21.3
2022-01-12,72,30.0,,0.3,21.599999999999998
2022-01-13,85,30.0,,0.3,25.5
2022-01-14,66,30.0,,0.3,19.8
2022-01-15,54,30.0,,0.3,16.2
2022-01-16,48,27.0,False,0.27,12.96
2022-01-17,48,27.0,,0.27,12.96
2022-01-18,69,27.0,,0.27,18.630000000000003
2022-01-19,75,27.0,,0.27,20.25
2022-01-20,63,27.0,,0.27,17.01
2022-01-21,55,27.0,,0.27,14.850000000000001
2022-01-22,66,27.0,,0.27,17.82
2022-01-23,69,31.0,False,0.31,21.39
2022-01-24,81,31.0,,0.31,25.11
2022-01-25,80,31.0,,0.31,24.8
2022-01-26,89,31.0,,0.31,27.59
2022-01-27,67,31.0,,0.31,20.77
2022-01-28,81,31.0,,0.31,25.11
2022-01-29,54,31.0,,0.31,16.74
2022-01-30,56,28.0,False,0.28,15.680000000000001
2022-01-31,70,28.0,,0.28,19.6
2022-02-01,75,28.0,,0.28,21.000000000000004
2022-02-02,93,28.0,,0.28,26.040000000000003
2022-02-03,72,28.0,,0.28,20.160000000000004
2022-02-04,78,28.0,,0.28,21.840000000000003
2022-02-05,64,28.0,,0.28,17.92
2022-02-06,61,27.0,False,0.27,16.470000000000002
2022-02-07,78,27.0,,0.27,21.060000000000002
2022-02-08,80,27.0,,0.27,21.6
2022-02-09,62,27.0,,0.27,16.740000000000002
2022-02-10,100,27.0,,0.27,27.0
2022-02-11,96,27.0,,0.27,25.92
2022-02-12,54,27.0,,0.27,14.580000000000002
2022-02-13,79,26.0,False,0.26,20.54
2022-02-14,50,26.0,,0.26,13.0
2022-02-15,64,26.0,,0.26,16.64
2022-02-16,76,26.0,,0.26,19.76
2022-02-17,51,26.0,,0.26,13.26
2022-02-18,84,26.0,,0.26,21.84
2022-02-19,71,26.0,,0.26,18.46
2022-02-20,56,13.0,False,0.13,7.28
2022-02-21,74,13.0,,0.13,9.620000000000001
2022-02-22,18,13.0,,0.13,2.34
2022-02-23,29,13.0,,0.13,3.77
2022-02-24,17,13.0,,0.13,2.21
2022-02-25,26,13.0,,0.13,3.38
2022-02-26,17,13.0,,0.13,2.21
2022-02-27,21,10.0,False,0.1,2.1
2022-02-28,20,10.0,,0.1,2.0
2022-03-01,26,10.0,,0.1,2.6
2022-03-02,31,10.0,,0.1,3.1
2022-03-03,28,10.0,,0.1,2.8000000000000003
2022-03-04,18,10.0,,0.1,1.8
2022-03-05,21,10.0,,0.1,2.1
2022-03-06,18,10.0,False,0.1,1.8
2022-03-07,18,10.0,,0.1,1.8
2022-03-08,22,10.0,,0.1,2.2
2022-03-09,26,10.0,,0.1,2.6
2022-03-10,39,10.0,,0.1,3.9000000000000004
2022-03-11,21,10.0,,0.1,2.1
2022-03-12,29,10.0,,0.1,2.9000000000000004
2022-03-13,15,8.0,False,0.08,1.2
2022-03-14,16,8.0,,0.08,1.28
2022-03-15,19,8.0,,0.08,1.52
2022-03-16,19,8.0,,0.08,1.52
2022-03-17,11,8.0,,0.08,0.88
2022-03-18,0,8.0,,0.08,0.0
2022-03-19,38,8.0,,0.08,3.04
2022-03-20,53,27.0,False,0.27,14.31
2022-03-21,54,27.0,,0.27,14.580000000000002
2022-03-22,68,27.0,,0.27,18.36
2022-03-23,63,27.0,,0.27,17.01
2022-03-24,81,27.0,,0.27,21.87
2022-03-25,90,27.0,,0.27,24.3
2022-03-26,61,27.0,,0.27,16.470000000000002
2022-03-27,65,42.0,False,0.42,27.3
2022-03-28,74,42.0,,0.42,31.08
2022-03-29,80,42.0,,0.42,33.6
2022-03-30,100,42.0,,0.42,42.0
2022-03-31,79,42.0,,0.42,33.18
2022-04-01,51,42.0,,0.42,21.419999999999998
2022-04-02,69,42.0,,0.42,28.98
2022-04-03,72,100.0,False,1.0,72.0
2022-04-04,93,100.0,,1.0,93.0
2022-04-05,88,100.0,,1.0,88.0
2022-04-06,93,100.0,,1.0,93.0
2022-04-07,82,100.0,,1.0,82.0
2022-04-08,93,100.0,,1.0,93.0
2022-04-09,67,100.0,,1.0,67.0
2022-04-10,81,92.0,False,0.92,74.52000000000001
