date,Crypto_unscaled,Crypto_monthly,isPartial,scale,Crypto
2022-01-01,52,,,,
2022-01-02,59,100.0,False,1.0,59.0
2022-01-03,58,100.0,,1.0,58.0
2022-01-04,96,100.0,,1.0,96.0
2022-01-05,87,100.0,,1.0,87.0
2022-01-06,83,100.0,,1.0,83.0
2022-01-07,70,100.0,,1.0,70.0
2022-01-08,63,100.0,,1.0,63.0
2022-01-09,59,85.0,False,0.85,50.15
2022-01-10,58,85.0,,0.85,49.3
2022-01-11,54,85.0,,0.85,45.9
2022-01-12,58,85.0,,0.85,49.3
2022-01-13,61,85.0,,0.85,51.85
2022-01-14,51,85.0,,0.85,43.35
2022-01-15,47,85.0,,0.85,39.949999999999996
2022-01-16,58,93.0,False,0.93,53.940000000000005
2022-01-17,53,93.0,,0.93,49.29
2022-01-18,50,93.0,,0.93,46.5
2022-01-19,48,93.0,,0.93,44.64
2022-01-20,51,93.0,,0.93,47.43
2022-01-21,92,93.0,,0.93,85.56
2022-01-22,100,93.0,,0.93,93.0
2022-01-23,62,92.0,False,0.92,57.04
2022-01-24,93,92.0,,0.92,85.56
2022-01-25,72,92.0,,0.92,66.24000000000001
2022-01-26,62,92.0,,0.92,57.04
2022-01-27,58,92.0,,0.92,53.36
2022-01-28,61,92.0,,0.92,56.120000000000005
2022-01-29,50,92.0,,0.92,46.0
2022-01-30,43,68.0,False,0.68,29.240000000000002
2022-01-31,45,68.0,,0.68,30.6
2022-02-01,94,68.0,,0.68,63.92
2022-02-02,78,68.0,,0.68,53.040000000000006
2022-02-03,77,68.0,,0.68,52.36000000000001
2022-02-04,82,68.0,,0.68,55.760000000000005
2022-02-05,73,68.0,,0.68,49.64
2022-02-06,69,81.0,False,0.81,55.89
2022-02-07,97,81.0,,0.81,78.57000000000001
2022-02-08,100,81.0,,0.81,81.0
2022-02-09,97,81.0,,0.81,78.57000000000001
2022-02-10,93,81.0,,0.81,75.33
2022-02-11,81,81.0,,0.81,65.61
2022-02-12,68,81.0,,0.81,55.080000000000005
2022-02-13,66,84.0,False,0.84,55.44
2022-02-14,94,84.0,,0.84,78.96
2022-02-15,94,84.0,,0.84,78.96
2022-02-16,92,84.0,,0.84,77.28
2022-02-17,91,84.0,,0.84,76.44
2022-02-18,89,84.0,,0.84,74.75999999999999
2022-02-19,76,84.0,,0.84,63.839999999999996
2022-02-20,81,66.0,False,0.66,53.46
2022-02-21,76,66.0,,0.66,50.160000000000004
2022-02-22,85,66.0,,0.66,56.1
2022-02-23,73,66.0,,0.66,48.18
2022-02-24,86,66.0,,0.66,56.760000000000005
2022-02-25,64,66.0,,0.66,42.24
2022-02-26,62,66.0,,0.66,40.92
2022-02-27,60,57.0,False,0.57,34.199999999999996
2022-02-28,68,57.0,,0.57,38.76
2022-03-01,74,57.0,,0.57,42.18
2022-03-02,64,57.0,,0.57,36.48
2022-03-03,60,57.0,,0.57,34.199999999999996
2022-03-04,57,57.0,,0.57,32.489999999999995
2022-03-05,55,57.0,,0.57,31.349999999999998
2022-03-06,55,69.0,False,0.69,37.949999999999996
2022-03-07,58,69.0,,0.69,40.019999999999996
2022-03-08,70,69.0,,0.69,48.3
2022-03-09,100,69.0,,0.69,69.0
2022-03-10,96,69.0,,0.69,66.24
2022-03-11,69,69.0,,0.69,47.61
2022-03-12,65,69.0,,0.69,44.849999999999994
2022-03-13,48,56.0,False,0.56,26.880000000000003
2022-03-14,55,56.0,,0.56,30.800000000000004
2022-03-15,52,56.0,,0.56,29.120000000000005
2022-03-16,55,56.0,,0.56,30.800000000000004
2022-03-17,55,56.0,,0.56,30.800000000000004
2022-03-18,58,56.0,,0.56,32.480000000000004
2022-03-19,54,56.0,,0.56,30.240000000000002
2022-03-20,53,60.0,False,0.6,31.799999999999997
2022-03-21,52,60.0,,0.6,31.2
2022-03-22,60,60.0,,0.6,36.0
2022-03-23,64,60.0,,0.6,38.4
2022-03-24,70,60.0,,0.6,42.0
2022-03-25,58,60.0,,0.6,34.8
2022-03-26,55,60.0,,0.6,33.0
2022-03-27,64,65.0,False,0.65,41.6
2022-03-28,75,65.0,,0.65,48.75
2022-03-29,70,65.0,,0.65,45.5
2022-03-30,74,65.0,,0.65,48.1
2022-03-31,72,65.0,,0.65,46.800000000000004
2022-04-01,92,65.0,,0.65,59.800000000000004
2022-04-02,88,65.0,,0.65,57.2
2022-04-03,88,61.0,False,0.61,53.68
2022-04-04,87,61.0,,0.61,53.07
2022-04-05,87,61.0,,0.61,53.07
2022-04-06,95,61.0,,0.61,57.949999999999996
2022-04-07,87,61.0,,0.61,53.07
2022-04-08,86,61.0,,0.61,52.46
2022-04-09,81,61.0,,0.61,49.41
2022-04-10,89,61.0,False,0.61,54.29
2022-04-11,96,61.0,,0.61,58.56
2022-04-12,98,61.0,,0.61,59.78
2022-04-13,83,61.0,,0.61,50.629999999999995
2022-04-14,84,61.0,,0.61,51.24
2022-04-15,85,61.0,,0.61,51.85
2022-04-16,77,61.0,,0.61,46.97
