date,/m/0vpj4_b_unscaled,/m/0vpj4_b_monthly,isPartial,scale,/m/0vpj4_b
2022-01-01,52,,,,
2022-01-02,50,100.0,False,1.0,50.0
2022-01-03,53,100.0,,1.0,53.0
2022-01-04,85,100.0,,1.0,85.0
2022-01-05,82,100.0,,1.0,82.0
2022-01-06,70,100.0,,1.0,70.0
2022-01-07,65,100.0,,1.0,65.0
2022-01-08,63,100.0,,1.0,63.0
2022-01-09,62,87.0,False,0.87,53.94
2022-01-10,56,87.0,,0.87,48.72
2022-01-11,52,87.0,,0.87,45.24
2022-01-12,52,87.0,,0.87,45.24
2022-01-13,54,87.0,,0.87,46.98
2022-01-14,54,87.0,,0.87,46.98
2022-01-15,45,87.0,,0.87,39.15
2022-01-16,54,91.0,False,0.91,49.14
2022-01-17,55,91.0,,0.91,50.050000000000004
2022-01-18,48,91.0,,0.91,43.68
2022-01-19,49,91.0,,0.91,44.59
2022-01-20,48,91.0,,0.91,43.68
2022-01-21,85,91.0,,0.91,77.35000000000001
2022-01-22,100,91.0,,0.91,91.0
2022-01-23,61,90.0,False,0.9,54.9
2022-01-24,90,90.0,,0.9,81.0
2022-01-25,67,90.0,,0.9,60.300000000000004
2022-01-26,57,90.0,,0.9,51.300000000000004
2022-01-27,55,90.0,,0.9,49.5
2022-01-28,58,90.0,,0.9,52.2
2022-01-29,50,90.0,,0.9,45.0
2022-01-30,41,71.0,False,0.71,29.11
2022-01-31,41,71.0,,0.71,29.11
2022-02-01,86,71.0,,0.71,61.059999999999995
2022-02-02,84,71.0,,0.71,59.64
2022-02-03,81,71.0,,0.71,57.51
2022-02-04,84,71.0,,0.71,59.64
2022-02-05,85,71.0,,0.71,60.349999999999994
2022-02-06,73,79.0,False,0.79,57.67
2022-02-07,92,79.0,,0.79,72.68
2022-02-08,100,79.0,,0.79,79.0
2022-02-09,97,79.0,,0.79,76.63000000000001
2022-02-10,93,79.0,,0.79,73.47
2022-02-11,83,79.0,,0.79,65.57000000000001
