date,/m/01ld0_unscaled,/m/01ld0_monthly,isPartial,scale,/m/01ld0
2022-01-01,27,,,,
2022-01-02,26,53.0,False,0.53,13.780000000000001
2022-01-03,58,53.0,,0.53,30.740000000000002
2022-01-04,63,53.0,,0.53,33.39
2022-01-05,70,53.0,,0.53,37.1
2022-01-06,50,53.0,,0.53,26.5
2022-01-07,58,53.0,,0.53,30.740000000000002
2022-01-08,36,53.0,,0.53,19.080000000000002
2022-01-09,34,61.0,False,0.61,20.74
2022-01-10,47,61.0,,0.61,28.669999999999998
2022-01-11,69,61.0,,0.61,42.089999999999996
2022-01-12,69,61.0,,0.61,42.089999999999996
2022-01-13,89,61.0,,0.61,54.29
2022-01-14,54,61.0,,0.61,32.94
2022-01-15,40,61.0,,0.61,24.4
2022-01-16,33,65.0,False,0.65,21.45
2022-01-17,74,65.0,,0.65,48.1
2022-01-18,80,65.0,,0.65,52.0
2022-01-19,68,65.0,,0.65,44.2
2022-01-20,78,65.0,,0.65,50.7
2022-01-21,64,65.0,,0.65,41.6
2022-01-22,43,65.0,,0.65,27.95
2022-01-23,42,70.0,False,0.7,29.4
2022-01-24,99,70.0,,0.7,69.3
2022-01-25,100,70.0,,0.7,70.0
2022-01-26,72,70.0,,0.7,50.4
2022-01-27,78,70.0,,0.7,54.599999999999994
2022-01-28,68,70.0,,0.7,47.599999999999994
2022-01-29,51,70.0,,0.7,35.699999999999996
2022-01-30,45,66.0,False,0.66,29.700000000000003
2022-01-31,72,66.0,,0.66,47.52
2022-02-01,68,66.0,,0.66,44.88
2022-02-02,80,66.0,,0.66,52.800000000000004
2022-02-03,74,66.0,,0.66,48.84
2022-02-04,65,66.0,,0.66,42.9
2022-02-05,40,66.0,,0.66,26.400000000000002
2022-02-06,57,77.0,False,0.77,43.89
2022-02-07,86,77.0,,0.77,66.22
2022-02-08,93,77.0,,0.77,71.61
2022-02-09,94,77.0,,0.77,72.38
2022-02-10,100,77.0,,0.77,77.0
2022-02-11,68,77.0,,0.77,52.36
2022-02-12,58,77.0,,0.77,44.660000000000004
2022-02-13,54,74.0,False,0.74,39.96
2022-02-14,84,74.0,,0.74,62.16
2022-02-15,89,74.0,,0.74,65.86
2022-02-16,77,74.0,,0.74,56.98
2022-02-17,94,74.0,,0.74,69.56
2022-02-18,76,74.0,,0.74,56.24
2022-02-19,47,74.0,,0.74,34.78
2022-02-20,60,68.0,False,0.68,40.800000000000004
2022-02-21,70,68.0,,0.68,47.6
2022-02-22,74,68.0,,0.68,50.32
2022-02-23,91,68.0,,0.68,61.88
2022-02-24,84,68.0,,0.68,57.120000000000005
2022-02-25,60,68.0,,0.68,40.800000000000004
2022-02-26,55,68.0,,0.68,37.400000000000006
2022-02-27,56,73.0,False,0.73,40.879999999999995
2022-02-28,91,73.0,,0.73,66.42999999999999
