date,/g/11hcjtkkcv_unscaled,/g/11hcjtkkcv_monthly,isPartial,scale,/g/11hcjtkkcv
2022-01-01,45,,,,
2022-01-02,64,94.0,False,0.94,60.16
2022-01-03,43,94.0,,0.94,40.419999999999995
2022-01-04,100,94.0,,0.94,94.0
2022-01-05,50,94.0,,0.94,47.0
2022-01-06,73,94.0,,0.94,68.61999999999999
2022-01-07,46,94.0,,0.94,43.239999999999995
2022-01-08,36,94.0,,0.94,33.839999999999996
2022-01-09,50,88.0,False,0.88,44.0
2022-01-10,56,88.0,,0.88,49.28
2022-01-11,71,88.0,,0.88,62.48
2022-01-12,60,88.0,,0.88,52.8
2022-01-13,54,88.0,,0.88,47.52
2022-01-14,39,88.0,,0.88,34.32
2022-01-15,35,88.0,,0.88,30.8
2022-01-16,81,79.0,False,0.79,63.99
2022-01-17,33,79.0,,0.79,26.07
2022-01-18,74,79.0,,0.79,58.46
2022-01-19,52,79.0,,0.79,41.08
2022-01-20,21,79.0,,0.79,16.59
2022-01-21,49,79.0,,0.79,38.71
2022-01-22,43,79.0,,0.79,33.97
2022-01-23,43,100.0,False,1.0,43.0
2022-01-24,52,100.0,,1.0,52.0
2022-01-25,79,100.0,,1.0,79.0
2022-01-26,56,100.0,,1.0,56.0
2022-01-27,51,100.0,,1.0,51.0
2022-01-28,58,100.0,,1.0,58.0
2022-01-29,67,100.0,,1.0,67.0
2022-01-30,37,96.0,False,0.96,35.519999999999996
2022-01-31,19,96.0,,0.96,18.24
2022-02-01,68,96.0,,0.96,65.28
2022-02-02,74,96.0,,0.96,71.03999999999999
2022-02-03,100,96.0,,0.96,96.0
2022-02-04,89,96.0,,0.96,85.44
2022-02-05,65,96.0,,0.96,62.4
2022-02-06,54,86.0,False,0.86,46.44
2022-02-07,75,86.0,,0.86,64.5
2022-02-08,76,86.0,,0.86,65.36
2022-02-09,78,86.0,,0.86,67.08
2022-02-10,74,86.0,,0.86,63.64
2022-02-11,82,86.0,,0.86,70.52
2022-02-12,57,86.0,,0.86,49.019999999999996
2022-02-13,78,97.0,False,0.97,75.66
2022-02-14,77,97.0,,0.97,74.69
2022-02-15,64,97.0,,0.97,62.08
2022-02-16,87,97.0,,0.97,84.39
2022-02-17,80,97.0,,0.97,77.6
2022-02-18,74,97.0,,0.97,71.78
2022-02-19,46,97.0,,0.97,44.62
2022-02-20,81,87.0,False,0.87,70.47
2022-02-21,98,87.0,,0.87,85.26
2022-02-22,51,87.0,,0.87,44.37
2022-02-23,78,87.0,,0.87,67.86
2022-02-24,42,87.0,,0.87,36.54
2022-02-25,53,87.0,,0.87,46.11
2022-02-26,81,87.0,,0.87,70.47
