date,/g/12nwxv98s_unscaled,/g/12nwxv98s_monthly,isPartial,scale,/g/12nwxv98s
2022-01-01,0,,,,
2022-01-02,78,0.0,False,0.0,0.0
2022-01-03,99,0.0,,0.0,0.0
2022-01-04,0,0.0,,0.0,0.0
2022-01-05,0,0.0,,0.0,0.0
2022-01-06,0,0.0,,0.0,0.0
2022-01-07,0,0.0,,0.0,0.0
2022-01-08,0,0.0,,0.0,0.0
2022-01-09,0,0.0,False,0.0,0.0
2022-01-10,0,0.0,,0.0,0.0
2022-01-11,0,0.0,,0.0,0.0
2022-01-12,0,0.0,,0.0,0.0
2022-01-13,0,0.0,,0.0,0.0
2022-01-14,0,0.0,,0.0,0.0
2022-01-15,83,0.0,,0.0,0.0
2022-01-16,0,0.0,False,0.0,0.0
2022-01-17,0,0.0,,0.0,0.0
2022-01-18,0,0.0,,0.0,0.0
2022-01-19,0,0.0,,0.0,0.0
2022-01-20,0,0.0,,0.0,0.0
2022-01-21,0,0.0,,0.0,0.0
2022-01-22,0,0.0,,0.0,0.0
2022-01-23,0,66.0,False,0.66,0.0
2022-01-24,0,66.0,,0.66,0.0
2022-01-25,0,66.0,,0.66,0.0
2022-01-26,0,66.0,,0.66,0.0
2022-01-27,76,66.0,,0.66,50.160000000000004
2022-01-28,0,66.0,,0.66,0.0
2022-01-29,0,66.0,,0.66,0.0
2022-01-30,100,69.0,False,0.69,69.0
2022-01-31,59,69.0,,0.69,40.709999999999994
2022-02-01,0,69.0,,0.69,0.0
2022-02-02,0,69.0,,0.69,0.0
2022-02-03,0,69.0,,0.69,0.0
2022-02-04,0,69.0,,0.69,0.0
2022-02-05,0,69.0,,0.69,0.0
2022-02-06,0,86.0,False,0.86,0.0
2022-02-07,0,86.0,,0.86,0.0
2022-02-08,0,86.0,,0.86,0.0
2022-02-09,0,86.0,,0.86,0.0
2022-02-10,0,86.0,,0.86,0.0
2022-02-11,0,86.0,,0.86,0.0
2022-02-12,100,86.0,,0.86,86.0
2022-02-13,0,56.0,False,0.56,0.0
2022-02-14,0,56.0,,0.56,0.0
2022-02-15,0,56.0,,0.56,0.0
2022-02-16,0,56.0,,0.56,0.0
2022-02-17,73,56.0,,0.56,40.88
2022-02-18,0,56.0,,0.56,0.0
2022-02-19,0,56.0,,0.56,0.0
2022-02-20,45,19.0,False,0.19,8.55
2022-02-21,0,19.0,,0.19,0.0
2022-02-22,0,19.0,,0.19,0.0
2022-02-23,0,19.0,,0.19,0.0
2022-02-24,42,19.0,,0.19,7.98
2022-02-25,0,19.0,,0.19,0.0
2022-02-26,0,19.0,,0.19,0.0
2022-02-27,0,41.0,False,0.41,0.0
2022-02-28,0,41.0,,0.41,0.0
2022-03-01,0,41.0,,0.41,0.0
2022-03-02,0,41.0,,0.41,0.0
2022-03-03,0,41.0,,0.41,0.0
2022-03-04,0,41.0,,0.41,0.0
2022-03-05,0,41.0,,0.41,0.0
2022-03-06,0,62.0,False,0.62,0.0
2022-03-07,0,62.0,,0.62,0.0
2022-03-08,0,62.0,,0.62,0.0
2022-03-09,0,62.0,,0.62,0.0
2022-03-10,0,62.0,,0.62,0.0
2022-03-11,0,62.0,,0.62,0.0
2022-03-12,0,62.0,,0.62,0.0
2022-03-13,0,0.0,False,0.0,0.0
2022-03-14,0,0.0,,0.0,0.0
2022-03-15,0,0.0,,0.0,0.0
2022-03-16,0,0.0,,0.0,0.0
2022-03-17,57,0.0,,0.0,0.0
2022-03-18,100,0.0,,0.0,0.0
2022-03-19,0,0.0,,0.0,0.0
2022-03-20,0,36.0,False,0.36,0.0
2022-03-21,0,36.0,,0.36,0.0
2022-03-22,45,36.0,,0.36,16.2
2022-03-23,0,36.0,,0.36,0.0
2022-03-24,0,36.0,,0.36,0.0
2022-03-25,0,36.0,,0.36,0.0
2022-03-26,0,36.0,,0.36,0.0
2022-03-27,0,19.0,False,0.19,0.0
2022-03-28,0,19.0,,0.19,0.0
2022-03-29,0,19.0,,0.19,0.0
2022-03-30,0,19.0,,0.19,0.0
2022-03-31,63,19.0,,0.19,11.97
2022-04-01,25,19.0,,0.19,4.75
2022-04-02,26,19.0,,0.19,4.94
2022-04-03,0,0.0,False,0.0,0.0
2022-04-04,0,0.0,,0.0,0.0
2022-04-05,27,0.0,,0.0,0.0
2022-04-06,34,0.0,,0.0,0.0
2022-04-07,62,0.0,,0.0,0.0
2022-04-08,39,0.0,,0.0,0.0
