date,/m/0r8lyw7_unscaled,/m/0r8lyw7_monthly,isPartial,scale,/m/0r8lyw7
2022-01-01,36,,,,
2022-01-02,38,10.0,False,0.1,3.8000000000000003
2022-01-03,31,10.0,,0.1,3.1
2022-01-04,38,10.0,,0.1,3.8000000000000003
2022-01-05,30,10.0,,0.1,3.0
2022-01-06,57,10.0,,0.1,5.7
2022-01-07,48,10.0,,0.1,4.800000000000001
2022-01-08,42,10.0,,0.1,4.2
2022-01-09,34,11.0,False,0.11,3.74
2022-01-10,45,11.0,,0.11,4.95
2022-01-11,31,11.0,,0.11,3.41
2022-01-12,42,11.0,,0.11,4.62
2022-01-13,94,11.0,,0.11,10.34
2022-01-14,45,11.0,,0.11,4.95
2022-01-15,40,11.0,,0.11,4.4
2022-01-16,64,13.0,False,0.13,8.32
2022-01-17,26,13.0,,0.13,3.38
2022-01-18,30,13.0,,0.13,3.9000000000000004
2022-01-19,33,13.0,,0.13,4.29
2022-01-20,71,13.0,,0.13,9.23
2022-01-21,100,13.0,,0.13,13.0
2022-01-22,48,13.0,,0.13,6.24
2022-01-23,82,13.0,False,0.13,10.66
2022-01-24,65,13.0,,0.13,8.450000000000001
2022-01-25,65,13.0,,0.13,8.450000000000001
2022-01-26,58,13.0,,0.13,7.54
2022-01-27,42,13.0,,0.13,5.46
2022-01-28,39,13.0,,0.13,5.07
2022-01-29,56,13.0,,0.13,7.28
2022-01-30,41,11.0,False,0.11,4.51
2022-01-31,33,11.0,,0.11,3.63
2022-02-01,65,11.0,,0.11,7.15
2022-02-02,64,11.0,,0.11,7.04
2022-02-03,46,11.0,,0.11,5.06
2022-02-04,62,11.0,,0.11,6.82
2022-02-05,50,11.0,,0.11,5.5
2022-02-06,55,14.0,False,0.14,7.700000000000001
2022-02-07,93,14.0,,0.14,13.020000000000001
2022-02-08,58,14.0,,0.14,8.120000000000001
2022-02-09,56,14.0,,0.14,7.840000000000001
2022-02-10,60,14.0,,0.14,8.4
2022-02-11,51,14.0,,0.14,7.140000000000001
2022-02-12,40,14.0,,0.14,5.6000000000000005
2022-02-13,43,10.0,False,0.1,4.3
2022-02-14,40,10.0,,0.1,4.0
2022-02-15,54,10.0,,0.1,5.4
2022-02-16,37,10.0,,0.1,3.7
2022-02-17,58,10.0,,0.1,5.800000000000001
2022-02-18,38,10.0,,0.1,3.8000000000000003
2022-02-19,36,10.0,,0.1,3.6
2022-02-20,31,13.0,False,0.13,4.03
2022-02-21,72,13.0,,0.13,9.36
2022-02-22,100,13.0,,0.13,13.0
2022-02-23,74,13.0,,0.13,9.620000000000001
2022-02-24,56,13.0,,0.13,7.28
2022-02-25,59,13.0,,0.13,7.67
2022-02-26,48,13.0,,0.13,6.24
2022-02-27,44,10.0,False,0.1,4.4
2022-02-28,53,10.0,,0.1,5.300000000000001
2022-03-01,30,10.0,,0.1,3.0
2022-03-02,23,10.0,,0.1,2.3000000000000003
2022-03-03,22,10.0,,0.1,2.2
2022-03-04,17,10.0,,0.1,1.7000000000000002
2022-03-05,26,10.0,,0.1,2.6
2022-03-06,24,21.0,False,0.21,5.04
2022-03-07,23,21.0,,0.21,4.83
2022-03-08,24,21.0,,0.21,5.04
2022-03-09,82,21.0,,0.21,17.22
2022-03-10,100,21.0,,0.21,21.0
2022-03-11,59,21.0,,0.21,12.389999999999999
2022-03-12,43,21.0,,0.21,9.03
2022-03-13,33,14.0,False,0.14,4.62
2022-03-14,31,14.0,,0.14,4.340000000000001
2022-03-15,34,14.0,,0.14,4.760000000000001
2022-03-16,44,14.0,,0.14,6.16
2022-03-17,45,14.0,,0.14,6.300000000000001
2022-03-18,28,14.0,,0.14,3.9200000000000004
2022-03-19,31,14.0,,0.14,4.340000000000001
2022-03-20,24,16.0,False,0.16,3.84
2022-03-21,33,16.0,,0.16,5.28
2022-03-22,44,16.0,,0.16,7.04
2022-03-23,29,16.0,,0.16,4.64
2022-03-24,58,16.0,,0.16,9.28
2022-03-25,38,16.0,,0.16,6.08
2022-03-26,42,16.0,,0.16,6.72
2022-03-27,44,14.0,False,0.14,6.16
2022-03-28,39,14.0,,0.14,5.460000000000001
2022-03-29,31,14.0,,0.14,4.340000000000001
2022-03-30,30,14.0,,0.14,4.2
2022-03-31,41,14.0,,0.14,5.74
2022-04-01,67,14.0,,0.14,9.38
2022-04-02,99,14.0,,0.14,13.860000000000001
2022-04-03,100,13.0,False,0.13,13.0
2022-04-04,59,13.0,,0.13,7.67
2022-04-05,81,13.0,,0.13,10.530000000000001
2022-04-06,94,13.0,,0.13,12.22
2022-04-07,93,13.0,,0.13,12.09
2022-04-08,80,13.0,,0.13,10.4
2022-04-09,61,13.0,,0.13,7.930000000000001
2022-04-10,68,10.0,False,0.1,6.800000000000001
2022-04-11,76,10.0,,0.1,7.6000000000000005
2022-04-12,55,10.0,,0.1,5.5
2022-04-13,78,10.0,,0.1,7.800000000000001
2022-04-14,43,10.0,,0.1,4.3
2022-04-15,59,10.0,,0.1,5.9
2022-04-16,42,10.0,,0.1,4.2
2022-04-17,40,9.0,False,0.09,3.5999999999999996
2022-04-18,70,9.0,,0.09,6.3
2022-04-19,43,9.0,,0.09,3.8699999999999997
2022-04-20,66,9.0,,0.09,5.9399999999999995
2022-04-21,68,9.0,,0.09,6.12
2022-04-22,66,9.0,,0.09,5.9399999999999995
2022-04-23,46,9.0,,0.09,4.14
2022-04-24,65,9.0,False,0.09,5.85
2022-04-25,54,9.0,,0.09,4.859999999999999
2022-04-26,57,9.0,,0.09,5.13
2022-04-27,74,9.0,,0.09,6.66
2022-04-28,79,9.0,,0.09,7.109999999999999
2022-04-29,39,9.0,,0.09,3.51
2022-04-30,56,9.0,,0.09,5.04
2022-05-01,85,8.0,False,0.08,6.8
2022-05-02,75,8.0,,0.08,6.0
2022-05-03,76,8.0,,0.08,6.08
2022-05-04,29,8.0,,0.08,2.32
2022-05-05,75,8.0,,0.08,6.0
2022-05-06,71,8.0,,0.08,5.68
2022-05-07,69,8.0,,0.08,5.5200000000000005
2022-05-08,85,9.0,False,0.09,7.6499999999999995
2022-05-09,77,9.0,,0.09,6.93
2022-05-10,71,9.0,,0.09,6.39
2022-05-11,100,9.0,,0.09,9.0
2022-05-12,95,9.0,,0.09,8.549999999999999
2022-05-13,90,9.0,,0.09,8.1
2022-05-14,98,9.0,,0.09,8.82
2022-05-15,67,7.0,False,0.07,4.69
2022-05-16,75,7.0,,0.07,5.250000000000001
2022-05-17,58,7.0,,0.07,4.0600000000000005
2022-05-18,70,7.0,,0.07,4.9
2022-05-19,63,7.0,,0.07,4.41
2022-05-20,49,7.0,,0.07,3.43
2022-05-21,67,7.0,,0.07,4.69
2022-05-22,31,6.0,False,0.06,1.8599999999999999
2022-05-23,53,6.0,,0.06,3.1799999999999997
2022-05-24,52,6.0,,0.06,3.12
2022-05-25,99,6.0,,0.06,5.9399999999999995
2022-05-26,62,6.0,,0.06,3.7199999999999998
2022-05-27,77,6.0,,0.06,4.62
2022-05-28,61,6.0,,0.06,3.6599999999999997
2022-05-29,63,7.0,False,0.07,4.41
2022-05-30,70,7.0,,0.07,4.9
2022-05-31,76,7.0,,0.07,5.32
2022-06-01,74,7.0,,0.07,5.180000000000001
2022-06-02,48,7.0,,0.07,3.3600000000000003
2022-06-03,48,7.0,,0.07,3.3600000000000003
2022-06-04,57,7.0,,0.07,3.99
2022-06-05,7,7.0,False,0.07,0.49000000000000005
2022-06-06,49,7.0,,0.07,3.43
2022-06-07,27,7.0,,0.07,1.8900000000000001
2022-06-08,39,7.0,,0.07,2.7300000000000004
2022-06-09,34,7.0,,0.07,2.3800000000000003
2022-06-10,34,7.0,,0.07,2.3800000000000003
2022-06-11,34,7.0,,0.07,2.3800000000000003
2022-06-12,49,9.0,False,0.09,4.41
2022-06-13,72,9.0,,0.09,6.4799999999999995
2022-06-14,50,9.0,,0.09,4.5
2022-06-15,48,9.0,,0.09,4.32
2022-06-16,44,9.0,,0.09,3.96
2022-06-17,77,9.0,,0.09,6.93
2022-06-18,100,9.0,,0.09,9.0
2022-06-19,71,8.0,False,0.08,5.68
2022-06-20,47,8.0,,0.08,3.7600000000000002
2022-06-21,47,8.0,,0.08,3.7600000000000002
2022-06-22,62,8.0,,0.08,4.96
2022-06-23,66,8.0,,0.08,5.28
2022-06-24,63,8.0,,0.08,5.04
2022-06-25,39,8.0,,0.08,3.12
2022-06-26,48,5.0,False,0.05,2.4000000000000004
2022-06-27,53,5.0,,0.05,2.6500000000000004
2022-06-28,49,5.0,,0.05,2.45
2022-06-29,18,5.0,,0.05,0.9
2022-06-30,42,5.0,,0.05,2.1
2022-07-01,30,5.0,,0.05,1.5
2022-07-02,24,5.0,,0.05,1.2000000000000002
2022-07-03,28,6.0,False,0.06,1.68
2022-07-04,22,6.0,,0.06,1.3199999999999998
2022-07-05,49,6.0,,0.06,2.94
2022-07-06,35,6.0,,0.06,2.1
2022-07-07,50,6.0,,0.06,3.0
2022-07-08,29,6.0,,0.06,1.74
2022-07-09,42,6.0,,0.06,2.52
2022-07-10,38,8.0,False,0.08,3.04
2022-07-11,38,8.0,,0.08,3.04
2022-07-12,41,8.0,,0.08,3.2800000000000002
2022-07-13,45,8.0,,0.08,3.6
2022-07-14,100,8.0,,0.08,8.0
2022-07-15,57,8.0,,0.08,4.5600000000000005
2022-07-16,35,8.0,,0.08,2.8000000000000003
2022-07-17,18,6.0,False,0.06,1.08
2022-07-18,46,6.0,,0.06,2.76
2022-07-19,44,6.0,,0.06,2.6399999999999997
2022-07-20,34,6.0,,0.06,2.04
2022-07-21,53,6.0,,0.06,3.1799999999999997
2022-07-22,35,6.0,,0.06,2.1
2022-07-23,41,6.0,,0.06,2.46
2022-07-24,40,7.0,False,0.07,2.8000000000000003
2022-07-25,27,7.0,,0.07,1.8900000000000001
2022-07-26,23,7.0,,0.07,1.61
2022-07-27,68,7.0,,0.07,4.760000000000001
2022-07-28,21,7.0,,0.07,1.4700000000000002
2022-07-29,39,7.0,,0.07,2.7300000000000004
2022-07-30,41,7.0,,0.07,2.87
2022-07-31,40,6.0,False,0.06,2.4
2022-08-01,23,6.0,,0.06,1.38
2022-08-02,7,6.0,,0.06,0.42
2022-08-03,20,6.0,,0.06,1.2
2022-08-04,21,6.0,,0.06,1.26
2022-08-05,14,6.0,,0.06,0.84
2022-08-06,16,6.0,,0.06,0.96
2022-08-07,11,7.0,False,0.07,0.77
2022-08-08,17,7.0,,0.07,1.1900000000000002
2022-08-09,29,7.0,,0.07,2.0300000000000002
2022-08-10,22,7.0,,0.07,1.54
2022-08-11,19,7.0,,0.07,1.33
2022-08-12,26,7.0,,0.07,1.8200000000000003
2022-08-13,19,7.0,,0.07,1.33
2022-08-14,30,16.0,False,0.16,4.8
2022-08-15,16,16.0,,0.16,2.56
2022-08-16,23,16.0,,0.16,3.68
2022-08-17,42,16.0,,0.16,6.72
2022-08-18,72,16.0,,0.16,11.52
2022-08-19,100,16.0,,0.16,16.0
2022-08-20,56,16.0,,0.16,8.96
2022-08-21,53,18.0,False,0.18,9.54
2022-08-22,66,18.0,,0.18,11.879999999999999
2022-08-23,43,18.0,,0.18,7.739999999999999
2022-08-24,83,18.0,,0.18,14.94
2022-08-25,56,18.0,,0.18,10.08
2022-08-26,56,18.0,,0.18,10.08
2022-08-27,34,18.0,,0.18,6.12
2022-08-28,25,14.0,False,0.14,3.5000000000000004
2022-08-29,39,14.0,,0.14,5.460000000000001
