date,Ethereum_unscaled,Ethereum_monthly,isPartial,scale,Ethereum
2022-01-01,36,,,,
2022-01-02,42,96.0,False,0.96,40.32
2022-01-03,44,96.0,,0.96,42.239999999999995
2022-01-04,61,96.0,,0.96,58.559999999999995
2022-01-05,64,96.0,,0.96,61.44
2022-01-06,67,96.0,,0.96,64.32
2022-01-07,62,96.0,,0.96,59.519999999999996
2022-01-08,54,96.0,,0.96,51.839999999999996
2022-01-09,50,89.0,False,0.89,44.5
2022-01-10,53,89.0,,0.89,47.17
2022-01-11,51,89.0,,0.89,45.39
2022-01-12,49,89.0,,0.89,43.61
2022-01-13,58,89.0,,0.89,51.62
2022-01-14,46,89.0,,0.89,40.94
2022-01-15,39,89.0,,0.89,34.71
2022-01-16,43,89.0,False,0.89,38.27
2022-01-17,42,89.0,,0.89,37.38
2022-01-18,41,89.0,,0.89,36.49
2022-01-19,38,89.0,,0.89,33.82
2022-01-20,39,89.0,,0.89,34.71
2022-01-21,69,89.0,,0.89,61.410000000000004
2022-01-22,77,89.0,,0.89,68.53
2022-01-23,57,100.0,False,1.0,57.0
2022-01-24,100,100.0,,1.0,100.0
2022-01-25,63,100.0,,1.0,63.0
2022-01-26,53,100.0,,1.0,53.0
2022-01-27,44,100.0,,1.0,44.0
2022-01-28,45,100.0,,1.0,45.0
2022-01-29,40,100.0,,1.0,40.0
2022-01-30,35,76.0,False,0.76,26.6
2022-01-31,38,76.0,,0.76,28.88
2022-02-01,96,76.0,,0.76,72.96000000000001
2022-02-02,91,76.0,,0.76,69.16
2022-02-03,81,76.0,,0.76,61.56
2022-02-04,94,76.0,,0.76,71.44
2022-02-05,93,76.0,,0.76,70.68
2022-02-06,79,68.0,False,0.68,53.720000000000006
2022-02-07,95,68.0,,0.68,64.60000000000001
2022-02-08,89,68.0,,0.68,60.52
2022-02-09,80,68.0,,0.68,54.400000000000006
2022-02-10,92,68.0,,0.68,62.56
2022-02-11,75,68.0,,0.68,51.00000000000001
2022-02-12,85,68.0,,0.68,57.800000000000004
2022-02-13,61,59.0,False,0.59,35.989999999999995
2022-02-14,68,59.0,,0.59,40.12
2022-02-15,78,59.0,,0.59,46.019999999999996
2022-02-16,71,59.0,,0.59,41.89
2022-02-17,69,59.0,,0.59,40.71
2022-02-18,71,59.0,,0.59,41.89
2022-02-19,68,59.0,,0.59,40.12
2022-02-20,74,59.0,False,0.59,43.66
2022-02-21,69,59.0,,0.59,40.71
2022-02-22,74,59.0,,0.59,43.66
2022-02-23,73,59.0,,0.59,43.07
2022-02-24,100,59.0,,0.59,59.0
2022-02-25,66,59.0,,0.59,38.94
2022-02-26,63,59.0,,0.59,37.169999999999995
2022-02-27,65,54.0,False,0.54,35.1
2022-02-28,73,54.0,,0.54,39.42
2022-03-01,98,54.0,,0.54,52.92
2022-03-02,87,54.0,,0.54,46.980000000000004
2022-03-03,77,54.0,,0.54,41.580000000000005
2022-03-04,74,54.0,,0.54,39.96
2022-03-05,70,54.0,,0.54,37.800000000000004
2022-03-06,60,47.0,False,0.47,28.2
2022-03-07,77,47.0,,0.47,36.19
2022-03-08,69,47.0,,0.47,32.43
2022-03-09,85,47.0,,0.47,39.949999999999996
2022-03-10,77,47.0,,0.47,36.19
2022-03-11,63,47.0,,0.47,29.61
2022-03-12,57,47.0,,0.47,26.79
2022-03-13,54,45.0,False,0.45,24.3
2022-03-14,66,45.0,,0.45,29.7
2022-03-15,62,45.0,,0.45,27.900000000000002
2022-03-16,76,45.0,,0.45,34.2
2022-03-17,66,45.0,,0.45,29.7
2022-03-18,74,45.0,,0.45,33.300000000000004
2022-03-19,76,45.0,,0.45,34.2
2022-03-20,74,53.0,False,0.53,39.22
2022-03-21,76,53.0,,0.53,40.28
2022-03-22,89,53.0,,0.53,47.17
2022-03-23,79,53.0,,0.53,41.870000000000005
2022-03-24,96,53.0,,0.53,50.88
2022-03-25,81,53.0,,0.53,42.93
2022-03-26,72,53.0,,0.53,38.160000000000004
2022-03-27,79,54.0,False,0.54,42.660000000000004
2022-03-28,100,54.0,,0.54,54.0
2022-03-29,89,54.0,,0.54,48.06
2022-03-30,86,54.0,,0.54,46.440000000000005
2022-03-31,74,54.0,,0.54,39.96
2022-04-01,95,54.0,,0.54,51.300000000000004
2022-04-02,100,54.0,,0.54,54.0
2022-04-03,96,45.0,False,0.45,43.2
2022-04-04,89,45.0,,0.45,40.050000000000004
2022-04-05,90,45.0,,0.45,40.5
2022-04-06,99,45.0,,0.45,44.550000000000004
2022-04-07,80,45.0,,0.45,36.0
2022-04-08,85,45.0,,0.45,38.25
2022-04-09,74,45.0,,0.45,33.300000000000004
2022-04-10,74,42.0,False,0.42,31.08
2022-04-11,97,42.0,,0.42,40.74
2022-04-12,88,42.0,,0.42,36.96
2022-04-13,80,42.0,,0.42,33.6
2022-04-14,80,42.0,,0.42,33.6
2022-04-15,73,42.0,,0.42,30.66
2022-04-16,70,42.0,,0.42,29.4
2022-04-17,73,41.0,False,0.41,29.93
2022-04-18,85,41.0,,0.41,34.85
2022-04-19,77,41.0,,0.41,31.569999999999997
2022-04-20,81,41.0,,0.41,33.21
2022-04-21,75,41.0,,0.41,30.749999999999996
2022-04-22,74,41.0,,0.41,30.34
2022-04-23,69,41.0,,0.41,28.29
2022-04-24,60,38.0,False,0.38,22.8
2022-04-25,79,38.0,,0.38,30.02
2022-04-26,88,38.0,,0.38,33.44
2022-04-27,76,38.0,,0.38,28.88
2022-04-28,73,38.0,,0.38,27.740000000000002
2022-04-29,65,38.0,,0.38,24.7
2022-04-30,69,38.0,,0.38,26.22
2022-05-01,40,40.0,False,0.4,16.0
2022-05-02,39,40.0,,0.4,15.600000000000001
2022-05-03,36,40.0,,0.4,14.4
2022-05-04,32,40.0,,0.4,12.8
2022-05-05,42,40.0,,0.4,16.8
2022-05-06,41,40.0,,0.4,16.400000000000002
2022-05-07,33,40.0,,0.4,13.200000000000001
2022-05-08,41,79.0,False,0.79,32.39
2022-05-09,63,79.0,,0.79,49.77
2022-05-10,57,79.0,,0.79,45.03
2022-05-11,69,79.0,,0.79,54.510000000000005
2022-05-12,100,79.0,,0.79,79.0
2022-05-13,81,79.0,,0.79,63.99
2022-05-14,58,79.0,,0.79,45.82
2022-05-15,44,46.0,False,0.46,20.240000000000002
2022-05-16,53,46.0,,0.46,24.380000000000003
2022-05-17,49,46.0,,0.46,22.540000000000003
2022-05-18,44,46.0,,0.46,20.240000000000002
2022-05-19,46,46.0,,0.46,21.16
2022-05-20,41,46.0,,0.46,18.86
2022-05-21,38,46.0,,0.46,17.48
2022-05-22,34,43.0,False,0.43,14.62
2022-05-23,37,43.0,,0.43,15.91
2022-05-24,39,43.0,,0.43,16.77
2022-05-25,36,43.0,,0.43,15.48
2022-05-26,45,43.0,,0.43,19.35
2022-05-27,56,43.0,,0.43,24.08
2022-05-28,38,43.0,,0.43,16.34
2022-05-29,36,37.0,False,0.37,13.32
2022-05-30,37,37.0,,0.37,13.69
2022-05-31,38,37.0,,0.37,14.06
2022-06-01,30,37.0,,0.37,11.1
