date,/m/017txn_unscaled,/m/017txn_monthly,isPartial,scale,/m/017txn
2022-01-01,46,,,,
2022-01-02,66,42.0,False,0.42,27.72
2022-01-03,78,42.0,,0.42,32.76
2022-01-04,68,42.0,,0.42,28.56
2022-01-05,79,42.0,,0.42,33.18
2022-01-06,60,42.0,,0.42,25.2
2022-01-07,73,42.0,,0.42,30.66
2022-01-08,47,42.0,,0.42,19.74
2022-01-09,55,38.0,False,0.38,20.9
2022-01-10,48,38.0,,0.38,18.240000000000002
2022-01-11,50,38.0,,0.38,19.0
2022-01-12,58,38.0,,0.38,22.04
2022-01-13,69,38.0,,0.38,26.22
2022-01-14,65,38.0,,0.38,24.7
2022-01-15,54,38.0,,0.38,20.52
2022-01-16,54,37.0,False,0.37,19.98
2022-01-17,64,37.0,,0.37,23.68
2022-01-18,63,37.0,,0.37,23.31
2022-01-19,50,37.0,,0.37,18.5
2022-01-20,58,37.0,,0.37,21.46
2022-01-21,64,37.0,,0.37,23.68
2022-01-22,84,37.0,,0.37,31.08
2022-01-23,74,43.0,False,0.43,31.82
2022-01-24,100,43.0,,0.43,43.0
2022-01-25,57,43.0,,0.43,24.509999999999998
2022-01-26,90,43.0,,0.43,38.7
2022-01-27,76,43.0,,0.43,32.68
2022-01-28,71,43.0,,0.43,30.53
2022-01-29,45,43.0,,0.43,19.35
2022-01-30,54,37.0,False,0.37,19.98
2022-01-31,39,37.0,,0.37,14.43
2022-02-01,69,37.0,,0.37,25.53
2022-02-02,60,37.0,,0.37,22.2
2022-02-03,67,37.0,,0.37,24.79
2022-02-04,56,37.0,,0.37,20.72
2022-02-05,62,37.0,,0.37,22.94
2022-02-06,48,44.0,False,0.44,21.12
2022-02-07,66,44.0,,0.44,29.04
2022-02-08,99,44.0,,0.44,43.56
2022-02-09,72,44.0,,0.44,31.68
2022-02-10,100,44.0,,0.44,44.0
2022-02-11,51,44.0,,0.44,22.44
2022-02-12,33,44.0,,0.44,14.52
2022-02-13,43,40.0,False,0.4,17.2
2022-02-14,45,40.0,,0.4,18.0
2022-02-15,51,40.0,,0.4,20.400000000000002
2022-02-16,76,40.0,,0.4,30.400000000000002
2022-02-17,64,40.0,,0.4,25.6
2022-02-18,79,40.0,,0.4,31.6
2022-02-19,42,40.0,,0.4,16.8
2022-02-20,69,38.0,False,0.38,26.22
2022-02-21,36,38.0,,0.38,13.68
2022-02-22,62,38.0,,0.38,23.56
2022-02-23,83,38.0,,0.38,31.54
2022-02-24,48,38.0,,0.38,18.240000000000002
2022-02-25,63,38.0,,0.38,23.94
2022-02-26,61,38.0,,0.38,23.18
2022-02-27,46,39.0,False,0.39,17.94
2022-02-28,50,39.0,,0.39,19.5
2022-03-01,63,39.0,,0.39,24.57
2022-03-02,54,39.0,,0.39,21.060000000000002
2022-03-03,49,39.0,,0.39,19.11
2022-03-04,70,39.0,,0.39,27.3
2022-03-05,33,39.0,,0.39,12.870000000000001
2022-03-06,38,40.0,False,0.4,15.200000000000001
2022-03-07,60,40.0,,0.4,24.0
2022-03-08,48,40.0,,0.4,19.200000000000003
2022-03-09,59,40.0,,0.4,23.6
2022-03-10,52,40.0,,0.4,20.8
2022-03-11,51,40.0,,0.4,20.400000000000002
2022-03-12,62,40.0,,0.4,24.8
2022-03-13,39,42.0,False,0.42,16.38
2022-03-14,47,42.0,,0.42,19.74
2022-03-15,66,42.0,,0.42,27.72
2022-03-16,53,42.0,,0.42,22.259999999999998
2022-03-17,69,42.0,,0.42,28.98
2022-03-18,47,42.0,,0.42,19.74
2022-03-19,43,42.0,,0.42,18.06
2022-03-20,60,52.0,False,0.52,31.200000000000003
2022-03-21,59,52.0,,0.52,30.68
2022-03-22,58,52.0,,0.52,30.16
2022-03-23,61,52.0,,0.52,31.720000000000002
2022-03-24,51,52.0,,0.52,26.52
2022-03-25,100,52.0,,0.52,52.0
2022-03-26,54,52.0,,0.52,28.080000000000002
2022-03-27,73,49.0,False,0.49,35.769999999999996
2022-03-28,85,49.0,,0.49,41.65
2022-03-29,68,49.0,,0.49,33.32
2022-03-30,58,49.0,,0.49,28.419999999999998
2022-03-31,83,49.0,,0.49,40.67
2022-04-01,80,49.0,,0.49,39.2
2022-04-02,58,49.0,,0.49,28.419999999999998
2022-04-03,57,48.0,False,0.48,27.36
2022-04-04,89,48.0,,0.48,42.72
2022-04-05,87,48.0,,0.48,41.76
2022-04-06,86,48.0,,0.48,41.28
2022-04-07,100,48.0,,0.48,48.0
2022-04-08,89,48.0,,0.48,42.72
2022-04-09,65,48.0,,0.48,31.2
2022-04-10,66,44.0,False,0.44,29.04
2022-04-11,73,44.0,,0.44,32.12
2022-04-12,83,44.0,,0.44,36.52
2022-04-13,93,44.0,,0.44,40.92
2022-04-14,78,44.0,,0.44,34.32
2022-04-15,79,44.0,,0.44,34.76
2022-04-16,44,44.0,,0.44,19.36
2022-04-17,33,46.0,False,0.46,15.180000000000001
2022-04-18,76,46.0,,0.46,34.96
2022-04-19,98,46.0,,0.46,45.080000000000005
2022-04-20,94,46.0,,0.46,43.24
2022-04-21,75,46.0,,0.46,34.5
2022-04-22,86,46.0,,0.46,39.56
2022-04-23,57,46.0,,0.46,26.220000000000002
2022-04-24,53,42.0,False,0.42,22.259999999999998
2022-04-25,98,42.0,,0.42,41.16
2022-04-26,83,42.0,,0.42,34.86
2022-04-27,83,42.0,,0.42,34.86
2022-04-28,100,42.0,,0.42,42.0
2022-04-29,59,42.0,,0.42,24.779999999999998
2022-04-30,22,42.0,,0.42,9.24
2022-05-01,33,25.0,False,0.25,8.25
