date,Fork_unscaled,Fork_monthly,isPartial,scale,Fork
2022-01-01,75,,,,
2022-01-02,69,49.0,False,0.49,33.81
2022-01-03,78,49.0,,0.49,38.22
2022-01-04,95,49.0,,0.49,46.55
2022-01-05,100,49.0,,0.49,49.0
2022-01-06,70,49.0,,0.49,34.3
2022-01-07,74,49.0,,0.49,36.26
2022-01-08,85,49.0,,0.49,41.65
2022-01-09,75,48.0,False,0.48,36.0
2022-01-10,67,48.0,,0.48,32.16
2022-01-11,72,48.0,,0.48,34.56
2022-01-12,74,48.0,,0.48,35.519999999999996
2022-01-13,94,48.0,,0.48,45.12
2022-01-14,78,48.0,,0.48,37.44
2022-01-15,77,48.0,,0.48,36.96
2022-01-16,82,46.0,False,0.46,37.72
2022-01-17,73,46.0,,0.46,33.58
2022-01-18,69,46.0,,0.46,31.740000000000002
2022-01-19,73,46.0,,0.46,33.58
2022-01-20,70,46.0,,0.46,32.2
2022-01-21,69,46.0,,0.46,31.740000000000002
2022-01-22,79,46.0,,0.46,36.34
2022-01-23,75,49.0,False,0.49,36.75
2022-01-24,96,49.0,,0.49,47.04
2022-01-25,88,49.0,,0.49,43.12
2022-01-26,71,49.0,,0.49,34.79
2022-01-27,68,49.0,,0.49,33.32
2022-01-28,81,49.0,,0.49,39.69
2022-01-29,80,49.0,,0.49,39.2
2022-01-30,71,48.0,False,0.48,34.08
2022-01-31,68,48.0,,0.48,32.64
2022-02-01,80,48.0,,0.48,38.4
2022-02-02,69,48.0,,0.48,33.12
2022-02-03,79,48.0,,0.48,37.92
2022-02-04,84,48.0,,0.48,40.32
2022-02-05,90,48.0,,0.48,43.199999999999996
2022-02-06,87,54.0,False,0.54,46.980000000000004
2022-02-07,82,54.0,,0.54,44.28
2022-02-08,82,54.0,,0.54,44.28
2022-02-09,79,54.0,,0.54,42.660000000000004
2022-02-10,93,54.0,,0.54,50.220000000000006
2022-02-11,87,54.0,,0.54,46.980000000000004
2022-02-12,100,54.0,,0.54,54.0
2022-02-13,78,55.0,False,0.55,42.900000000000006
2022-02-14,72,55.0,,0.55,39.6
2022-02-15,85,55.0,,0.55,46.75000000000001
2022-02-16,81,55.0,,0.55,44.550000000000004
2022-02-17,81,55.0,,0.55,44.550000000000004
2022-02-18,85,55.0,,0.55,46.75000000000001
2022-02-19,93,55.0,,0.55,51.150000000000006
2022-02-20,90,51.0,False,0.51,45.9
2022-02-21,84,51.0,,0.51,42.84
2022-02-22,87,51.0,,0.51,44.37
