date,Hash Rate_unscaled,Hash Rate_monthly,isPartial,scale,Hash Rate
2022-01-01,57,,,,
2022-01-02,76,100.0,False,1.0,76.0
2022-01-03,69,100.0,,1.0,69.0
2022-01-04,41,100.0,,1.0,41.0
2022-01-05,52,100.0,,1.0,52.0
2022-01-06,54,100.0,,1.0,54.0
2022-01-07,76,100.0,,1.0,76.0
2022-01-08,64,100.0,,1.0,64.0
2022-01-09,89,84.0,False,0.84,74.75999999999999
2022-01-10,96,84.0,,0.84,80.64
2022-01-11,46,84.0,,0.84,38.64
2022-01-12,61,84.0,,0.84,51.239999999999995
2022-01-13,29,84.0,,0.84,24.36
2022-01-14,86,84.0,,0.84,72.24
2022-01-15,76,84.0,,0.84,63.839999999999996
2022-01-16,49,94.0,False,0.94,46.059999999999995
2022-01-17,46,94.0,,0.94,43.239999999999995
2022-01-18,100,94.0,,0.94,94.0
2022-01-19,76,94.0,,0.94,71.44
2022-01-20,100,94.0,,0.94,94.0
2022-01-21,82,94.0,,0.94,77.08
2022-01-22,29,94.0,,0.94,27.259999999999998
2022-01-23,53,68.0,False,0.68,36.04
2022-01-24,57,68.0,,0.68,38.760000000000005
2022-01-25,72,68.0,,0.68,48.96
2022-01-26,98,68.0,,0.68,66.64
2022-01-27,56,68.0,,0.68,38.080000000000005
2022-01-28,20,68.0,,0.68,13.600000000000001
2022-01-29,51,68.0,,0.68,34.68
2022-01-30,39,46.0,False,0.46,17.94
2022-01-31,26,46.0,,0.46,11.96
2022-02-01,27,46.0,,0.46,12.42
2022-02-02,30,46.0,,0.46,13.8
2022-02-03,49,46.0,,0.46,22.540000000000003
2022-02-04,29,46.0,,0.46,13.34
2022-02-05,48,46.0,,0.46,22.080000000000002
2022-02-06,59,62.0,False,0.62,36.58
2022-02-07,45,62.0,,0.62,27.9
2022-02-08,30,62.0,,0.62,18.6
2022-02-09,25,62.0,,0.62,15.5
2022-02-10,100,62.0,,0.62,62.0
2022-02-11,42,62.0,,0.62,26.04
2022-02-12,68,62.0,,0.62,42.16
2022-02-13,18,68.0,False,0.68,12.24
2022-02-14,22,68.0,,0.68,14.96
2022-02-15,47,68.0,,0.68,31.96
2022-02-16,19,68.0,,0.68,12.920000000000002
2022-02-17,36,68.0,,0.68,24.48
2022-02-18,26,68.0,,0.68,17.68
2022-02-19,45,68.0,,0.68,30.6
2022-02-20,42,61.0,False,0.61,25.62
2022-02-21,35,61.0,,0.61,21.349999999999998
2022-02-22,72,61.0,,0.61,43.92
2022-02-23,46,61.0,,0.61,28.06
2022-02-24,27,61.0,,0.61,16.47
2022-02-25,34,61.0,,0.61,20.74
2022-02-26,32,61.0,,0.61,19.52
2022-02-27,34,70.0,False,0.7,23.799999999999997
2022-02-28,36,70.0,,0.7,25.2
2022-03-01,88,70.0,,0.7,61.599999999999994
2022-03-02,60,70.0,,0.7,42.0
2022-03-03,53,70.0,,0.7,37.099999999999994
2022-03-04,58,70.0,,0.7,40.599999999999994
2022-03-05,100,70.0,,0.7,70.0
2022-03-06,25,43.0,False,0.43,10.75
2022-03-07,34,43.0,,0.43,14.62
2022-03-08,24,43.0,,0.43,10.32
2022-03-09,28,43.0,,0.43,12.04
2022-03-10,43,43.0,,0.43,18.49
2022-03-11,0,43.0,,0.43,0.0
2022-03-12,0,43.0,,0.43,0.0
2022-03-13,42,52.0,False,0.52,21.84
2022-03-14,40,52.0,,0.52,20.8
2022-03-15,42,52.0,,0.52,21.84
2022-03-16,36,52.0,,0.52,18.72
2022-03-17,51,52.0,,0.52,26.52
2022-03-18,50,52.0,,0.52,26.0
2022-03-19,31,52.0,,0.52,16.12
2022-03-20,33,40.0,False,0.4,13.200000000000001
2022-03-21,56,40.0,,0.4,22.400000000000002
2022-03-22,43,40.0,,0.4,17.2
2022-03-23,48,40.0,,0.4,19.200000000000003
2022-03-24,28,40.0,,0.4,11.200000000000001
2022-03-25,56,40.0,,0.4,22.400000000000002
2022-03-26,24,40.0,,0.4,9.600000000000001
2022-03-27,32,55.0,False,0.55,17.6
2022-03-28,61,55.0,,0.55,33.550000000000004
2022-03-29,75,55.0,,0.55,41.25
2022-03-30,65,55.0,,0.55,35.75
2022-03-31,21,55.0,,0.55,11.55
2022-04-01,37,55.0,,0.55,20.35
2022-04-02,18,55.0,,0.55,9.9
2022-04-03,51,52.0,False,0.52,26.52
2022-04-04,67,52.0,,0.52,34.84
2022-04-05,31,52.0,,0.52,16.12
2022-04-06,21,52.0,,0.52,10.92
2022-04-07,51,52.0,,0.52,26.52
2022-04-08,51,52.0,,0.52,26.52
2022-04-09,47,52.0,,0.52,24.44
2022-04-10,43,46.0,False,0.46,19.78
2022-04-11,100,46.0,,0.46,46.0
2022-04-12,0,46.0,,0.46,0.0
2022-04-13,0,46.0,,0.46,0.0
2022-04-14,39,46.0,,0.46,17.94
2022-04-15,73,46.0,,0.46,33.58
2022-04-16,67,46.0,,0.46,30.82
2022-04-17,73,48.0,False,0.48,35.04
2022-04-18,0,48.0,,0.48,0.0
2022-04-19,78,48.0,,0.48,37.44
2022-04-20,62,48.0,,0.48,29.759999999999998
2022-04-21,52,48.0,,0.48,24.96
2022-04-22,81,48.0,,0.48,38.879999999999995
2022-04-23,60,48.0,,0.48,28.799999999999997
2022-04-24,43,39.0,False,0.39,16.77
2022-04-25,61,39.0,,0.39,23.79
2022-04-26,21,39.0,,0.39,8.19
2022-04-27,26,39.0,,0.39,10.14
2022-04-28,44,39.0,,0.39,17.16
2022-04-29,41,39.0,,0.39,15.99
2022-04-30,33,39.0,,0.39,12.870000000000001
2022-05-01,67,33.0,False,0.33,22.11
2022-05-02,77,33.0,,0.33,25.41
2022-05-03,69,33.0,,0.33,22.77
2022-05-04,55,33.0,,0.33,18.150000000000002
2022-05-05,63,33.0,,0.33,20.790000000000003
2022-05-06,45,33.0,,0.33,14.850000000000001
2022-05-07,50,33.0,,0.33,16.5
2022-05-08,61,39.0,False,0.39,23.79
2022-05-09,63,39.0,,0.39,24.57
2022-05-10,50,39.0,,0.39,19.5
2022-05-11,60,39.0,,0.39,23.400000000000002
2022-05-12,38,39.0,,0.39,14.82
2022-05-13,29,39.0,,0.39,11.31
2022-05-14,100,39.0,,0.39,39.0
2022-05-15,41,36.0,False,0.36,14.76
2022-05-16,56,36.0,,0.36,20.16
2022-05-17,42,36.0,,0.36,15.12
2022-05-18,52,36.0,,0.36,18.72
2022-05-19,26,36.0,,0.36,9.36
2022-05-20,46,36.0,,0.36,16.56
2022-05-21,0,36.0,,0.36,0.0
2022-05-22,29,21.0,False,0.21,6.09
2022-05-23,35,21.0,,0.21,7.35
2022-05-24,47,21.0,,0.21,9.87
2022-05-25,36,21.0,,0.21,7.56
2022-05-26,0,21.0,,0.21,0.0
2022-05-27,0,21.0,,0.21,0.0
2022-05-28,43,21.0,,0.21,9.03
2022-05-29,52,27.0,False,0.27,14.040000000000001
2022-05-30,0,27.0,,0.27,0.0
2022-05-31,0,27.0,,0.27,0.0
2022-06-01,0,27.0,,0.27,0.0
2022-06-02,94,27.0,,0.27,25.380000000000003
2022-06-03,40,27.0,,0.27,10.8
2022-06-04,49,27.0,,0.27,13.23
2022-06-05,0,22.0,False,0.22,0.0
2022-06-06,0,22.0,,0.22,0.0
2022-06-07,0,22.0,,0.22,0.0
2022-06-08,24,22.0,,0.22,5.28
2022-06-09,54,22.0,,0.22,11.88
2022-06-10,0,22.0,,0.22,0.0
2022-06-11,0,22.0,,0.22,0.0
2022-06-12,37,37.0,False,0.37,13.69
2022-06-13,57,37.0,,0.37,21.09
2022-06-14,71,37.0,,0.37,26.27
2022-06-15,100,37.0,,0.37,37.0
2022-06-16,27,37.0,,0.37,9.99
2022-06-17,26,37.0,,0.37,9.62
2022-06-18,77,37.0,,0.37,28.49
2022-06-19,46,31.0,False,0.31,14.26
2022-06-20,0,31.0,,0.31,0.0
2022-06-21,67,31.0,,0.31,20.77
2022-06-22,44,31.0,,0.31,13.64
2022-06-23,24,31.0,,0.31,7.4399999999999995
2022-06-24,40,31.0,,0.31,12.4
2022-06-25,38,31.0,,0.31,11.78
2022-06-26,49,27.0,False,0.27,13.23
2022-06-27,65,27.0,,0.27,17.55
2022-06-28,0,27.0,,0.27,0.0
2022-06-29,43,27.0,,0.27,11.610000000000001
2022-06-30,49,27.0,,0.27,13.23
2022-07-01,0,27.0,,0.27,0.0
2022-07-02,26,27.0,,0.27,7.0200000000000005
2022-07-03,0,25.0,False,0.25,0.0
2022-07-04,0,25.0,,0.25,0.0
2022-07-05,0,25.0,,0.25,0.0
2022-07-06,24,25.0,,0.25,6.0
2022-07-07,19,25.0,,0.25,4.75
2022-07-08,0,25.0,,0.25,0.0
2022-07-09,57,25.0,,0.25,14.25
2022-07-10,54,38.0,False,0.38,20.52
2022-07-11,0,38.0,,0.38,0.0
2022-07-12,37,38.0,,0.38,14.06
2022-07-13,42,38.0,,0.38,15.96
2022-07-14,100,38.0,,0.38,38.0
2022-07-15,0,38.0,,0.38,0.0
2022-07-16,85,38.0,,0.38,32.3
2022-07-17,0,24.0,False,0.24,0.0
2022-07-18,0,24.0,,0.24,0.0
2022-07-19,50,24.0,,0.24,12.0
2022-07-20,52,24.0,,0.24,12.48
2022-07-21,18,24.0,,0.24,4.32
2022-07-22,27,24.0,,0.24,6.4799999999999995
2022-07-23,22,24.0,,0.24,5.279999999999999
2022-07-24,23,17.0,False,0.17,3.91
2022-07-25,0,17.0,,0.17,0.0
2022-07-26,25,17.0,,0.17,4.25
2022-07-27,16,17.0,,0.17,2.72
2022-07-28,20,17.0,,0.17,3.4000000000000004
2022-07-29,40,17.0,,0.17,6.800000000000001
2022-07-30,25,17.0,,0.17,4.25
2022-07-31,0,13.0,False,0.13,0.0
2022-08-01,0,13.0,,0.13,0.0
2022-08-02,0,13.0,,0.13,0.0
2022-08-03,29,13.0,,0.13,3.77
2022-08-04,37,13.0,,0.13,4.8100000000000005
2022-08-05,30,13.0,,0.13,3.9000000000000004
2022-08-06,0,13.0,,0.13,0.0
2022-08-07,36,18.0,False,0.18,6.4799999999999995
2022-08-08,100,18.0,,0.18,18.0
2022-08-09,42,18.0,,0.18,7.56
2022-08-10,0,18.0,,0.18,0.0
2022-08-11,0,18.0,,0.18,0.0
2022-08-12,22,18.0,,0.18,3.96
2022-08-13,25,18.0,,0.18,4.5
2022-08-14,0,24.0,False,0.24,0.0
2022-08-15,23,24.0,,0.24,5.52
2022-08-16,78,24.0,,0.24,18.72
2022-08-17,31,24.0,,0.24,7.4399999999999995
2022-08-18,0,24.0,,0.24,0.0
2022-08-19,31,24.0,,0.24,7.4399999999999995
2022-08-20,0,24.0,,0.24,0.0
2022-08-21,22,12.0,False,0.12,2.6399999999999997
2022-08-22,32,12.0,,0.12,3.84
2022-08-23,19,12.0,,0.12,2.28
2022-08-24,31,12.0,,0.12,3.7199999999999998
2022-08-25,0,12.0,,0.12,0.0
2022-08-26,0,12.0,,0.12,0.0
2022-08-27,0,12.0,,0.12,0.0
2022-08-28,0,15.0,False,0.15,0.0
2022-08-29,0,15.0,,0.15,0.0
2022-08-30,0,15.0,,0.15,0.0
2022-08-31,0,15.0,,0.15,0.0
2022-09-01,40,15.0,,0.15,6.0
2022-09-02,0,15.0,,0.15,0.0
2022-09-03,19,15.0,,0.15,2.85
2022-09-04,0,25.0,False,0.25,0.0
2022-09-05,14,25.0,,0.25,3.5
2022-09-06,48,25.0,,0.25,12.0
2022-09-07,27,25.0,,0.25,6.75
2022-09-08,0,25.0,,0.25,0.0
2022-09-09,0,25.0,,0.25,0.0
2022-09-10,30,25.0,,0.25,7.5
2022-09-11,27,53.0,False,0.53,14.31
2022-09-12,40,53.0,,0.53,21.200000000000003
2022-09-13,38,53.0,,0.53,20.14
2022-09-14,22,53.0,,0.53,11.66
2022-09-15,100,53.0,,0.53,53.0
2022-09-16,54,53.0,,0.53,28.62
2022-09-17,54,53.0,,0.53,28.62
2022-09-18,0,19.0,False,0.19,0.0
2022-09-19,19,19.0,,0.19,3.61
2022-09-20,45,19.0,,0.19,8.55
2022-09-21,22,19.0,,0.19,4.18
2022-09-22,0,19.0,,0.19,0.0
2022-09-23,0,19.0,,0.19,0.0
2022-09-24,0,19.0,,0.19,0.0
2022-09-25,0,21.0,False,0.21,0.0
2022-09-26,0,21.0,,0.21,0.0
2022-09-27,32,21.0,,0.21,6.72
2022-09-28,13,21.0,,0.21,2.73
2022-09-29,0,21.0,,0.21,0.0
2022-09-30,0,21.0,,0.21,0.0
2022-10-01,0,21.0,,0.21,0.0
2022-10-02,35,20.0,False,0.2,7.0
2022-10-03,29,20.0,,0.2,5.800000000000001
2022-10-04,0,20.0,,0.2,0.0
2022-10-05,36,20.0,,0.2,7.2
2022-10-06,35,20.0,,0.2,7.0
2022-10-07,44,20.0,,0.2,8.8
2022-10-08,0,20.0,,0.2,0.0
2022-10-09,0,23.0,False,0.23,0.0
2022-10-10,0,23.0,,0.23,0.0
2022-10-11,42,23.0,,0.23,9.66
2022-10-12,58,23.0,,0.23,13.34
2022-10-13,86,23.0,,0.23,19.78
2022-10-14,0,23.0,,0.23,0.0
2022-10-15,47,23.0,,0.23,10.81
2022-10-16,0,20.0,False,0.2,0.0
2022-10-17,0,20.0,,0.2,0.0
2022-10-18,0,20.0,,0.2,0.0
2022-10-19,47,20.0,,0.2,9.4
2022-10-20,96,20.0,,0.2,19.200000000000003
2022-10-21,0,20.0,,0.2,0.0
2022-10-22,0,20.0,,0.2,0.0
2022-10-23,44,18.0,False,0.18,7.92
2022-10-24,42,18.0,,0.18,7.56
2022-10-25,70,18.0,,0.18,12.6
2022-10-26,49,18.0,,0.18,8.82
2022-10-27,58,18.0,,0.18,10.44
2022-10-28,0,18.0,,0.18,0.0
2022-10-29,100,18.0,,0.18,18.0
2022-10-30,0,14.0,False,0.14,0.0
2022-10-31,65,14.0,,0.14,9.100000000000001
2022-11-01,0,14.0,,0.14,0.0
2022-11-02,54,14.0,,0.14,7.5600000000000005
2022-11-03,0,14.0,,0.14,0.0
2022-11-04,79,14.0,,0.14,11.06
2022-11-05,46,14.0,,0.14,6.44
2022-11-06,64,14.0,False,0.14,8.96
2022-11-07,0,14.0,,0.14,0.0
2022-11-08,0,14.0,,0.14,0.0
2022-11-09,33,14.0,,0.14,4.62
2022-11-10,0,14.0,,0.14,0.0
2022-11-11,0,14.0,,0.14,0.0
2022-11-12,0,14.0,,0.14,0.0
2022-11-13,0,16.0,False,0.16,0.0
2022-11-14,54,16.0,,0.16,8.64
2022-11-15,99,16.0,,0.16,15.84
2022-11-16,67,16.0,,0.16,10.72
2022-11-17,0,16.0,,0.16,0.0
2022-11-18,0,16.0,,0.16,0.0
2022-11-19,100,16.0,,0.16,16.0
2022-11-20,77,18.0,False,0.18,13.86
2022-11-21,60,18.0,,0.18,10.799999999999999
2022-11-22,70,18.0,,0.18,12.6
2022-11-23,0,18.0,,0.18,0.0
2022-11-24,0,18.0,,0.18,0.0
2022-11-25,0,18.0,,0.18,0.0
2022-11-26,49,18.0,,0.18,8.82
2022-11-27,0,20.0,False,0.2,0.0
2022-11-28,65,20.0,,0.2,13.0
2022-11-29,56,20.0,,0.2,11.200000000000001
2022-11-30,82,20.0,,0.2,16.400000000000002
2022-12-01,60,20.0,,0.2,12.0
2022-12-02,69,20.0,,0.2,13.8
2022-12-03,59,20.0,,0.2,11.8
2022-12-04,0,17.0,False,0.17,0.0
2022-12-05,27,17.0,,0.17,4.590000000000001
2022-12-06,49,17.0,,0.17,8.33
2022-12-07,39,17.0,,0.17,6.630000000000001
2022-12-08,79,17.0,,0.17,13.430000000000001
2022-12-09,0,17.0,,0.17,0.0
2022-12-10,0,17.0,,0.17,0.0
2022-12-11,0,15.0,False,0.15,0.0
2022-12-12,0,15.0,,0.15,0.0
2022-12-13,0,15.0,,0.15,0.0
2022-12-14,69,15.0,,0.15,10.35
2022-12-15,0,15.0,,0.15,0.0
2022-12-16,57,15.0,,0.15,8.549999999999999
2022-12-17,0,15.0,,0.15,0.0
2022-12-18,0,24.0,False,0.24,0.0
2022-12-19,0,24.0,,0.24,0.0
2022-12-20,46,24.0,,0.24,11.04
2022-12-21,0,24.0,,0.24,0.0
2022-12-22,88,24.0,,0.24,21.119999999999997
2022-12-23,0,24.0,,0.24,0.0
2022-12-24,0,24.0,,0.24,0.0
2022-12-25,55,10.0,False,0.1,5.5
2022-12-26,81,10.0,,0.1,8.1
2022-12-27,62,10.0,,0.1,6.2
2022-12-28,0,10.0,,0.1,0.0
2022-12-29,0,10.0,,0.1,0.0
2022-12-30,100,10.0,,0.1,10.0
2022-12-31,0,10.0,,0.1,0.0
2023-01-01,0,9.0,False,0.09,0.0
2023-01-02,29,9.0,,0.09,2.61
2023-01-03,54,9.0,,0.09,4.859999999999999
2023-01-04,22,9.0,,0.09,1.98
2023-01-05,0,9.0,,0.09,0.0
2023-01-06,0,9.0,,0.09,0.0
2023-01-07,100,9.0,,0.09,9.0
2023-01-08,0,12.0,False,0.12,0.0
2023-01-09,0,12.0,,0.12,0.0
2023-01-10,0,12.0,,0.12,0.0
2023-01-11,0,12.0,,0.12,0.0
2023-01-12,47,12.0,,0.12,5.64
2023-01-13,0,12.0,,0.12,0.0
2023-01-14,0,12.0,,0.12,0.0
2023-01-15,0,12.0,False,0.12,0.0
2023-01-16,37,12.0,,0.12,4.4399999999999995
2023-01-17,49,12.0,,0.12,5.88
2023-01-18,96,12.0,,0.12,11.52
2023-01-19,0,12.0,,0.12,0.0
2023-01-20,0,12.0,,0.12,0.0
2023-01-21,0,12.0,,0.12,0.0
2023-01-22,54,15.0,False,0.15,8.1
2023-01-23,74,15.0,,0.15,11.1
2023-01-24,54,15.0,,0.15,8.1
2023-01-25,0,15.0,,0.15,0.0
2023-01-26,0,15.0,,0.15,0.0
2023-01-27,0,15.0,,0.15,0.0
2023-01-28,39,15.0,,0.15,5.85
2023-01-29,30,13.0,False,0.13,3.9000000000000004
2023-01-30,38,13.0,,0.13,4.94
2023-01-31,0,13.0,,0.13,0.0
2023-02-01,77,13.0,,0.13,10.01
2023-02-02,41,13.0,,0.13,5.33
2023-02-03,0,13.0,,0.13,0.0
2023-02-04,0,13.0,,0.13,0.0
2023-02-05,47,11.0,False,0.11,5.17
2023-02-06,0,11.0,,0.11,0.0
2023-02-07,39,11.0,,0.11,4.29
2023-02-08,96,11.0,,0.11,10.56
2023-02-09,0,11.0,,0.11,0.0
2023-02-10,0,11.0,,0.11,0.0
2023-02-11,0,11.0,,0.11,0.0
