date,ICO_unscaled,ICO_monthly,isPartial,scale,ICO
2022-01-01,35,,,,
2022-01-02,56,93.0,False,0.93,52.080000000000005
2022-01-03,66,93.0,,0.93,61.38
2022-01-04,100,93.0,,0.93,93.0
2022-01-05,81,93.0,,0.93,75.33
2022-01-06,58,93.0,,0.93,53.940000000000005
2022-01-07,61,93.0,,0.93,56.730000000000004
2022-01-08,58,93.0,,0.93,53.940000000000005
2022-01-09,43,84.0,False,0.84,36.12
2022-01-10,66,84.0,,0.84,55.44
2022-01-11,66,84.0,,0.84,55.44
2022-01-12,69,84.0,,0.84,57.96
2022-01-13,66,84.0,,0.84,55.44
2022-01-14,43,84.0,,0.84,36.12
2022-01-15,43,84.0,,0.84,36.12
2022-01-16,72,82.0,False,0.82,59.04
2022-01-17,47,82.0,,0.82,38.54
2022-01-18,58,82.0,,0.82,47.559999999999995
2022-01-19,44,82.0,,0.82,36.08
2022-01-20,53,82.0,,0.82,43.46
2022-01-21,61,82.0,,0.82,50.019999999999996
2022-01-22,71,82.0,,0.82,58.22
2022-01-23,51,81.0,False,0.81,41.31
2022-01-24,80,81.0,,0.81,64.80000000000001
2022-01-25,71,81.0,,0.81,57.510000000000005
2022-01-26,57,81.0,,0.81,46.17
2022-01-27,51,81.0,,0.81,41.31
2022-01-28,51,81.0,,0.81,41.31
2022-01-29,72,81.0,,0.81,58.32000000000001
2022-01-30,53,83.0,False,0.83,43.989999999999995
2022-01-31,66,83.0,,0.83,54.779999999999994
2022-02-01,46,83.0,,0.83,38.18
2022-02-02,65,83.0,,0.83,53.949999999999996
2022-02-03,76,83.0,,0.83,63.08
2022-02-04,68,83.0,,0.83,56.44
2022-02-05,57,83.0,,0.83,47.309999999999995
2022-02-06,52,82.0,False,0.82,42.64
2022-02-07,74,82.0,,0.82,60.68
2022-02-08,71,82.0,,0.82,58.22
2022-02-09,78,82.0,,0.82,63.959999999999994
2022-02-10,70,82.0,,0.82,57.4
2022-02-11,78,82.0,,0.82,63.959999999999994
2022-02-12,51,82.0,,0.82,41.82
2022-02-13,55,94.0,False,0.94,51.699999999999996
2022-02-14,49,94.0,,0.94,46.059999999999995
2022-02-15,68,94.0,,0.94,63.919999999999995
2022-02-16,79,94.0,,0.94,74.25999999999999
2022-02-17,71,94.0,,0.94,66.74
2022-02-18,78,94.0,,0.94,73.32
2022-02-19,100,94.0,,0.94,94.0
2022-02-20,70,82.0,False,0.82,57.4
2022-02-21,67,82.0,,0.82,54.94
2022-02-22,79,82.0,,0.82,64.78
2022-02-23,91,82.0,,0.82,74.61999999999999
2022-02-24,75,82.0,,0.82,61.49999999999999
2022-02-25,74,82.0,,0.82,60.68
2022-02-26,68,82.0,,0.82,55.76
2022-02-27,59,85.0,False,0.85,50.15
2022-02-28,66,85.0,,0.85,56.1
2022-03-01,72,85.0,,0.85,61.199999999999996
2022-03-02,63,85.0,,0.85,53.55
2022-03-03,58,85.0,,0.85,49.3
2022-03-04,60,85.0,,0.85,51.0
