date,/m/060b5_unscaled,/m/060b5_monthly,isPartial,scale,/m/060b5
2022-01-01,35,,,,
2022-01-02,43,90.0,False,0.9,38.7
2022-01-03,60,90.0,,0.9,54.0
2022-01-04,90,90.0,,0.9,81.0
2022-01-05,85,90.0,,0.9,76.5
2022-01-06,65,90.0,,0.9,58.5
2022-01-07,57,90.0,,0.9,51.300000000000004
2022-01-08,53,90.0,,0.9,47.7
2022-01-09,45,86.0,False,0.86,38.7
2022-01-10,82,86.0,,0.86,70.52
2022-01-11,70,86.0,,0.86,60.199999999999996
2022-01-12,64,86.0,,0.86,55.04
2022-01-13,67,86.0,,0.86,57.62
2022-01-14,43,86.0,,0.86,36.98
2022-01-15,26,86.0,,0.86,22.36
2022-01-16,61,75.0,False,0.75,45.75
2022-01-17,39,75.0,,0.75,29.25
2022-01-18,58,75.0,,0.75,43.5
2022-01-19,45,75.0,,0.75,33.75
2022-01-20,61,75.0,,0.75,45.75
2022-01-21,59,75.0,,0.75,44.25
2022-01-22,56,75.0,,0.75,42.0
2022-01-23,46,88.0,False,0.88,40.48
2022-01-24,100,88.0,,0.88,88.0
2022-01-25,72,88.0,,0.88,63.36
2022-01-26,65,88.0,,0.88,57.2
2022-01-27,53,88.0,,0.88,46.64
2022-01-28,60,88.0,,0.88,52.8
2022-01-29,47,88.0,,0.88,41.36
2022-01-30,51,84.0,False,0.84,42.839999999999996
2022-01-31,45,84.0,,0.84,37.8
2022-02-01,84,84.0,,0.84,70.56
2022-02-02,74,84.0,,0.84,62.16
2022-02-03,92,84.0,,0.84,77.28
2022-02-04,80,84.0,,0.84,67.2
2022-02-05,51,84.0,,0.84,42.839999999999996
2022-02-06,49,96.0,False,0.96,47.04
2022-02-07,75,96.0,,0.96,72.0
2022-02-08,85,96.0,,0.96,81.6
2022-02-09,98,96.0,,0.96,94.08
2022-02-10,95,96.0,,0.96,91.2
2022-02-11,92,96.0,,0.96,88.32
2022-02-12,77,96.0,,0.96,73.92
2022-02-13,64,99.0,False,0.99,63.36
2022-02-14,80,99.0,,0.99,79.2
2022-02-15,100,99.0,,0.99,99.0
2022-02-16,91,99.0,,0.99,90.09
2022-02-17,82,99.0,,0.99,81.17999999999999
2022-02-18,82,99.0,,0.99,81.17999999999999
2022-02-19,79,99.0,,0.99,78.21
2022-02-20,88,89.0,False,0.89,78.32000000000001
2022-02-21,75,89.0,,0.89,66.75
2022-02-22,98,89.0,,0.89,87.22
2022-02-23,93,89.0,,0.89,82.77
2022-02-24,85,89.0,,0.89,75.65
2022-02-25,87,89.0,,0.89,77.43
2022-02-26,81,89.0,,0.89,72.09
2022-02-27,78,92.0,False,0.92,71.76
2022-02-28,87,92.0,,0.92,80.04
2022-03-01,98,92.0,,0.92,90.16000000000001
2022-03-02,89,92.0,,0.92,81.88000000000001
2022-03-03,100,92.0,,0.92,92.0
2022-03-04,80,92.0,,0.92,73.60000000000001
2022-03-05,77,92.0,,0.92,70.84
2022-03-06,74,90.0,False,0.9,66.60000000000001
2022-03-07,96,90.0,,0.9,86.4
2022-03-08,96,90.0,,0.9,86.4
2022-03-09,74,90.0,,0.9,66.60000000000001
2022-03-10,97,90.0,,0.9,87.3
2022-03-11,99,90.0,,0.9,89.10000000000001
2022-03-12,66,90.0,,0.9,59.4
2022-03-13,69,90.0,False,0.9,62.1
2022-03-14,91,90.0,,0.9,81.9
2022-03-15,98,90.0,,0.9,88.2
2022-03-16,97,90.0,,0.9,87.3
2022-03-17,88,90.0,,0.9,79.2
2022-03-18,79,90.0,,0.9,71.10000000000001
2022-03-19,76,90.0,,0.9,68.4
2022-03-20,75,91.0,False,0.91,68.25
2022-03-21,80,91.0,,0.91,72.8
2022-03-22,85,91.0,,0.91,77.35000000000001
2022-03-23,69,91.0,,0.91,62.79
2022-03-24,71,91.0,,0.91,64.61
2022-03-25,86,91.0,,0.91,78.26
2022-03-26,76,91.0,,0.91,69.16
2022-03-27,75,95.0,False,0.95,71.25
2022-03-28,96,95.0,,0.95,91.19999999999999
2022-03-29,93,95.0,,0.95,88.35
2022-03-30,98,95.0,,0.95,93.1
2022-03-31,99,95.0,,0.95,94.05
2022-04-01,77,95.0,,0.95,73.14999999999999
2022-04-02,49,95.0,,0.95,46.55
2022-04-03,62,87.0,False,0.87,53.94
2022-04-04,91,87.0,,0.87,79.17
2022-04-05,77,87.0,,0.87,66.99
2022-04-06,74,87.0,,0.87,64.38
2022-04-07,84,87.0,,0.87,73.08
2022-04-08,81,87.0,,0.87,70.47
2022-04-09,58,87.0,,0.87,50.46
2022-04-10,80,95.0,False,0.95,76.0
2022-04-11,85,95.0,,0.95,80.75
2022-04-12,80,95.0,,0.95,76.0
2022-04-13,79,95.0,,0.95,75.05
2022-04-14,86,95.0,,0.95,81.7
2022-04-15,89,95.0,,0.95,84.55
2022-04-16,63,95.0,,0.95,59.849999999999994
2022-04-17,68,98.0,False,0.98,66.64
2022-04-18,87,98.0,,0.98,85.26
2022-04-19,70,98.0,,0.98,68.6
2022-04-20,100,98.0,,0.98,98.0
2022-04-21,70,98.0,,0.98,68.6
2022-04-22,82,98.0,,0.98,80.36
2022-04-23,57,98.0,,0.98,55.86
2022-04-24,76,91.0,False,0.91,69.16
2022-04-25,69,91.0,,0.91,62.79
2022-04-26,80,91.0,,0.91,72.8
2022-04-27,81,91.0,,0.91,73.71000000000001
2022-04-28,85,91.0,,0.91,77.35000000000001
2022-04-29,86,91.0,,0.91,78.26
2022-04-30,67,91.0,,0.91,60.97
2022-05-01,61,94.0,False,0.94,57.339999999999996
2022-05-02,83,94.0,,0.94,78.02
2022-05-03,100,94.0,,0.94,94.0
2022-05-04,79,94.0,,0.94,74.25999999999999
2022-05-05,66,94.0,,0.94,62.04
2022-05-06,77,94.0,,0.94,72.38
2022-05-07,64,94.0,,0.94,60.16
2022-05-08,66,91.0,False,0.91,60.06
2022-05-09,85,91.0,,0.91,77.35000000000001
2022-05-10,92,91.0,,0.91,83.72
2022-05-11,75,91.0,,0.91,68.25
2022-05-12,78,91.0,,0.91,70.98
2022-05-13,82,91.0,,0.91,74.62
2022-05-14,58,91.0,,0.91,52.78
2022-05-15,61,82.0,False,0.82,50.019999999999996
2022-05-16,63,82.0,,0.82,51.66
2022-05-17,70,82.0,,0.82,57.4
2022-05-18,79,82.0,,0.82,64.78
2022-05-19,77,82.0,,0.82,63.13999999999999
2022-05-20,59,82.0,,0.82,48.379999999999995
2022-05-21,40,82.0,,0.82,32.8
2022-05-22,47,79.0,False,0.79,37.13
2022-05-23,72,79.0,,0.79,56.88
2022-05-24,86,79.0,,0.79,67.94
2022-05-25,62,79.0,,0.79,48.980000000000004
2022-05-26,55,79.0,,0.79,43.45
2022-05-27,58,79.0,,0.79,45.82
2022-05-28,65,79.0,,0.79,51.35
2022-05-29,54,77.0,False,0.77,41.58
2022-05-30,59,77.0,,0.77,45.43
2022-05-31,72,77.0,,0.77,55.44
2022-06-01,71,77.0,,0.77,54.67
2022-06-02,72,77.0,,0.77,55.44
2022-06-03,49,77.0,,0.77,37.730000000000004
2022-06-04,76,77.0,,0.77,58.52
2022-06-05,53,87.0,False,0.87,46.11
2022-06-06,86,87.0,,0.87,74.82
2022-06-07,71,87.0,,0.87,61.77
2022-06-08,75,87.0,,0.87,65.25
2022-06-09,86,87.0,,0.87,74.82
2022-06-10,74,87.0,,0.87,64.38
2022-06-11,49,87.0,,0.87,42.63
2022-06-12,84,87.0,False,0.87,73.08
2022-06-13,73,87.0,,0.87,63.51
2022-06-14,80,87.0,,0.87,69.6
2022-06-15,83,87.0,,0.87,72.21
2022-06-16,100,87.0,,0.87,87.0
2022-06-17,86,87.0,,0.87,74.82
2022-06-18,87,87.0,,0.87,75.69
2022-06-19,71,82.0,False,0.82,58.22
2022-06-20,51,82.0,,0.82,41.82
2022-06-21,72,82.0,,0.82,59.04
2022-06-22,83,82.0,,0.82,68.06
2022-06-23,83,82.0,,0.82,68.06
2022-06-24,75,82.0,,0.82,61.49999999999999
2022-06-25,54,82.0,,0.82,44.279999999999994
2022-06-26,50,81.0,False,0.81,40.5
2022-06-27,69,81.0,,0.81,55.89
2022-06-28,90,81.0,,0.81,72.9
2022-06-29,71,81.0,,0.81,57.510000000000005
2022-06-30,72,81.0,,0.81,58.32000000000001
2022-07-01,82,81.0,,0.81,66.42
2022-07-02,57,81.0,,0.81,46.17
2022-07-03,70,78.0,False,0.78,54.6
2022-07-04,65,78.0,,0.78,50.7
2022-07-05,87,78.0,,0.78,67.86
2022-07-06,64,78.0,,0.78,49.92
2022-07-07,82,78.0,,0.78,63.96
2022-07-08,81,78.0,,0.78,63.18
2022-07-09,66,78.0,,0.78,51.480000000000004
2022-07-10,79,83.0,False,0.83,65.57
2022-07-11,83,83.0,,0.83,68.89
2022-07-12,72,83.0,,0.83,59.76
2022-07-13,90,83.0,,0.83,74.7
2022-07-14,86,83.0,,0.83,71.38
2022-07-15,83,83.0,,0.83,68.89
2022-07-16,84,83.0,,0.83,69.72
2022-07-17,61,89.0,False,0.89,54.29
2022-07-18,100,89.0,,0.89,89.0
2022-07-19,97,89.0,,0.89,86.33
2022-07-20,96,89.0,,0.89,85.44
2022-07-21,94,89.0,,0.89,83.66
2022-07-22,71,89.0,,0.89,63.19
2022-07-23,58,89.0,,0.89,51.62
2022-07-24,63,85.0,False,0.85,53.55
2022-07-25,80,85.0,,0.85,68.0
2022-07-26,88,85.0,,0.85,74.8
2022-07-27,100,85.0,,0.85,85.0
2022-07-28,97,85.0,,0.85,82.45
2022-07-29,79,85.0,,0.85,67.14999999999999
2022-07-30,51,85.0,,0.85,43.35
2022-07-31,64,86.0,False,0.86,55.04
2022-08-01,72,86.0,,0.86,61.92
2022-08-02,68,86.0,,0.86,58.48
2022-08-03,74,86.0,,0.86,63.64
2022-08-04,80,86.0,,0.86,68.8
2022-08-05,87,86.0,,0.86,74.82
2022-08-06,58,86.0,,0.86,49.88
2022-08-07,68,78.0,False,0.78,53.04
2022-08-08,78,78.0,,0.78,60.84
2022-08-09,73,78.0,,0.78,56.940000000000005
2022-08-10,62,78.0,,0.78,48.36
2022-08-11,62,78.0,,0.78,48.36
2022-08-12,72,78.0,,0.78,56.160000000000004
2022-08-13,47,78.0,,0.78,36.660000000000004
2022-08-14,38,87.0,False,0.87,33.06
2022-08-15,78,87.0,,0.87,67.86
2022-08-16,81,87.0,,0.87,70.47
2022-08-17,79,87.0,,0.87,68.73
2022-08-18,89,87.0,,0.87,77.42999999999999
2022-08-19,77,87.0,,0.87,66.99
2022-08-20,59,87.0,,0.87,51.33
2022-08-21,62,98.0,False,0.98,60.76
2022-08-22,95,98.0,,0.98,93.1
2022-08-23,84,98.0,,0.98,82.32
