date,Private Key_unscaled,Private Key_monthly,isPartial,scale,Private Key
2022-01-01,34,,,,
2022-01-02,41,75.0,False,0.75,30.75
2022-01-03,43,75.0,,0.75,32.25
2022-01-04,94,75.0,,0.75,70.5
2022-01-05,80,75.0,,0.75,60.0
2022-01-06,68,75.0,,0.75,51.0
2022-01-07,61,75.0,,0.75,45.75
2022-01-08,38,75.0,,0.75,28.5
2022-01-09,40,83.0,False,0.83,33.199999999999996
2022-01-10,69,83.0,,0.83,57.269999999999996
2022-01-11,53,83.0,,0.83,43.989999999999995
2022-01-12,77,83.0,,0.83,63.91
2022-01-13,87,83.0,,0.83,72.21
2022-01-14,69,83.0,,0.83,57.269999999999996
2022-01-15,49,83.0,,0.83,40.669999999999995
2022-01-16,30,70.0,False,0.7,21.0
2022-01-17,52,70.0,,0.7,36.4
2022-01-18,55,70.0,,0.7,38.5
2022-01-19,68,70.0,,0.7,47.599999999999994
2022-01-20,79,70.0,,0.7,55.3
2022-01-21,59,70.0,,0.7,41.3
2022-01-22,31,70.0,,0.7,21.7
2022-01-23,39,86.0,False,0.86,33.54
2022-01-24,100,86.0,,0.86,86.0
2022-01-25,81,86.0,,0.86,69.66
2022-01-26,75,86.0,,0.86,64.5
2022-01-27,73,86.0,,0.86,62.78
2022-01-28,61,86.0,,0.86,52.46
2022-01-29,47,86.0,,0.86,40.42
2022-01-30,50,90.0,False,0.9,45.0
2022-01-31,75,90.0,,0.9,67.5
2022-02-01,73,90.0,,0.9,65.7
2022-02-02,75,90.0,,0.9,67.5
2022-02-03,66,90.0,,0.9,59.4
2022-02-04,67,90.0,,0.9,60.300000000000004
2022-02-05,46,90.0,,0.9,41.4
2022-02-06,41,96.0,False,0.96,39.36
2022-02-07,60,96.0,,0.96,57.599999999999994
2022-02-08,87,96.0,,0.96,83.52
2022-02-09,89,96.0,,0.96,85.44
2022-02-10,100,96.0,,0.96,96.0
2022-02-11,70,96.0,,0.96,67.2
2022-02-12,41,96.0,,0.96,39.36
2022-02-13,37,90.0,False,0.9,33.300000000000004
2022-02-14,40,90.0,,0.9,36.0
2022-02-15,76,90.0,,0.9,68.4
2022-02-16,66,90.0,,0.9,59.4
2022-02-17,86,90.0,,0.9,77.4
2022-02-18,65,90.0,,0.9,58.5
2022-02-19,56,90.0,,0.9,50.4
2022-02-20,42,89.0,False,0.89,37.38
2022-02-21,67,89.0,,0.89,59.63
2022-02-22,71,89.0,,0.89,63.19
2022-02-23,69,89.0,,0.89,61.410000000000004
2022-02-24,89,89.0,,0.89,79.21000000000001
2022-02-25,79,89.0,,0.89,70.31
2022-02-26,51,89.0,,0.89,45.39
2022-02-27,60,93.0,False,0.93,55.800000000000004
2022-02-28,80,93.0,,0.93,74.4
2022-03-01,84,93.0,,0.93,78.12
2022-03-02,100,93.0,,0.93,93.0
2022-03-03,93,93.0,,0.93,86.49000000000001
2022-03-04,70,93.0,,0.93,65.10000000000001
2022-03-05,52,93.0,,0.93,48.36
2022-03-06,64,94.0,False,0.94,60.16
2022-03-07,79,94.0,,0.94,74.25999999999999
2022-03-08,87,94.0,,0.94,81.78
2022-03-09,98,94.0,,0.94,92.11999999999999
2022-03-10,96,94.0,,0.94,90.24
2022-03-11,89,94.0,,0.94,83.66
2022-03-12,56,94.0,,0.94,52.64
2022-03-13,51,83.0,False,0.83,42.33
2022-03-14,100,83.0,,0.83,83.0
2022-03-15,85,83.0,,0.83,70.55
2022-03-16,62,83.0,,0.83,51.46
2022-03-17,74,83.0,,0.83,61.419999999999995
2022-03-18,66,83.0,,0.83,54.779999999999994
2022-03-19,39,83.0,,0.83,32.37
