date,/g/11f760cfwp_unscaled,/g/11f760cfwp_monthly,isPartial,scale,/g/11f760cfwp
2022-01-01,52,,,,
2022-01-02,51,26.0,False,0.26,13.26
2022-01-03,65,26.0,,0.26,16.900000000000002
2022-01-04,94,26.0,,0.26,24.44
2022-01-05,88,26.0,,0.26,22.880000000000003
2022-01-06,76,26.0,,0.26,19.76
2022-01-07,68,26.0,,0.26,17.68
2022-01-08,69,26.0,,0.26,17.94
2022-01-09,70,28.0,False,0.28,19.6
2022-01-10,81,28.0,,0.28,22.680000000000003
2022-01-11,63,28.0,,0.28,17.64
2022-01-12,78,28.0,,0.28,21.840000000000003
2022-01-13,100,28.0,,0.28,28.000000000000004
2022-01-14,51,28.0,,0.28,14.280000000000001
2022-01-15,41,28.0,,0.28,11.48
2022-01-16,62,25.0,False,0.25,15.5
2022-01-17,88,25.0,,0.25,22.0
2022-01-18,72,25.0,,0.25,18.0
2022-01-19,64,25.0,,0.25,16.0
2022-01-20,51,25.0,,0.25,12.75
2022-01-21,76,25.0,,0.25,19.0
2022-01-22,64,25.0,,0.25,16.0
2022-01-23,47,26.0,False,0.26,12.22
2022-01-24,93,26.0,,0.26,24.18
2022-01-25,66,26.0,,0.26,17.16
2022-01-26,71,26.0,,0.26,18.46
2022-01-27,72,26.0,,0.26,18.72
2022-01-28,53,26.0,,0.26,13.780000000000001
2022-01-29,45,26.0,,0.26,11.700000000000001
2022-01-30,67,23.0,False,0.23,15.41
2022-01-31,65,23.0,,0.23,14.950000000000001
2022-02-01,97,23.0,,0.23,22.310000000000002
2022-02-02,50,23.0,,0.23,11.5
2022-02-03,58,23.0,,0.23,13.34
2022-02-04,58,23.0,,0.23,13.34
2022-02-05,24,23.0,,0.23,5.5200000000000005
2022-02-06,47,21.0,False,0.21,9.87
2022-02-07,59,21.0,,0.21,12.389999999999999
2022-02-08,100,21.0,,0.21,21.0
2022-02-09,73,21.0,,0.21,15.33
2022-02-10,54,21.0,,0.21,11.34
2022-02-11,61,21.0,,0.21,12.809999999999999
2022-02-12,30,21.0,,0.21,6.3
2022-02-13,64,24.0,False,0.24,15.36
2022-02-14,67,24.0,,0.24,16.08
2022-02-15,73,24.0,,0.24,17.52
2022-02-16,63,24.0,,0.24,15.12
2022-02-17,63,24.0,,0.24,15.12
2022-02-18,50,24.0,,0.24,12.0
2022-02-19,46,24.0,,0.24,11.04
2022-02-20,60,18.0,False,0.18,10.799999999999999
2022-02-21,52,18.0,,0.18,9.36
2022-02-22,64,18.0,,0.18,11.52
2022-02-23,65,18.0,,0.18,11.7
2022-02-24,57,18.0,,0.18,10.26
2022-02-25,63,18.0,,0.18,11.34
2022-02-26,52,18.0,,0.18,9.36
2022-02-27,48,18.0,False,0.18,8.64
2022-02-28,52,18.0,,0.18,9.36
2022-03-01,77,18.0,,0.18,13.86
2022-03-02,66,18.0,,0.18,11.879999999999999
2022-03-03,57,18.0,,0.18,10.26
2022-03-04,63,18.0,,0.18,11.34
2022-03-05,55,18.0,,0.18,9.9
2022-03-06,44,20.0,False,0.2,8.8
2022-03-07,51,20.0,,0.2,10.200000000000001
2022-03-08,56,20.0,,0.2,11.200000000000001
2022-03-09,100,20.0,,0.2,20.0
2022-03-10,76,20.0,,0.2,15.200000000000001
2022-03-11,89,20.0,,0.2,17.8
2022-03-12,60,20.0,,0.2,12.0
2022-03-13,45,17.0,False,0.17,7.65
2022-03-14,52,17.0,,0.17,8.84
2022-03-15,74,17.0,,0.17,12.58
2022-03-16,56,17.0,,0.17,9.520000000000001
2022-03-17,55,17.0,,0.17,9.350000000000001
2022-03-18,64,17.0,,0.17,10.88
2022-03-19,41,17.0,,0.17,6.970000000000001
2022-03-20,45,18.0,False,0.18,8.1
2022-03-21,49,18.0,,0.18,8.82
2022-03-22,53,18.0,,0.18,9.54
2022-03-23,73,18.0,,0.18,13.139999999999999
2022-03-24,65,18.0,,0.18,11.7
2022-03-25,53,18.0,,0.18,9.54
2022-03-26,71,18.0,,0.18,12.78
2022-03-27,60,18.0,False,0.18,10.799999999999999
2022-03-28,64,18.0,,0.18,11.52
2022-03-29,70,18.0,,0.18,12.6
2022-03-30,71,18.0,,0.18,12.78
2022-03-31,64,18.0,,0.18,11.52
2022-04-01,41,18.0,,0.18,7.38
2022-04-02,63,18.0,,0.18,11.34
2022-04-03,51,20.0,False,0.2,10.200000000000001
2022-04-04,58,20.0,,0.2,11.600000000000001
2022-04-05,72,20.0,,0.2,14.4
2022-04-06,60,20.0,,0.2,12.0
2022-04-07,60,20.0,,0.2,12.0
2022-04-08,77,20.0,,0.2,15.4
2022-04-09,43,20.0,,0.2,8.6
2022-04-10,53,21.0,False,0.21,11.129999999999999
2022-04-11,73,21.0,,0.21,15.33
2022-04-12,63,21.0,,0.21,13.229999999999999
2022-04-13,67,21.0,,0.21,14.07
2022-04-14,61,21.0,,0.21,12.809999999999999
2022-04-15,52,21.0,,0.21,10.92
2022-04-16,58,21.0,,0.21,12.18
2022-04-17,41,24.0,False,0.24,9.84
2022-04-18,81,24.0,,0.24,19.439999999999998
2022-04-19,100,24.0,,0.24,24.0
2022-04-20,73,24.0,,0.24,17.52
2022-04-21,72,24.0,,0.24,17.28
2022-04-22,74,24.0,,0.24,17.759999999999998
2022-04-23,52,24.0,,0.24,12.48
2022-04-24,28,18.0,False,0.18,5.04
2022-04-25,48,18.0,,0.18,8.64
2022-04-26,63,18.0,,0.18,11.34
2022-04-27,60,18.0,,0.18,10.799999999999999
2022-04-28,43,18.0,,0.18,7.739999999999999
2022-04-29,53,18.0,,0.18,9.54
2022-04-30,45,18.0,,0.18,8.1
2022-05-01,7,17.0,False,0.17,1.1900000000000002
2022-05-02,8,17.0,,0.17,1.36
2022-05-03,9,17.0,,0.17,1.53
2022-05-04,10,17.0,,0.17,1.7000000000000002
2022-05-05,13,17.0,,0.17,2.21
2022-05-06,13,17.0,,0.17,2.21
2022-05-07,11,17.0,,0.17,1.87
2022-05-08,11,100.0,False,1.0,11.0
2022-05-09,24,100.0,,1.0,24.0
2022-05-10,57,100.0,,1.0,57.0
2022-05-11,98,100.0,,1.0,98.0
2022-05-12,100,100.0,,1.0,100.0
2022-05-13,86,100.0,,1.0,86.0
2022-05-14,43,100.0,,1.0,43.0
2022-05-15,32,50.0,False,0.5,16.0
2022-05-16,39,50.0,,0.5,19.5
2022-05-17,37,50.0,,0.5,18.5
2022-05-18,31,50.0,,0.5,15.5
2022-05-19,23,50.0,,0.5,11.5
2022-05-20,22,50.0,,0.5,11.0
2022-05-21,16,50.0,,0.5,8.0
2022-05-22,11,23.0,False,0.23,2.5300000000000002
2022-05-23,13,23.0,,0.23,2.99
2022-05-24,15,23.0,,0.23,3.45
2022-05-25,12,23.0,,0.23,2.7600000000000002
2022-05-26,15,23.0,,0.23,3.45
2022-05-27,12,23.0,,0.23,2.7600000000000002
2022-05-28,10,23.0,,0.23,2.3000000000000003
2022-05-29,10,18.0,False,0.18,1.7999999999999998
2022-05-30,5,18.0,,0.18,0.8999999999999999
2022-05-31,11,18.0,,0.18,1.98
2022-06-01,51,18.0,,0.18,9.18
2022-06-02,61,18.0,,0.18,10.98
2022-06-03,68,18.0,,0.18,12.24
2022-06-04,40,18.0,,0.18,7.199999999999999
