time,Bitcoin,Bitcoin Crash,Blockchain,Crisis,Cryptocurrency,Nicehash,Hashing,GPU,GeForce,mining,Tesla
2022-05-01 00:00:00,0,32,47,67,86,36,22,66,63,64,68
2022-05-01 01:00:00,0,65,34,54,86,18,40,43,63,62,78
2022-05-01 02:00:00,40,34,25,70,87,0,32,60,70,63,64
2022-05-01 03:00:00,81,35,61,51,84,19,24,68,46,68,60
2022-05-01 04:00:00,0,0,37,74,83,20,44,65,44,63,60
2022-05-01 05:00:00,84,0,60,47,85,20,64,74,52,66,51
2022-05-01 06:00:00,39,34,49,44,86,25,28,47,94,51,53
2022-05-01 07:00:00,37,32,72,50,94,30,43,60,66,56,49
2022-05-01 08:00:00,0,61,66,43,81,11,66,67,63,52,50
2022-05-01 09:00:00,0,0,46,40,84,22,37,83,87,69,50
2022-05-01 10:00:00,0,57,29,42,79,21,50,50,76,49,52
2022-05-01 11:00:00,0,0,46,35,67,0,39,51,57,49,46
2022-05-01 12:00:00,57,0,43,32,71,27,40,43,77,46,49
2022-05-01 13:00:00,26,0,55,46,77,37,45,50,40,53,54
2022-05-01 14:00:00,0,0,64,40,75,24,35,64,60,56,57
2022-05-01 15:00:00,24,21,46,50,71,4,26,51,54,60,56
2022-05-01 16:00:00,24,0,52,49,80,16,63,72,79,54,61
2022-05-01 17:00:00,25,0,61,44,74,36,38,68,70,59,62
2022-05-01 18:00:00,78,22,71,54,89,17,30,58,70,51,63
2022-05-01 19:00:00,55,0,61,61,93,22,48,48,83,51,73
2022-05-01 20:00:00,0,51,53,56,100,10,59,69,37,58,77
2022-05-01 21:00:00,0,0,44,67,90,10,42,72,68,60,64
2022-05-01 22:00:00,35,0,56,66,78,17,37,47,59,61,70
2022-05-01 23:00:00,0,0,49,71,69,42,26,67,58,54,73
2022-05-02 00:00:00,37,32,46,68,67,6,47,53,62,82,66
2022-05-02 01:00:00,0,63,49,81,73,29,43,62,84,68,85
2022-05-02 02:00:00,0,0,55,92,75,12,40,75,64,77,73
2022-05-02 03:00:00,0,34,57,82,73,19,84,88,50,79,69
2022-05-02 04:00:00,40,0,53,60,77,13,61,70,46,80,60
2022-05-02 05:00:00,0,0,59,64,81,25,68,97,49,71,55
2022-05-02 06:00:00,0,0,57,56,83,29,83,85,45,67,45
2022-05-02 07:00:00,100,0,74,43,82,5,54,77,42,63,53
2022-05-02 08:00:00,0,27,67,29,66,0,48,59,56,47,54
2022-05-02 09:00:00,30,0,55,45,76,10,66,50,59,57,59
2022-05-02 10:00:00,58,0,74,43,72,19,44,62,63,51,55
2022-05-02 11:00:00,0,0,44,33,71,25,70,64,49,61,63
2022-05-02 12:00:00,0,21,64,47,72,27,73,40,50,65,68
2022-05-02 13:00:00,0,19,74,68,72,25,49,67,82,70,78
2022-05-02 14:00:00,0,0,45,51,72,14,59,65,84,76,89
2022-05-02 15:00:00,22,0,63,76,79,28,60,66,74,65,83
2022-05-02 16:00:00,22,0,67,70,77,28,46,71,63,65,86
2022-05-02 17:00:00,0,19,74,81,78,14,47,62,54,65,86
2022-05-02 18:00:00,0,20,43,76,79,4,52,60,63,64,92
2022-05-02 19:00:00,0,21,63,82,88,20,60,83,56,62,91
2022-05-02 20:00:00,0,0,59,65,84,13,34,63,58,66,97
2022-05-02 21:00:00,31,0,68,75,100,20,40,73,71,69,93
2022-05-02 22:00:00,33,29,65,89,89,21,98,46,73,70,86
2022-05-02 23:00:00,0,0,54,78,82,23,75,67,48,67,82
2022-05-03 00:00:00,0,0,58,86,63,28,52,52,50,74,72
2022-05-03 01:00:00,0,0,70,76,81,28,44,95,39,82,71
2022-05-03 02:00:00,74,32,69,100,82,6,43,81,58,76,64
2022-05-03 03:00:00,77,0,38,72,74,19,72,70,48,70,72
2022-05-03 04:00:00,40,34,53,77,65,6,97,87,45,74,55
2022-05-03 05:00:00,0,0,47,45,82,18,26,59,35,59,61
2022-05-03 06:00:00,0,30,49,52,70,28,93,50,47,62,58
2022-05-03 07:00:00,0,0,59,44,79,11,81,83,55,65,56
2022-05-03 08:00:00,0,0,83,37,77,10,65,68,75,59,54
2022-05-03 09:00:00,0,0,61,37,87,24,59,71,56,54,53
2022-05-03 10:00:00,28,0,63,41,75,18,36,60,50,65,55
2022-05-03 11:00:00,0,0,53,56,67,28,47,53,71,60,60
2022-05-03 12:00:00,0,0,54,60,76,19,47,71,71,56,62
2022-05-03 13:00:00,22,0,89,65,68,28,56,66,71,72,79
2022-05-03 14:00:00,0,0,63,81,76,20,42,62,66,71,84
2022-05-03 15:00:00,20,17,59,77,73,20,57,75,63,62,84
2022-05-03 16:00:00,0,0,61,65,72,28,53,70,49,59,82
2022-05-03 17:00:00,20,0,76,74,73,35,68,58,100,69,85
2022-05-03 18:00:00,0,17,67,70,73,13,50,64,87,72,83
2022-05-03 19:00:00,42,18,72,70,84,7,39,61,57,62,80
2022-05-03 20:00:00,23,19,46,69,84,26,88,68,76,72,91
2022-05-03 21:00:00,26,22,56,78,87,29,58,84,68,76,85
2022-05-03 22:00:00,0,76,37,82,78,24,48,74,89,76,86
2022-05-03 23:00:00,0,54,67,91,75,10,41,83,66,73,76
2022-05-04 00:00:00,0,0,45,79,67,27,56,73,71,74,62
2022-05-04 01:00:00,0,0,63,90,71,38,48,70,74,72,69
2022-05-04 02:00:00,0,30,50,87,76,34,62,99,85,100,65
2022-05-04 03:00:00,0,0,50,75,76,36,53,75,63,80,65
2022-05-04 04:00:00,38,0,54,42,73,37,80,64,71,63,58
2022-05-04 05:00:00,0,0,80,54,64,0,59,68,49,61,59
2022-05-04 06:00:00,0,0,71,38,66,16,62,77,35,58,54
2022-05-04 07:00:00,0,0,71,43,77,5,32,62,61,63,50
2022-05-04 08:00:00,0,0,65,47,59,15,82,59,89,67,46
2022-05-04 09:00:00,29,0,75,55,74,19,91,87,51,58,51
2022-05-04 10:00:00,0,0,67,45,70,4,47,68,54,61,50
2022-05-04 11:00:00,0,0,78,47,72,12,51,58,66,60,59
2022-05-04 12:00:00,0,0,58,64,68,11,63,57,64,63,56
2022-05-04 13:00:00,0,0,91,64,59,20,57,62,82,65,69
2022-05-04 14:00:00,21,19,66,57,67,23,76,56,81,71,82
2022-05-04 15:00:00,0,0,82,70,70,20,72,61,58,81,72
2022-05-04 16:00:00,0,0,60,66,68,28,73,63,59,79,79
2022-05-04 17:00:00,22,0,52,72,69,29,63,55,85,69,76
2022-05-04 18:00:00,46,21,66,71,86,15,40,76,68,56,81
2022-05-04 19:00:00,23,0,74,79,90,11,60,53,49,57,82
2022-05-04 20:00:00,0,0,45,74,75,28,32,70,72,52,94
2022-05-04 21:00:00,0,26,53,61,83,18,62,59,61,53,83
2022-05-04 22:00:00,0,0,42,82,84,37,39,87,59,66,83
2022-05-04 23:00:00,35,0,64,81,80,17,25,71,48,80,83
2022-05-05 00:00:00,0,0,47,70,78,6,28,63,65,74,68
2022-05-05 01:00:00,35,0,66,74,76,0,65,96,51,73,65
2022-05-05 02:00:00,0,33,61,74,75,23,63,58,34,80,66
2022-05-05 03:00:00,0,34,100,74,72,12,69,100,58,81,66
2022-05-05 04:00:00,0,0,83,60,78,24,78,77,55,76,54
2022-05-05 05:00:00,35,0,73,52,73,23,54,73,34,83,54
2022-05-05 06:00:00,0,0,76,44,73,10,53,75,54,55,49
2022-05-05 07:00:00,31,0,63,41,80,10,100,71,45,72,46
2022-05-05 08:00:00,0,0,69,41,61,14,79,69,50,69,49
2022-05-05 09:00:00,29,26,54,41,81,0,81,80,52,48,48
2022-05-05 10:00:00,0,0,56,45,73,35,60,63,66,55,47
2022-05-05 11:00:00,0,22,72,57,79,16,71,53,66,72,59
2022-05-05 12:00:00,0,0,60,55,77,17,83,70,57,75,59
2022-05-05 13:00:00,0,0,74,64,68,35,57,66,54,70,73
2022-05-05 14:00:00,19,0,67,62,67,25,79,64,49,68,91
